person_name,person_dateofbirth,person_bio,person_race,person_religion,person_sexualorientation,person_birthplace
Clark Gable,,http://www.nndb.com/people/156/000027075/,White,Na,Straight,Cadiz
Victor McLaglen,,http://www.nndb.com/people/452/000047311/,White,Anglican/episcopalian,Straight,Tunbridge Wells
Paul Muni,,http://www.nndb.com/people/741/000063552/,White,Jewish,Straight,Lviv
Spencer Tracy,,http://www.nndb.com/people/979/000024907/,White,Roman Catholic,Straight,Milwaukee
Robert Donat,,http://www.nndb.com/people/742/000063553/,White,Na,Straight,Withington
Jimmy Stewart,,http://www.nndb.com/people/659/000026581/,White,Presbyterian,Straight,Indiana
Gary Cooper,,http://www.nndb.com/people/740/000031647/,White,Roman Catholic,Straight,Helena
James Cagney,,http://www.nndb.com/people/798/000024726/,White,Roman Catholic,Straight,Manhattan
Paul Lukas,,http://www.nndb.com/people/713/000042587/,White,Na,Straight,Budapest
Bing Crosby,,http://www.nndb.com/people/651/000026573/,White,Roman Catholic,Straight,Tacoma
Ray Milland,,http://www.nndb.com/people/814/000042688/,White,Na,Straight,Neath
Fredric March,,http://www.nndb.com/people/255/000043126/,White,Na,Straight,Racine
Ronald Colman,,http://www.nndb.com/people/619/000042493/,White,Na,Straight,Richmond
Laurence Olivier,,http://www.nndb.com/people/607/000022541/,White,Na,Bisexual,Dorking
Broderick Crawford,,http://www.nndb.com/people/744/000063555/,White,Na,Straight,Philadelphia
Jose Ferrer,,http://www.nndb.com/people/311/000026233/,Hispanic,Na,Straight,Santurce
Humphrey Bogart,,http://www.nndb.com/people/837/000024765/,White,Na,Straight,New York City
William Holden,,http://www.nndb.com/people/210/000022144/,White,Na,Straight,O'fallon
Marlon Brando,,http://www.nndb.com/people/721/000022655/,White,Deist,Bisexual,Omaha
Ernest Borgnine,,http://www.nndb.com/people/730/000022664/,White,Na,Straight,Hamden
Yul Brynner,,http://www.nndb.com/people/459/000026381/,White,Na,Straight,Vladivostok
Alec Guinness,,http://www.nndb.com/people/751/000023682/,White,Roman Catholic,Bisexual,London
David Niven,,http://www.nndb.com/people/690/000031597/,White,Na,Straight,London
Charlton Heston,,http://www.nndb.com/people/961/000022895/,White,Protestant,Straight,Evanston
Burt Lancaster,,http://www.nndb.com/people/938/000031845/,White,Protestant,Straight,New York City
Maximilian Schell,,http://www.nndb.com/people/351/000023282/,White,Na,Straight,Vienna
Gregory Peck,,http://www.nndb.com/people/774/000023705/,White,Roman Catholic,Straight,La Jolla
Sidney Poitier,,http://www.nndb.com/people/200/000023131/,Black,Deist,Straight,Miami
Rex Harrison,,http://www.nndb.com/people/132/000043003/,White,Na,Straight,Huyton
Lee Marvin,,http://www.nndb.com/people/314/000026236/,White,Na,Straight,New York City
Paul Scofield,,http://www.nndb.com/people/950/000033851/,White,Na,Straight,Hurstpierpoint
Rod Steiger,,http://www.nndb.com/people/762/000026684/,White,Lutheran,Straight,Westhampton
Cliff Robertson,,http://www.nndb.com/people/134/000023065/,White,Na,Straight,La Jolla
John Wayne,,http://www.nndb.com/people/605/000023536/,White,Roman Catholic,Straight,Winterset
George C. Scott,,http://www.nndb.com/people/025/000022956/,White,Na,Straight,Wise
Gene Hackman,,http://www.nndb.com/people/878/000022812/,White,Na,Straight,San Bernardino
Jack Lemmon,,http://www.nndb.com/people/714/000026636/,White,Roman Catholic,Straight,Newton
Art Carney,,http://www.nndb.com/people/182/000025107/,White,Na,Straight,Mount Vernon
Jack Nicholson,,http://www.nndb.com/people/722/000022656/,White,Atheist,Straight,New York City
Peter Finch,,http://www.nndb.com/people/745/000063556/,White,Na,Straight,South Kensington
Richard Dreyfuss,,http://www.nndb.com/people/814/000022748/,White,Jewish,Straight,Brooklyn
Jon Voight,,http://www.nndb.com/people/060/000023988/,White,Roman Catholic,Straight,Yonkers
Dustin Hoffman,,http://www.nndb.com/people/882/000022816/,White,Jewish,Straight,Los Angeles
Robert De Niro,,http://www.nndb.com/people/765/000023696/,White,Roman Catholic,Straight,New York City
Henry Fonda,,http://www.nndb.com/people/496/000026418/,White,Na,Straight,Grand Island
Ben Kingsley,,http://www.nndb.com/people/519/000024447/,Multiracial,Quaker,Straight,Scarborough
Robert Duvall,,http://www.nndb.com/people/008/000022939/,White,Na,Straight,San Diego
F. Murray Abraham,,http://www.nndb.com/people/123/000024051/,Middle Eastern,Na,Straight,Pittsburgh
William Hurt,,http://www.nndb.com/people/683/000023614/,White,Lutheran,Straight,Washington
Paul Newman,,http://www.nndb.com/people/804/000022738/,White,Jewish,Straight,Shaker Heights
Michael Douglas,,http://www.nndb.com/people/614/000024542/,White,Jewish,Straight,New Brunswick
Daniel Day-Lewis,,http://www.nndb.com/people/788/000022722/,White,Na,Straight,London
Jeremy Irons,,http://www.nndb.com/people/594/000023525/,White,Na,Straight,Cowes
Anthony Hopkins,,http://www.nndb.com/people/005/000023933/,White,Na,Straight,Port Talbot
Al Pacino,,http://www.nndb.com/people/880/000022814/,White,Roman Catholic,Straight,East Harlem
Tom Hanks,,http://www.nndb.com/people/687/000022621/,White,Born-Again Christian,Straight,Concord
Nicolas Cage,,http://www.nndb.com/people/751/000022685/,White,Roman Catholic,Straight,Long Beach
Geoffrey Rush,,http://www.nndb.com/people/126/000025051/,White,Na,Straight,Toowoomba
Roberto Benigni,,http://www.nndb.com/people/259/000025184/,White,Na,Straight,Misericordia
Kevin Spacey,,http://www.nndb.com/people/591/000023522/,White,Na,Matter of Dispute,South Orange
Russell Crowe,,http://www.nndb.com/people/782/000022716/,White,Na,Straight,Wellington
Denzel Washington,,http://www.nndb.com/people/665/000023596/,Black,Protestant,Straight,Mount Vernon
Adrien Brody,,http://www.nndb.com/people/112/000026034/,White,Jewish,Straight,New York City
Sean Penn,,http://www.nndb.com/people/331/000025256/,White,Roman Catholic,Straight,Burbank
Jamie Foxx,,http://www.nndb.com/people/113/000026035/,Black,Baptist,Straight,Terrell
Philip Seymour Hoffman,,http://www.nndb.com/people/409/000027328/,White,Na,Straight,Fairport
Forest Whitaker,,http://www.nndb.com/people/833/000025758/,Black,Na,Straight,Longview
Jeff Bridges,,http://www.nndb.com/people/779/000022713/,White,Lutheran,Straight,Los Angeles
Colin Firth,,http://www.nndb.com/people/813/000043684/,White,Na,Straight,Grayshott
Jean Dujardin,,http://www.nndb.com/people/303/000281457/,White,Na,Straight,Rueil-Malmaison
Matthew McConaughey,,http://www.nndb.com/people/583/000023514/,White,Na,Straight,Uvalde
Walter Brennan,,http://www.nndb.com/people/347/000032251/,White,Na,Straight,Swampscott
Joseph Schildkraut,,http://www.nndb.com/people/115/000063923/,White,Na,Straight,Vienna
Thomas Mitchell,,http://www.nndb.com/people/116/000063924/,White,Na,Straight,Elizabeth
Donald Crisp,,http://www.nndb.com/people/689/000031596/,White,Na,Straight,London
Van Heflin,,http://www.nndb.com/people/680/000042554/,White,Na,Straight,Walters
Charles Coburn,,http://www.nndb.com/people/127/000063935/,White,Na,Straight,Savannah
Barry Fitzgerald,,http://www.nndb.com/people/126/000063934/,White,Protestant,Na,Dublin
James Dunn,,http://www.nndb.com/people/125/000063933/,White,Na,Straight,New York City
Harold Russell,,http://www.nndb.com/people/124/000063932/,White,Na,Straight,North Sydney
Edmund Gwenn,,http://www.nndb.com/people/123/000063931/,White,Na,Na,Vale of Glamorgan
Walter Huston,,http://www.nndb.com/people/122/000063930/,White,Na,Straight,Toronto
Dean Jagger,,http://www.nndb.com/people/121/000063929/,White,Na,Straight,Lima
George Sanders,,http://www.nndb.com/people/728/000043599/,White,Na,Straight,St. Petersburg
Karl Malden,,http://www.nndb.com/people/553/000022487/,White,Na,Straight,Chicago
Anthony Quinn,,http://www.nndb.com/people/228/000032132/,Hispanic,Na,Straight,Chihuahua
Frank Sinatra,,http://www.nndb.com/people/300/000026222/,White,Na,Straight,Hoboken
Edmond O'Brien,,http://www.nndb.com/people/620/000042494/,White,Roman Catholic,Straight,New York City
Red Buttons,,http://www.nndb.com/people/820/000022754/,White,Jewish,Straight,New York City
Burl Ives,,http://www.nndb.com/people/679/000042553/,White,Na,Straight,Hunt City
Hugh Griffith,,http://www.nndb.com/people/120/000063928/,White,Na,Na,Marian Glas
Peter Ustinov,,http://www.nndb.com/people/810/000022744/,White,Na,Straight,London
George Chakiris,,http://www.nndb.com/people/119/000063927/,White,Na,Gay,Norwood
Ed Begley,,http://www.nndb.com/people/915/000043786/,White,Na,Straight,Hartford
 Sr.,,http://www.nndb.com/people/915/000043786/,White,Na,Straight,Hartford
Melvyn Douglas,,http://www.nndb.com/people/100/000063908/,White,Jewish,Straight,Macon
Martin Balsam,,http://www.nndb.com/people/111/000063919/,White,Na,Straight,Bronx
Walter Matthau,,http://www.nndb.com/people/768/000023699/,White,Jewish,Straight,New York City
George Kennedy,,http://www.nndb.com/people/001/000022932/,White,Na,Straight,New York City
Jack Albertson,,http://www.nndb.com/people/559/000049412/,White,Na,Na,Malden
Gig Young,,http://www.nndb.com/people/110/000063918/,White,Na,Straight,St. Cloud
John Mills,,http://www.nndb.com/people/701/000030611/,White,Na,Straight,Felixstowe
Ben Johnson,,http://www.nndb.com/people/425/000064233/,White,Na,Straight,Shidler
Joel Grey,,http://www.nndb.com/people/853/000048709/,White,Jewish,Gay,Cleveland
John Houseman,,http://www.nndb.com/people/686/000042560/,White,Na,Straight,Bucharest
George Burns,,http://www.nndb.com/people/895/000022829/,White,Jewish,Straight,New York City
Jason Robards,,http://www.nndb.com/people/224/000032128/,White,Na,Straight,Chicago
Christopher Walken,,http://www.nndb.com/people/618/000022552/,White,Na,Straight,Astoria
Timothy Hutton,,http://www.nndb.com/people/378/000024306/,White,Na,Straight,Malibu
John Gielgud,,http://www.nndb.com/people/589/000033490/,White,Na,Gay,London
Lou Gossett,,http://www.nndb.com/people/906/000023837/,Black,Na,Straight,Brooklyn
 Jr.,,http://www.nndb.com/people/906/000023837/,Black,Na,Straight,Brooklyn
Haing S. Ngor,,http://www.nndb.com/people/093/000063901/,Asian,Buddhist,Straight,Samrong Young
Don Ameche,,http://www.nndb.com/people/736/000024664/,White,Roman Catholic,Straight,Kenosha
Michael Caine,,http://www.nndb.com/people/754/000022688/,White,Na,Straight,Bermondsey
Sean Connery,,http://www.nndb.com/people/881/000022815/,White,Roman Catholic,Straight,Edinburgh
Kevin Kline,,http://www.nndb.com/people/819/000024747/,White,Roman Catholic,Straight,St. Louis
Joe Pesci,,http://www.nndb.com/people/582/000022516/,White,Na,Straight,Newark
Jack Palance,,http://www.nndb.com/people/579/000022513/,White,Na,Straight,Lattimer Mines
Tommy Lee Jones,,http://www.nndb.com/people/530/000022464/,White,Na,Straight,San Saba
Martin Landau,,http://www.nndb.com/people/431/000023362/,White,Jewish,Straight,Brooklyn
Cuba Gooding,,http://www.nndb.com/people/587/000023518/,Black,Na,Straight,Bronx
Robin Williams,,http://www.nndb.com/people/606/000022540/,White,Anglican/episcopalian,Straight,Chicago
James Coburn,,http://www.nndb.com/people/764/000022698/,White,Na,Straight,Laurel
Benicio Del Toro,,http://www.nndb.com/people/087/000026009/,Hispanic,Na,Straight,Santurce
Jim Broadbent,,http://www.nndb.com/people/092/000063900/,White,Na,Straight,Lincoln
Chris Cooper,,http://www.nndb.com/people/130/000025055/,White,Na,Straight,Kansas City
Tim Robbins,,http://www.nndb.com/people/614/000025539/,White,Roman Catholic,Straight,West Covina
Morgan Freeman,,http://www.nndb.com/people/982/000023913/,Black,Na,Straight,Memphis
George Clooney,,http://www.nndb.com/people/763/000022697/,White,Na,Straight,Lexington
Alan Arkin,,http://www.nndb.com/people/777/000022711/,White,Jewish,Straight,Brooklyn
Javier Bardem,,http://www.nndb.com/people/733/000109406/,Hispanic,Na,Straight,Las Palmas De Gran Canaria
Heath Ledger,,http://www.nndb.com/people/204/000029117/,White,Na,Straight,Perth
Christoph Waltz,,http://www.nndb.com/people/455/000213813/,White,Na,Straight,Na
Christian Bale,,http://www.nndb.com/people/877/000031784/,White,Na,Straight,Haverfordwest
Christopher Plummer,,http://www.nndb.com/people/316/000023247/,White,Na,Straight,Toronto
Jared Leto,,http://www.nndb.com/people/438/000026360/,White,Na,Straight,Bossier City
Janet Gaynor,,http://www.nndb.com/people/129/000043000/,White,Na,Straight,Philadelphia
Mary Pickford,,http://www.nndb.com/people/683/000042557/,White,Na,Straight,Toronto
Norma Shearer,,http://www.nndb.com/people/813/000063624/,White,Na,Straight,Montreal
Marie Dressler,,http://www.nndb.com/people/814/000063625/,White,Na,Straight,Cobourg
Helen Hayes,,http://www.nndb.com/people/908/000031815/,White,Na,Straight,Washington
Katharine Hepburn,,http://www.nndb.com/people/775/000023706/,White,Atheist,Bisexual,Hartford
Claudette Colbert,,http://www.nndb.com/people/935/000043806/,White,Na,Straight,Paris
Bette Davis,,http://www.nndb.com/people/457/000026379/,White,Na,Straight,Lowell
Luise Rainer,,http://www.nndb.com/people/796/000030706/,White,Jewish,Straight,Dusseldorf
Vivien Leigh,,http://www.nndb.com/people/470/000022404/,White,Roman Catholic,Straight,Darjeeling
Ginger Rogers,,http://www.nndb.com/people/635/000043506/,White,Christian Science,Straight,Independence
Joan Fontaine,,http://www.nndb.com/people/487/000026409/,White,Na,Straight,Tokyo
Greer Garson,,http://www.nndb.com/people/293/000044161/,White,Na,Straight,London
Jennifer Jones,,http://www.nndb.com/people/809/000063620/,White,Roman Catholic,Straight,Tulsa
Ingrid Bergman,,http://www.nndb.com/people/836/000024764/,White,Na,Straight,Stockholm
Joan Crawford,,http://www.nndb.com/people/837/000031744/,White,Christian Science,Bisexual,San Antonio
Olivia de Havilland,,http://www.nndb.com/people/741/000022675/,White,Na,Straight,Tokyo
Loretta Young,,http://www.nndb.com/people/089/000031993/,White,Roman Catholic,Straight,Salt Lake City
Jane Wyman,,http://www.nndb.com/people/656/000022590/,White,Roman Catholic,Straight,St. Joseph
Judy Holliday,,http://www.nndb.com/people/808/000063619/,White,Na,Straight,New York City
Shirley Booth,,http://www.nndb.com/people/807/000063618/,White,Na,Straight,New York City
Audrey Hepburn,,http://www.nndb.com/people/933/000026855/,White,Christian Science,Straight,Brussels
Grace Kelly,,http://www.nndb.com/people/770/000025695/,White,Roman Catholic,Straight,Philadelphia
Anna Magnani,,http://www.nndb.com/people/806/000063617/,White,Na,Straight,Rome
Joanne Woodward,,http://www.nndb.com/people/747/000043618/,White,Na,Straight,Thomasville
Susan Hayward,,http://www.nndb.com/people/805/000063616/,White,Roman Catholic,Straight,Brooklyn
Simone Signoret,,http://www.nndb.com/people/804/000063615/,White,Na,Straight,Wiesbaden
Elizabeth Taylor,,http://www.nndb.com/people/624/000023555/,White,Jewish,Straight,London
Sophia Loren,,http://www.nndb.com/people/811/000023742/,White,Roman Catholic,Straight,Pozzuoli
Anne Bancroft,,http://www.nndb.com/people/439/000023370/,White,Roman Catholic,Straight,Bronx
Patricia Neal,,http://www.nndb.com/people/226/000042100/,White,Roman Catholic,Straight,Packard
Julie Andrews,,http://www.nndb.com/people/874/000023805/,White,Na,Straight,Walton-on-Thames
Julie Christie,,http://www.nndb.com/people/801/000063612/,White,Na,Straight,Chabua
Barbra Streisand,,http://www.nndb.com/people/526/000022460/,White,Jewish,Straight,Brooklyn
Maggie Smith,,http://www.nndb.com/people/260/000030170/,White,Na,Straight,Ilford
Glenda Jackson,,http://www.nndb.com/people/799/000063610/,White,Na,Straight,Birkenhead
Jane Fonda,,http://www.nndb.com/people/637/000022571/,White,Born-Again Christian,Straight,New York City
Liza Minnelli,,http://www.nndb.com/people/724/000024652/,White,Na,Na,Los Angeles
Ellen Burstyn,,http://www.nndb.com/people/650/000023581/,White,Sufism,Straight,Detroit
Louise Fletcher,,http://www.nndb.com/people/798/000063609/,White,Na,Straight,Birmingham
Faye Dunaway,,http://www.nndb.com/people/884/000022818/,White,Roman Catholic,Straight,Bascom
Diane Keaton,,http://www.nndb.com/people/879/000022813/,White,Atheist,Straight,Los Angeles
Sally Field,,http://www.nndb.com/people/897/000022831/,White,Na,Straight,Pasadena
Sissy Spacek,,http://www.nndb.com/people/758/000023689/,White,Na,Straight,Quitman
Meryl Streep,,http://www.nndb.com/people/001/000024926/,White,Na,Straight,Summit
Shirley MacLaine,,http://www.nndb.com/people/799/000023730/,White,Baptist,Straight,Richmond
Geraldine Page,,http://www.nndb.com/people/780/000043651/,White,Na,Straight,Kirksville
Marlee Matlin,,http://www.nndb.com/people/870/000023801/,White,Jewish,Straight,Morton Grove
Cher,,http://www.nndb.com/people/688/000022622/,White,Na,Bisexual,El Centro
Jodie Foster,,http://www.nndb.com/people/756/000023687/,White,Atheist,Lesbian,Los Angeles
Jessica Tandy,,http://www.nndb.com/people/017/000023945/,White,Na,Straight,London
Kathy Bates,,http://www.nndb.com/people/907/000024835/,White,Na,Straight,Memphis
Emma Thompson,,http://www.nndb.com/people/627/000025552/,White,Na,Straight,London
Holly Hunter,,http://www.nndb.com/people/566/000023497/,White,Na,Straight,Conyers
Jessica Lange,,http://www.nndb.com/people/004/000022935/,White,Na,Straight,Cloquet
Susan Sarandon,,http://www.nndb.com/people/762/000024690/,White,Roman Catholic,Straight,Queens
Frances McDormand,,http://www.nndb.com/people/517/000025442/,White,Disciples of Christ,Straight,Chicago
Helen Hunt,,http://www.nndb.com/people/554/000023485/,White,Na,Straight,Culver City
Gwyneth Paltrow,,http://www.nndb.com/people/592/000023523/,White,Jewish,Straight,Los Angeles
Hilary Swank,,http://www.nndb.com/people/333/000026255/,White,Na,Straight,Lincoln
Julia Roberts,,http://www.nndb.com/people/592/000022526/,White,Hindu,Straight,Smyrna
Halle Berry,,http://www.nndb.com/people/487/000023418/,Multiracial,Na,Straight,Cleveland
Nicole Kidman,,http://www.nndb.com/people/917/000022851/,White,Roman Catholic,Straight,Honolulu
Charlize Theron,,http://www.nndb.com/people/146/000026068/,White,Na,Straight,Benoni
Reese Witherspoon,,http://www.nndb.com/people/813/000022747/,White,Na,Straight,New Orleans
Helen Mirren,,http://www.nndb.com/people/907/000044775/,White,Na,Straight,Chiswick
Marion Cotillard,,http://www.nndb.com/people/723/000136315/,White,Na,Straight,Paris
Kate Winslet,,http://www.nndb.com/people/582/000023513/,White,Na,Straight,Reading
Sandra Bullock,,http://www.nndb.com/people/601/000023532/,White,Na,Straight,Arlington
Natalie Portman,,http://www.nndb.com/people/040/000022971/,White,Jewish,Straight,Jerusalem
Jennifer Lawrence,,http://www.nndb.com/people/597/000272778/,White,Na,Na,Louisville
Cate Blanchett,,http://www.nndb.com/people/222/000026144/,White,Na,Straight,Melbourne
Gale Sondergaard,,http://www.nndb.com/people/062/000063870/,White,Na,Straight,Litchfield
Alice Brady,,http://www.nndb.com/people/079/000063887/,White,Na,Straight,New York City
Fay Bainter,,http://www.nndb.com/people/074/000063882/,White,Na,Straight,Los Angeles
Hattie McDaniel,,http://www.nndb.com/people/077/000063885/,Black,Christian,Matter of Dispute,Wichita
Jane Darwell,,http://www.nndb.com/people/078/000063886/,White,Na,Straight,Palmyra
Mary Astor,,http://www.nndb.com/people/690/000042564/,White,Roman Catholic,Straight,Quincy
Teresa Wright,,http://www.nndb.com/people/580/000045445/,White,Na,Straight,New York City
Katina Paxinou,,http://www.nndb.com/people/080/000063888/,White,Na,Straight,Athens
Ethel Barrymore,,http://www.nndb.com/people/743/000043614/,White,Roman Catholic,Straight,Philadelphia
Anne Revere,,http://www.nndb.com/people/081/000063889/,White,Na,Straight,New York City
Anne Baxter,,http://www.nndb.com/people/458/000026380/,White,Na,Straight,Michigan City
Celeste Holm,,http://www.nndb.com/people/084/000063892/,White,Na,Straight,New York City
Claire Trevor,,http://www.nndb.com/people/085/000063893/,White,Na,Straight,New York City
Mercedes McCambridge,,http://www.nndb.com/people/086/000063894/,White,Roman Catholic,Straight,Joliet
Josephine Hull,,http://www.nndb.com/people/087/000063895/,White,Na,Straight,Newtonville
Kim Hunter,,http://www.nndb.com/people/501/000051348/,White,Na,Straight,Detroit
Gloria Grahame,,http://www.nndb.com/people/088/000063896/,White,Na,Straight,Los Angeles
Donna Reed,,http://www.nndb.com/people/702/000031609/,White,Na,Straight,Denison
Eva Marie Saint,,http://www.nndb.com/people/980/000022914/,White,Na,Straight,Newark
Jo Van Fleet,,http://www.nndb.com/people/089/000063897/,White,Na,Straight,Oakland
Dorothy Malone,,http://www.nndb.com/people/090/000063898/,White,Na,Straight,Chicago
Miyoshi Umeki,,http://www.nndb.com/people/091/000063899/,Asian,Na,Straight,Otaro
Wendy Hiller,,http://www.nndb.com/people/056/000063864/,White,Na,Straight,Bramhall
Shelley Winters,,http://www.nndb.com/people/859/000022793/,White,Jewish,Straight,St. Louis
Shirley Jones,,http://www.nndb.com/people/795/000023726/,White,Methodist,Straight,Charleroi
Rita Moreno,,http://www.nndb.com/people/463/000023394/,Hispanic,Na,Straight,Humacao
Patty Duke,,http://www.nndb.com/people/775/000022709/,White,Roman Catholic,Straight,Elmhurst
Margaret Rutherford,,http://www.nndb.com/people/052/000063860/,White,Na,Straight,London
Lila Kedrova,,http://www.nndb.com/people/049/000063857/,White,Na,Straight,St. Petersburg
Sandy Dennis,,http://www.nndb.com/people/961/000063772/,White,Na,Bisexual,Hastings
Estelle Parsons,,http://www.nndb.com/people/475/000032379/,White,Na,Straight,Marblehead
Ruth Gordon,,http://www.nndb.com/people/818/000043689/,White,Na,Straight,Quincy
Goldie Hawn,,http://www.nndb.com/people/996/000022930/,White,Buddhist,Straight,Silver Spring
Cloris Leachman,,http://www.nndb.com/people/177/000023108/,White,Na,Straight,Des Moines
