person_name,person_dateofbirth,person_bio,person_race,person_religion,person_sexualorientation,person_birthplace
Eileen Heckart,,http://www.nndb.com/people/828/000063639/,White,Na,Straight,Columbus
Tatum O'Neal,,http://www.nndb.com/people/104/000024032/,White,Na,Straight,Los Angeles
Lee Grant,,http://www.nndb.com/people/409/000032313/,White,Jewish,Straight,New York City
Beatrice Straight,,http://www.nndb.com/people/817/000063628/,White,Na,Straight,Old Westbury
Vanessa Redgrave,,http://www.nndb.com/people/590/000023521/,White,Na,Straight,London
Mary Steenburgen,,http://www.nndb.com/people/271/000025196/,White,Na,Straight,Newport
Maureen Stapleton,,http://www.nndb.com/people/376/000032280/,White,Roman Catholic,Straight,Troy
Linda Hunt,,http://www.nndb.com/people/671/000024599/,White,Na,Na,Morristown
Peggy Ashcroft,,http://www.nndb.com/people/816/000063627/,White,Agnostic,Straight,Croydon
Anjelica Huston,,http://www.nndb.com/people/128/000025053/,White,Na,Straight,Santa Monica
Dianne Wiest,,http://www.nndb.com/people/894/000024822/,White,Na,Straight,Kansas City
Olympia Dukakis,,http://www.nndb.com/people/430/000023361/,White,Na,Straight,Lowell
Geena Davis,,http://www.nndb.com/people/883/000022817/,White,Congregationalist,Straight,Wareham
Brenda Fricker,,http://www.nndb.com/people/815/000063626/,White,Na,Straight,Dublin
Whoopi Goldberg,,http://www.nndb.com/people/242/000025167/,Black,Atheist,Straight,New York City
Mercedes Ruehl,,http://www.nndb.com/people/890/000024818/,Hispanic,Roman Catholic,Straight,Queens
Marisa Tomei,,http://www.nndb.com/people/985/000025910/,White,Na,Straight,Brooklyn
Anna Paquin,,http://www.nndb.com/people/763/000025688/,White,Na,Bisexual,Winnipeg
Mira Sorvino,,http://www.nndb.com/people/890/000025815/,White,Atheist,Straight,Tenafly
Juliette Binoche,,http://www.nndb.com/people/970/000025895/,White,Na,Straight,Paris
Kim Basinger,,http://www.nndb.com/people/310/000025235/,White,Na,Straight,Athens
Judi Dench,,http://www.nndb.com/people/824/000023755/,White,Quaker,Straight,York
Angelina Jolie,,http://www.nndb.com/people/493/000023424/,White,Buddhist,Bisexual,Los Angeles
Marcia Gay Harden,,http://www.nndb.com/people/641/000025566/,White,Na,Straight,La Jolla
Jennifer Connelly,,http://www.nndb.com/people/240/000026162/,White,Jewish,Straight,Catskill Mountains
Catherine Zeta-Jones,,http://www.nndb.com/people/516/000023447/,White,Roman Catholic,Straight,Mumbles
Ren̩e Zellweger,,http://www.nndb.com/people/708/000024636/,White,Na,Straight,Katy
Rachel Weisz,,http://www.nndb.com/people/309/000032213/,White,Jewish,Straight,London
Jennifer Hudson,,http://www.nndb.com/people/434/000129047/,Black,Baptist,Straight,Chicago
Tilda Swinton,,http://www.nndb.com/people/178/000108851/,White,Na,Straight,London
Penelope Cruz,,http://www.nndb.com/people/748/000025673/,Hispanic,Buddhist,Straight,Madrid
Mo'Nique,,http://www.nndb.com/people/836/000131443/,Black,Na,Straight,Woodlawn
Melissa Leo,,http://www.nndb.com/people/327/000042201/,White,Na,Straight,New York City
Octavia Spencer,,http://www.nndb.com/people/304/000281458/,Black,Na,Na,Montgomery
Anne Hathaway,,http://www.nndb.com/people/220/000032124/,White,Christian,Straight,Brooklyn
Lupita Nyong'o,,http://www.nndb.com/people/570/000380427/,Black,Na,Na,Mexico City
