movie_name,movie_date,movie_rating,movie_genre,movie_censor
The Sixth Sense,1970,8.2,Drama,PG-13
Shutter Island,1970,8.2,Mystery,R
A Beautiful Mind,1970,8.2,Biography,PG-13
Jurassic Park,1970,8.2,Action,PG-13
Yojimbo,1970,8.2,Action,Not Rated
The Treasure of the Sierra Madre,1970,8.2,Adventure,Passed
Monty Python and the Holy Grail,1970,8.2,Adventure,PG
The Great Escape,1970,8.2,Adventure,Approved
No Country for Old Men,1970,8.2,Crime,R
Spider-Man: No Way Home,1970,8.2,Action,PG-13
Kill Bill: Vol. 1,1970,8.2,Action,R
Rashomon,1970,8.2,Crime,Not Rated
The Thing,1970,8.2,Horror,R
Finding Nemo,1970,8.2,Animation,G
The Elephant Man,1970,8.2,Biography,PG
Chinatown,1970,8.2,Drama,R
Raging Bull,1970,8.2,Biography,R
V for Vendetta,1970,8.2,Action,R
Gone with the Wind,1970,8.2,Drama,Passed
"Lock, Stock and Two Smoking Barrels",1970,8.2,Action,R
Inside Out,1970,8.2,Animation,PG
Dial M for Murder,1970,8.2,Crime,PG
The Secret in Their Eyes,1970,8.2,Drama,R
Howl's Moving Castle,1970,8.2,Animation,PG
"Three Billboards Outside Ebbing, Missouri",1970,8.1,Comedy,R
The Bridge on the River Kwai,1970,8.2,Adventure,PG
Trainspotting,1970,8.1,Drama,R
Prisoners,1970,8.1,Crime,R
Warrior,1970,8.2,Action,PG-13
Fargo,1970,8.1,Crime,R
Gran Torino,1970,8.1,Drama,R
My Neighbor Totoro,1970,8.1,Animation,G
Catch Me If You Can,1970,8.1,Biography,PG-13
Million Dollar Baby,1970,8.1,Drama,PG-13
Children of Heaven,1970,8.2,Drama,PG
Blade Runner,1970,8.1,Action,R
The Gold Rush,1970,8.1,Adventure,Passed
Before Sunrise,1970,8.1,Drama,R
12 Years a Slave,1970,8.1,Biography,R
Klaus,1970,8.2,Animation,PG
Harry Potter and the Deathly Hallows: Part 2,1970,8.1,Adventure,PG-13
On the Waterfront,1970,8.1,Crime,Approved
Ben-Hur,1970,8.1,Adventure,G
Gone Girl,1970,8.1,Drama,R
The Grand Budapest Hotel,1970,8.1,Adventure,R
Wild Strawberries,1970,8.1,Drama,Not Rated
The General,1970,8.1,Action,Passed
The Third Man,1970,8.1,Film-Noir,Approved
In the Name of the Father,1970,8.1,Biography,R
The Deer Hunter,1970,8.1,Drama,R
Barry Lyndon,1970,8.1,Adventure,PG
Hacksaw Ridge,1970,8.1,Biography,R
The Wages of Fear,1970,8.2,Adventure,Not Rated
Memories of Murder,1970,8.1,Crime,Not Rated
Sherlock Jr.,1970,8.2,Action,Passed
Wild Tales,1970,8.1,Comedy,R
Mr. Smith Goes to Washington,1970,8.1,Comedy,Passed
Mad Max: Fury Road,1970,8.1,Action,R
The Seventh Seal,1970,8.1,Drama,Not Rated
Mary and Max,1970,8.1,Animation,Not Rated
How to Train Your Dragon,1970,8.1,Animation,PG
Room,1970,8.1,Drama,R
"Monsters, Inc.",1970,8.1,Animation,G
Jaws,1970,8.1,Adventure,PG
Dead Poets Society,1970,8.1,Comedy,PG
The Big Lebowski,1970,8.1,Comedy,R
Tokyo Story,1970,8.2,Drama,Not Rated
The Passion of Joan of Arc,1970,8.2,Biography,Passed
Hotel Rwanda,1970,8.1,Biography,PG-13
Ford v Ferrari,1970,8.1,Action,PG-13
Rocky,1970,8.1,Drama,PG
Platoon,1970,8.1,Drama,R
Ratatouille,1970,8.1,Animation,G
Spotlight,1970,8.1,Biography,R
The Terminator,1970,8.1,Action,R
Logan,1970,8.1,Action,R
Stand by Me,1970,8.1,Adventure,13+
Rush,1970,8.1,Action,R
Network,1970,8.1,Drama,R
Into the Wild,1970,8.1,Adventure,R
Before Sunset,1970,8.1,Drama,R
The Wizard of Oz,1970,8.1,Adventure,G
Pather Panchali,1970,8.3,Drama,Not Rated
Groundhog Day,1970,8.1,Comedy,PG
The Best Years of Our Lives,1970,8.1,Drama,Approved
The Exorcist,1970,8.1,Horror,R
The Incredibles,1970,8.0,Animation,PG
To Be or Not to Be,1970,8.2,Comedy,Passed
La haine,1970,8.1,Crime,Not Rated
The Battle of Algiers,1970,8.1,Drama,Not Rated
Pirates of the Caribbean: The Curse of the Black Pearl,1970,8.1,Action,PG-13
Hachi: A Dog's Tale,1970,8.1,Biography,G
The Grapes of Wrath,1970,8.1,Drama,Passed
Jai Bhim,1970,8.8,Crime,TV-MA
My Father and My Son,1970,8.2,Drama,Not Rated
Amores Perros,1970,8.1,Drama,R
Rebecca,1970,8.1,Drama,Approved
Cool Hand Luke,1970,8.1,Crime,GP
The Handmaiden,1970,8.1,Drama,Not Rated
The 400 Blows,1970,8.1,Crime,Not Rated
The Sound of Music,1970,8.1,Biography,G
It Happened One Night,1970,8.1,Comedy,Passed
Persona,1970,8.1,Drama,Not Rated
Life of Brian,1970,8.0,Comedy,R
The Iron Giant,1970,8.1,Animation,PG
The Help,1970,8.1,Drama,PG-13
Dersu Uzala,1970,8.2,Adventure,G
Aladdin,1970,8.0,Animation,G
Gandhi,1970,8.0,Biography,PG
Dances with Wolves,1970,8.0,Adventure,PG-13
Kantara,1970,9.3,Action,UA
The Empire Strikes Back,1970,8.7,Action,UA
Star Wars,1970,8.6,Action,U
Seppuku,1970,8.6,Action,Not Rated
Shichinin no samurai,1970,8.6,Action,U
Kaithi,1970,8.5,Action,UA
Asuran,1970,8.5,Action,UA
Sita Ramam,1970,8.5,Action,U
Léon,1970,8.5,Action,A
Vikram,1970,8.4,Action,UA
K.G.F: Chapter 2,1970,8.4,Action,UA
Shershaah,1970,8.4,Action,UA
Oldeuboi,1970,8.4,Action,A
Mononoke-hime,1970,8.4,Animation,U
Raiders of the Lost Ark,1970,8.4,Action,A
Vikram Vedha,1970,8.3,Action,UA
Major,1970,8.2,Action,UA
Uri: The Surgical Strike,1970,8.2,Action,UA
