movie_name,movie_date,actor,person_dateofbirth
The Shawshank Redemption,1994-01-01,Tim Robbins,
The Shawshank Redemption,1994-01-01,Morgan Freeman,
The Shawshank Redemption,1994-01-01,Bob Gunton,
The Shawshank Redemption,1994-01-01,William Sadler,
The Shawshank Redemption,1994-01-01,Clancy Brown,
The Shawshank Redemption,1994-01-01,Gil Bellows,
The Shawshank Redemption,1994-01-01,Mark Rolston,
The Shawshank Redemption,1994-01-01,James Whitmore,
The Shawshank Redemption,1994-01-01,Jeffrey DeMunn,
The Shawshank Redemption,1994-01-01,Larry Brandenburg,
The Shawshank Redemption,1994-01-01,Neil Giuntoli,
The Shawshank Redemption,1994-01-01,Brian Libby,
The Shawshank Redemption,1994-01-01,David Proval,
The Shawshank Redemption,1994-01-01,Joseph Ragno,
The Shawshank Redemption,1994-01-01,Jude Ciccolella,
The Shawshank Redemption,1994-01-01,Paul McCrane,
The Shawshank Redemption,1994-01-01,Renee Blaine,
The Shawshank Redemption,1994-01-01,Scott Mann,
The Godfather,1972-01-01,Marlon Brando,
The Godfather,1972-01-01,Al Pacino,
The Godfather,1972-01-01,James Caan,
The Godfather,1972-01-01,Diane Keaton,
The Godfather,1972-01-01,Richard S. Castellano,
The Godfather,1972-01-01,Robert Duvall,
The Godfather,1972-01-01,Sterling Hayden,
The Godfather,1972-01-01,John Marley,
The Godfather,1972-01-01,Richard Conte,
The Godfather,1972-01-01,Al Lettieri,
The Godfather,1972-01-01,Abe Vigoda,
The Godfather,1972-01-01,Talia Shire,
The Godfather,1972-01-01,Gianni Russo,
The Godfather,1972-01-01,John Cazale,
The Godfather,1972-01-01,Rudy Bond,
The Godfather,1972-01-01,Al Martino,
The Godfather,1972-01-01,Morgana King,
The Godfather,1972-01-01,Lenny Montana,
The Dark Knight,2008-01-01,Christian Bale,
The Dark Knight,2008-01-01,Heath Ledger,
The Dark Knight,2008-01-01,Aaron Eckhart,
The Dark Knight,2008-01-01,Michael Caine,
The Dark Knight,2008-01-01,Maggie Gyllenhaal,
The Dark Knight,2008-01-01,Gary Oldman,
The Dark Knight,2008-01-01,Morgan Freeman,
The Dark Knight,2008-01-01,Monique Gabriela Curnen,
The Dark Knight,2008-01-01,Ron Dean,
The Dark Knight,2008-01-01,Cillian Murphy,
The Dark Knight,2008-01-01,Chin Han,
The Dark Knight,2008-01-01,Nestor Carbonell,
The Dark Knight,2008-01-01,Eric Roberts,
The Dark Knight,2008-01-01,Ritchie Coster,
The Dark Knight,2008-01-01,Anthony Michael Hall,
The Dark Knight,2008-01-01,Keith Szarabajka,
The Dark Knight,2008-01-01,Colin McFarlane,
The Dark Knight,2008-01-01,Joshua Harto,
The Godfather Part II,1974-01-01,Al Pacino,
The Godfather Part II,1974-01-01,Robert De Niro,
The Godfather Part II,1974-01-01,Robert Duvall,
The Godfather Part II,1974-01-01,Diane Keaton,
The Godfather Part II,1974-01-01,John Cazale,
The Godfather Part II,1974-01-01,Talia Shire,
The Godfather Part II,1974-01-01,Lee Strasberg,
The Godfather Part II,1974-01-01,Michael V. Gazzo,
The Godfather Part II,1974-01-01,G.D. Spradlin,
The Godfather Part II,1974-01-01,Richard Bright,
The Godfather Part II,1974-01-01,Gastone Moschin,
The Godfather Part II,1974-01-01,Tom Rosqui,
The Godfather Part II,1974-01-01,Bruno Kirby,
The Godfather Part II,1974-01-01,Frank Sivero,
The Godfather Part II,1974-01-01,Francesca De Sapio,
The Godfather Part II,1974-01-01,Morgana King,
The Godfather Part II,1974-01-01,Marianna Hill,
The Godfather Part II,1974-01-01,Leopoldo Trieste,
12 Angry Men,1957-01-01,Henry Fonda,
12 Angry Men,1957-01-01,Lee J. Cobb,
12 Angry Men,1957-01-01,Martin Balsam,
12 Angry Men,1957-01-01,John Fiedler,
12 Angry Men,1957-01-01,E.G. Marshall,
12 Angry Men,1957-01-01,Jack Klugman,
12 Angry Men,1957-01-01,Edward Binns,
12 Angry Men,1957-01-01,Jack Warden,
12 Angry Men,1957-01-01,Joseph Sweeney,
12 Angry Men,1957-01-01,Ed Begley,
12 Angry Men,1957-01-01,George Voskovec,
12 Angry Men,1957-01-01,Robert Webber,
12 Angry Men,1957-01-01,Rudy Bond,
12 Angry Men,1957-01-01,Tom Gorman,
12 Angry Men,1957-01-01,James Kelly,
12 Angry Men,1957-01-01,Billy Nelson,
12 Angry Men,1957-01-01,John Savoca,
12 Angry Men,1957-01-01,Walter Stocker,
Schindler's List,1993-01-01,Liam Neeson,
Schindler's List,1993-01-01,Ralph Fiennes,
Schindler's List,1993-01-01,Ben Kingsley,
Schindler's List,1993-01-01,Caroline Goodall,
Schindler's List,1993-01-01,Jonathan Sagall,
Schindler's List,1993-01-01,Embeth Davidtz,
Schindler's List,1993-01-01,Malgorzata Gebel,
Schindler's List,1993-01-01,Shmuel Levy,
Schindler's List,1993-01-01,Mark Ivanir,
Schindler's List,1993-01-01,Béatrice Macola,
Schindler's List,1993-01-01,Andrzej Seweryn,
Schindler's List,1993-01-01,Friedrich von Thun,
Schindler's List,1993-01-01,Krzysztof Luft,
Schindler's List,1993-01-01,Harry Nehring,
Schindler's List,1993-01-01,Norbert Weisser,
Schindler's List,1993-01-01,Adi Nitzan,
Schindler's List,1993-01-01,Michael Schneider,
Schindler's List,1993-01-01,Miri Fabian,
The Lord of the Rings: The Return of the King,2003-01-01,Elijah Wood,
The Lord of the Rings: The Return of the King,2003-01-01,Viggo Mortensen,
The Lord of the Rings: The Return of the King,2003-01-01,Ian McKellen,
The Lord of the Rings: The Return of the King,2003-01-01,Orlando Bloom,
The Lord of the Rings: The Return of the King,2003-01-01,Noel Appleby,
The Lord of the Rings: The Return of the King,2003-01-01,Ali Astin,
The Lord of the Rings: The Return of the King,2003-01-01,Sean Astin,
The Lord of the Rings: The Return of the King,2003-01-01,David Aston,
The Lord of the Rings: The Return of the King,2003-01-01,John Bach,
The Lord of the Rings: The Return of the King,2003-01-01,Sean Bean,
The Lord of the Rings: The Return of the King,2003-01-01,Cate Blanchett,
The Lord of the Rings: The Return of the King,2003-01-01,Billy Boyd,
The Lord of the Rings: The Return of the King,2003-01-01,Sadwyn Brophy,
The Lord of the Rings: The Return of the King,2003-01-01,Alistair Browning,
The Lord of the Rings: The Return of the King,2003-01-01,Marton Csokas,
The Lord of the Rings: The Return of the King,2003-01-01,Richard Edge,
The Lord of the Rings: The Return of the King,2003-01-01,Jason Fitch,
The Lord of the Rings: The Return of the King,2003-01-01,Bernard Hill,
Pulp Fiction,1994-01-01,John Travolta,
Pulp Fiction,1994-01-01,Uma Thurman,
Pulp Fiction,1994-01-01,Samuel L. Jackson,
Pulp Fiction,1994-01-01,Bruce Willis,
Pulp Fiction,1994-01-01,Tim Roth,
Pulp Fiction,1994-01-01,Amanda Plummer,
Pulp Fiction,1994-01-01,Laura Lovelace,
Pulp Fiction,1994-01-01,Phil LaMarr,
Pulp Fiction,1994-01-01,Frank Whaley,
Pulp Fiction,1994-01-01,Burr Steers,
Pulp Fiction,1994-01-01,Ving Rhames,
Pulp Fiction,1994-01-01,Paul Calderon,
Pulp Fiction,1994-01-01,Bronagh Gallagher,
Pulp Fiction,1994-01-01,Rosanna Arquette,
Pulp Fiction,1994-01-01,Eric Stoltz,
Pulp Fiction,1994-01-01,Jerome Patrick Hoban,
Pulp Fiction,1994-01-01,Michael Gilden,
Pulp Fiction,1994-01-01,Gary Shorelle,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Elijah Wood,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Ian McKellen,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Orlando Bloom,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Sean Bean,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Alan Howard,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Noel Appleby,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Sean Astin,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Sala Baker,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Billy Boyd,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Andy Serkis,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Marton Csokas,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Viggo Mortensen,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Megan Edwards,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Michael Elsworth,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Cate Blanchett,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Mark Ferguson,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Ian Holm,
The Lord of the Rings: The Fellowship of the Ring,2001-01-01,Christopher Lee,
"The Good, the Bad and the Ugly",1966-01-01,Clint Eastwood,
"The Good, the Bad and the Ugly",1966-01-01,Eli Wallach,
"The Good, the Bad and the Ugly",1966-01-01,Lee Van Cleef,
"The Good, the Bad and the Ugly",1966-01-01,Aldo Giuffrè,
"The Good, the Bad and the Ugly",1966-01-01,Luigi Pistilli,
"The Good, the Bad and the Ugly",1966-01-01,Rada Rassimov,
"The Good, the Bad and the Ugly",1966-01-01,Enzo Petito,
"The Good, the Bad and the Ugly",1966-01-01,Claudio Scarchilli,
"The Good, the Bad and the Ugly",1966-01-01,John Bartha,
"The Good, the Bad and the Ugly",1966-01-01,Livio Lorenzon,
"The Good, the Bad and the Ugly",1966-01-01,Antonio Casale,
"The Good, the Bad and the Ugly",1966-01-01,Sandro Scarchilli,
"The Good, the Bad and the Ugly",1966-01-01,Benito Stefanelli,
"The Good, the Bad and the Ugly",1966-01-01,Angelo Novi,
"The Good, the Bad and the Ugly",1966-01-01,Antonio Casas,
"The Good, the Bad and the Ugly",1966-01-01,Aldo Sambrell,
"The Good, the Bad and the Ugly",1966-01-01,Al Mulock,
"The Good, the Bad and the Ugly",1966-01-01,Sergio Mendizábal,
Forrest Gump,1994-01-01,Tom Hanks,
Forrest Gump,1994-01-01,Robin Wright,
Forrest Gump,1994-01-01,Gary Sinise,
Forrest Gump,1994-01-01,Sally Field,
Forrest Gump,1994-01-01,Rebecca Williams,
Forrest Gump,1994-01-01,Michael Conner Humphreys,
Forrest Gump,1994-01-01,Harold G. Herthum,
Forrest Gump,1994-01-01,George Kelly,
Forrest Gump,1994-01-01,Bob Penny,
Forrest Gump,1994-01-01,John Randall,
Forrest Gump,1994-01-01,Sam Anderson,
Forrest Gump,1994-01-01,Margo Moorer,
Forrest Gump,1994-01-01,Ione M. Telech,
Forrest Gump,1994-01-01,Christine Seabrook,
Forrest Gump,1994-01-01,John Worsham,
Forrest Gump,1994-01-01,Peter Dobson,
Forrest Gump,1994-01-01,Siobhan Fallon Hogan,
Forrest Gump,1994-01-01,Alexander Zemeckis,
Fight Club,1999-01-01,Brad Pitt,
Fight Club,1999-01-01,Edward Norton,
Fight Club,1999-01-01,Meat Loaf,
Fight Club,1999-01-01,Zach Grenier,
Fight Club,1999-01-01,Richmond Arquette,
Fight Club,1999-01-01,David Andrews,
Fight Club,1999-01-01,George Maguire,
Fight Club,1999-01-01,Eugenie Bondurant,
Fight Club,1999-01-01,Christina Cabot,
Fight Club,1999-01-01,Helena Bonham Carter,
Fight Club,1999-01-01,Sydney 'Big Dawg' Colston,
Fight Club,1999-01-01,Rachel Singer,
Fight Club,1999-01-01,Christie Cronenweth,
Fight Club,1999-01-01,Tim DeZarn,
Fight Club,1999-01-01,Ezra Buzzington,
Fight Club,1999-01-01,Dierdre Downing-Jackson,
Fight Club,1999-01-01,Bob Stephenson,
Fight Club,1999-01-01,Charlie Dell,
The Lord of the Rings: The Two Towers,2002-01-01,Elijah Wood,
The Lord of the Rings: The Two Towers,2002-01-01,Ian McKellen,
The Lord of the Rings: The Two Towers,2002-01-01,Viggo Mortensen,
The Lord of the Rings: The Two Towers,2002-01-01,Orlando Bloom,
The Lord of the Rings: The Two Towers,2002-01-01,Bruce Allpress,
The Lord of the Rings: The Two Towers,2002-01-01,Sean Astin,
The Lord of the Rings: The Two Towers,2002-01-01,John Bach,
The Lord of the Rings: The Two Towers,2002-01-01,Sala Baker,
The Lord of the Rings: The Two Towers,2002-01-01,Cate Blanchett,
The Lord of the Rings: The Two Towers,2002-01-01,Billy Boyd,
The Lord of the Rings: The Two Towers,2002-01-01,Jed Brophy,
The Lord of the Rings: The Two Towers,2002-01-01,Sam Comery,
The Lord of the Rings: The Two Towers,2002-01-01,Brad Dourif,
The Lord of the Rings: The Two Towers,2002-01-01,Calum Gittins,
The Lord of the Rings: The Two Towers,2002-01-01,Bernard Hill,
The Lord of the Rings: The Two Towers,2002-01-01,Bruce Hopkins,
The Lord of the Rings: The Two Towers,2002-01-01,Paris Howe Strewe,
The Lord of the Rings: The Two Towers,2002-01-01,Christopher Lee,
Inception,2010-01-01,Leonardo DiCaprio,
Inception,2010-01-01,Joseph Gordon-Levitt,
Inception,2010-01-01,Elliot Page,
Inception,2010-01-01,Ken Watanabe,
Inception,2010-01-01,Tom Hardy,
Inception,2010-01-01,Dileep Rao,
Inception,2010-01-01,Cillian Murphy,
Inception,2010-01-01,Tom Berenger,
Inception,2010-01-01,Marion Cotillard,
Inception,2010-01-01,Pete Postlethwaite,
Inception,2010-01-01,Michael Caine,
Inception,2010-01-01,Lukas Haas,
Inception,2010-01-01,Tai-Li Lee,
Inception,2010-01-01,Claire Geare,
Inception,2010-01-01,Magnus Nolan,
Inception,2010-01-01,Taylor Geare,
Inception,2010-01-01,Johnathan Geare,
Inception,2010-01-01,Tohoru Masamune,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Mark Hamill,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Harrison Ford,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Carrie Fisher,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Billy Dee Williams,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Anthony Daniels,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,David Prowse,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Peter Mayhew,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Kenny Baker,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Frank Oz,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Alec Guinness,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Jeremy Bulloch,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,John Hollis,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Jack Purvis,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Des Webb,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Clive Revill,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Kenneth Colley,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Julian Glover,
Star Wars: Episode V - The Empire Strikes Back,1980-01-01,Michael Sheard,
The Matrix,1999-01-01,Keanu Reeves,
The Matrix,1999-01-01,Laurence Fishburne,
The Matrix,1999-01-01,Carrie-Anne Moss,
The Matrix,1999-01-01,Hugo Weaving,
The Matrix,1999-01-01,Gloria Foster,
The Matrix,1999-01-01,Joe Pantoliano,
The Matrix,1999-01-01,Marcus Chong,
The Matrix,1999-01-01,Julian Arahanga,
The Matrix,1999-01-01,Matt Doran,
The Matrix,1999-01-01,Belinda McClory,
The Matrix,1999-01-01,Anthony Ray Parker,
The Matrix,1999-01-01,Paul Goddard,
The Matrix,1999-01-01,Robert Taylor,
The Matrix,1999-01-01,David Aston,
The Matrix,1999-01-01,Marc Aden Gray,
The Matrix,1999-01-01,Ada Nicodemou,
The Matrix,1999-01-01,Deni Gordon,
The Matrix,1999-01-01,Rowan Witt,
Goodfellas,1990-01-01,Robert De Niro,
Goodfellas,1990-01-01,Ray Liotta,
Goodfellas,1990-01-01,Joe Pesci,
Goodfellas,1990-01-01,Lorraine Bracco,
Goodfellas,1990-01-01,Paul Sorvino,
Goodfellas,1990-01-01,Frank Sivero,
Goodfellas,1990-01-01,Tony Darrow,
Goodfellas,1990-01-01,Mike Starr,
Goodfellas,1990-01-01,Frank Vincent,
Goodfellas,1990-01-01,Chuck Low,
Goodfellas,1990-01-01,Frank DiLeo,
Goodfellas,1990-01-01,Henny Youngman,
Goodfellas,1990-01-01,Gina Mastrogiacomo,
Goodfellas,1990-01-01,Catherine Scorsese,
Goodfellas,1990-01-01,Charles Scorsese,
Goodfellas,1990-01-01,Suzanne Shepherd,
Goodfellas,1990-01-01,Debi Mazar,
Goodfellas,1990-01-01,Margo Winkler,
One Flew Over the Cuckoo's Nest,1975-01-01,Jack Nicholson,
One Flew Over the Cuckoo's Nest,1975-01-01,Louise Fletcher,
One Flew Over the Cuckoo's Nest,1975-01-01,Michael Berryman,
One Flew Over the Cuckoo's Nest,1975-01-01,Peter Brocco,
One Flew Over the Cuckoo's Nest,1975-01-01,Dean R. Brooks,
One Flew Over the Cuckoo's Nest,1975-01-01,Alonzo Brown,
One Flew Over the Cuckoo's Nest,1975-01-01,Scatman Crothers,
One Flew Over the Cuckoo's Nest,1975-01-01,Mwako Cumbuka,
One Flew Over the Cuckoo's Nest,1975-01-01,Danny DeVito,
One Flew Over the Cuckoo's Nest,1975-01-01,William Duell,
One Flew Over the Cuckoo's Nest,1975-01-01,Josip Elic,
One Flew Over the Cuckoo's Nest,1975-01-01,Lan Fendors,
One Flew Over the Cuckoo's Nest,1975-01-01,Nathan George,
One Flew Over the Cuckoo's Nest,1975-01-01,Ken Kenny,
One Flew Over the Cuckoo's Nest,1975-01-01,Mel Lambert,
One Flew Over the Cuckoo's Nest,1975-01-01,Sydney Lassick,
One Flew Over the Cuckoo's Nest,1975-01-01,Kay Lee,
One Flew Over the Cuckoo's Nest,1975-01-01,Christopher Lloyd,
Se7en,1995-01-01,Morgan Freeman,
Se7en,1995-01-01,Brad Pitt,
Se7en,1995-01-01,Kevin Spacey,
Se7en,1995-01-01,Andrew Kevin Walker,
Se7en,1995-01-01,Daniel Zacapa,
Se7en,1995-01-01,Gwyneth Paltrow,
Se7en,1995-01-01,John Cassini,
Se7en,1995-01-01,Bob Mack,
Se7en,1995-01-01,Peter Crombie,
Se7en,1995-01-01,Reg E. Cathey,
Se7en,1995-01-01,R. Lee Ermey,
Se7en,1995-01-01,George Christy,
Se7en,1995-01-01,Endre Hules,
Se7en,1995-01-01,Hawthorne James,
Se7en,1995-01-01,William Davidson,
Se7en,1995-01-01,Bob Collins,
Se7en,1995-01-01,Jimmy Dale Hartsell,
Se7en,1995-01-01,Richard Roundtree,
Seven Samurai,1954-01-01,Toshirô Mifune,
Seven Samurai,1954-01-01,Takashi Shimura,
Seven Samurai,1954-01-01,Keiko Tsushima,
Seven Samurai,1954-01-01,Yukiko Shimazaki,
Seven Samurai,1954-01-01,Kamatari Fujiwara,
Seven Samurai,1954-01-01,Daisuke Katô,
Seven Samurai,1954-01-01,Isao Kimura,
Seven Samurai,1954-01-01,Minoru Chiaki,
Seven Samurai,1954-01-01,Seiji Miyaguchi,
Seven Samurai,1954-01-01,Yoshio Kosugi,
Seven Samurai,1954-01-01,Bokuzen Hidari,
Seven Samurai,1954-01-01,Yoshio Inaba,
Seven Samurai,1954-01-01,Yoshio Tsuchiya,
Seven Samurai,1954-01-01,Kokuten Kôdô,
Seven Samurai,1954-01-01,Eijirô Tôno,
Seven Samurai,1954-01-01,Kichijirô Ueda,
Seven Samurai,1954-01-01,Jun Tatara,
Seven Samurai,1954-01-01,Atsushi Watanabe,
It's a Wonderful Life,1946-01-01,James Stewart,
It's a Wonderful Life,1946-01-01,Donna Reed,
It's a Wonderful Life,1946-01-01,Lionel Barrymore,
It's a Wonderful Life,1946-01-01,Thomas Mitchell,
It's a Wonderful Life,1946-01-01,Henry Travers,
It's a Wonderful Life,1946-01-01,Beulah Bondi,
It's a Wonderful Life,1946-01-01,Frank Faylen,
It's a Wonderful Life,1946-01-01,Ward Bond,
It's a Wonderful Life,1946-01-01,Gloria Grahame,
It's a Wonderful Life,1946-01-01,H.B. Warner,
It's a Wonderful Life,1946-01-01,Frank Albertson,
It's a Wonderful Life,1946-01-01,Todd Karns,
It's a Wonderful Life,1946-01-01,Samuel S. Hinds,
It's a Wonderful Life,1946-01-01,Mary Treen,
It's a Wonderful Life,1946-01-01,Virginia Patton,
It's a Wonderful Life,1946-01-01,Charles Williams,
It's a Wonderful Life,1946-01-01,Sarah Edwards,
It's a Wonderful Life,1946-01-01,William Edmunds,
The Silence of the Lambs,1991-01-01,Jodie Foster,
The Silence of the Lambs,1991-01-01,Anthony Hopkins,
The Silence of the Lambs,1991-01-01,Lawrence A. Bonney,
The Silence of the Lambs,1991-01-01,Kasi Lemmons,
The Silence of the Lambs,1991-01-01,Lawrence T. Wrentz,
The Silence of the Lambs,1991-01-01,Scott Glenn,
The Silence of the Lambs,1991-01-01,Anthony Heald,
The Silence of the Lambs,1991-01-01,Frankie Faison,
The Silence of the Lambs,1991-01-01,Don Brockett,
The Silence of the Lambs,1991-01-01,Frank Seals Jr.,
The Silence of the Lambs,1991-01-01,Stuart Rudin,
The Silence of the Lambs,1991-01-01,Maria Skorobogatov,
The Silence of the Lambs,1991-01-01,Jeffrie Lane,
The Silence of the Lambs,1991-01-01,Leib Lensky,
The Silence of the Lambs,1991-01-01,George 'Red' Schwartz,
The Silence of the Lambs,1991-01-01,Jim Roche,
The Silence of the Lambs,1991-01-01,Brooke Smith,
The Silence of the Lambs,1991-01-01,Ted Levine,
City of God,2002-01-01,Alexandre Rodrigues,
City of God,2002-01-01,Leandro Firmino,
City of God,2002-01-01,Matheus Nachtergaele,
City of God,2002-01-01,Phellipe Haagensen,
City of God,2002-01-01,Douglas Silva,
City of God,2002-01-01,Jonathan Haagensen,
City of God,2002-01-01,Seu Jorge,
City of God,2002-01-01,Jefechander Suplino,
City of God,2002-01-01,Alice Braga,
City of God,2002-01-01,Emerson Gomes,
City of God,2002-01-01,Edson Oliveira,
City of God,2002-01-01,Michel Gomes,
City of God,2002-01-01,Roberta Rodrigues,
City of God,2002-01-01,Luis Otávio,
City of God,2002-01-01,Kiko Marques,
City of God,2002-01-01,Gustavo Engrácia,
City of God,2002-01-01,Darlan Cunha,
City of God,2002-01-01,Robson Rocha,
Saving Private Ryan,1998-01-01,Tom Hanks,
Saving Private Ryan,1998-01-01,Matt Damon,
Saving Private Ryan,1998-01-01,Tom Sizemore,
Saving Private Ryan,1998-01-01,Edward Burns,
Saving Private Ryan,1998-01-01,Barry Pepper,
Saving Private Ryan,1998-01-01,Adam Goldberg,
Saving Private Ryan,1998-01-01,Vin Diesel,
Saving Private Ryan,1998-01-01,Giovanni Ribisi,
Saving Private Ryan,1998-01-01,Jeremy Davies,
Saving Private Ryan,1998-01-01,Ted Danson,
Saving Private Ryan,1998-01-01,Paul Giamatti,
Saving Private Ryan,1998-01-01,Dennis Farina,
Saving Private Ryan,1998-01-01,Joerg Stadler,
Saving Private Ryan,1998-01-01,Max Martini,
Saving Private Ryan,1998-01-01,Dylan Bruno,
Saving Private Ryan,1998-01-01,Daniel Cerqueira,
Saving Private Ryan,1998-01-01,Demetri Goritsas,
Saving Private Ryan,1998-01-01,Ian Porter,
Interstellar,2014-01-01,Matthew McConaughey,
Interstellar,2014-01-01,Anne Hathaway,
Interstellar,2014-01-01,Jessica Chastain,
Interstellar,2014-01-01,Mackenzie Foy,
Interstellar,2014-01-01,Ellen Burstyn,
Interstellar,2014-01-01,John Lithgow,
Interstellar,2014-01-01,Timothée Chalamet,
Interstellar,2014-01-01,David Oyelowo,
Interstellar,2014-01-01,Collette Wolfe,
Interstellar,2014-01-01,Francis X. McCarthy,
Interstellar,2014-01-01,Bill Irwin,
Interstellar,2014-01-01,Andrew Borba,
Interstellar,2014-01-01,Wes Bentley,
Interstellar,2014-01-01,William Devane,
Interstellar,2014-01-01,Michael Caine,
Interstellar,2014-01-01,David Gyasi,
Interstellar,2014-01-01,Josh Stewart,
Interstellar,2014-01-01,Casey Affleck,
Life Is Beautiful,1997-01-01,Roberto Benigni,
Life Is Beautiful,1997-01-01,Nicoletta Braschi,
Life Is Beautiful,1997-01-01,Giorgio Cantarini,
Life Is Beautiful,1997-01-01,Giustino Durano,
Life Is Beautiful,1997-01-01,Sergio Bini Bustric,
Life Is Beautiful,1997-01-01,Marisa Paredes,
Life Is Beautiful,1997-01-01,Horst Buchholz,
Life Is Beautiful,1997-01-01,Lidia Alfonsi,
Life Is Beautiful,1997-01-01,Giuliana Lojodice,
Life Is Beautiful,1997-01-01,Amerigo Fontani,
Life Is Beautiful,1997-01-01,Pietro De Silva,
Life Is Beautiful,1997-01-01,Francesco Guzzo,
Life Is Beautiful,1997-01-01,Raffaella Lebboroni,
Life Is Beautiful,1997-01-01,Claudio Alfonsi,
Life Is Beautiful,1997-01-01,Gil Baroni,
Life Is Beautiful,1997-01-01,Massimo Bianchi,
Life Is Beautiful,1997-01-01,Jürgen Bohn,
Life Is Beautiful,1997-01-01,Verena Buratti,
The Green Mile,1999-01-01,Tom Hanks,
The Green Mile,1999-01-01,Michael Clarke Duncan,
The Green Mile,1999-01-01,David Morse,
The Green Mile,1999-01-01,Bonnie Hunt,
The Green Mile,1999-01-01,James Cromwell,
The Green Mile,1999-01-01,Michael Jeter,
The Green Mile,1999-01-01,Graham Greene,
The Green Mile,1999-01-01,Doug Hutchison,
The Green Mile,1999-01-01,Sam Rockwell,
The Green Mile,1999-01-01,Barry Pepper,
The Green Mile,1999-01-01,Jeffrey DeMunn,
The Green Mile,1999-01-01,Patricia Clarkson,
The Green Mile,1999-01-01,Harry Dean Stanton,
The Green Mile,1999-01-01,Dabbs Greer,
The Green Mile,1999-01-01,Eve Brent,
The Green Mile,1999-01-01,William Sadler,
The Green Mile,1999-01-01,Mack Miles,
The Green Mile,1999-01-01,Rai Tasco,
Star Wars: Episode IV - A New Hope,1977-01-01,Mark Hamill,
Star Wars: Episode IV - A New Hope,1977-01-01,Harrison Ford,
Star Wars: Episode IV - A New Hope,1977-01-01,Carrie Fisher,
Star Wars: Episode IV - A New Hope,1977-01-01,Alec Guinness,
Star Wars: Episode IV - A New Hope,1977-01-01,Peter Cushing,
Star Wars: Episode IV - A New Hope,1977-01-01,Anthony Daniels,
Star Wars: Episode IV - A New Hope,1977-01-01,Kenny Baker,
Star Wars: Episode IV - A New Hope,1977-01-01,Peter Mayhew,
Star Wars: Episode IV - A New Hope,1977-01-01,David Prowse,
Star Wars: Episode IV - A New Hope,1977-01-01,Phil Brown,
Star Wars: Episode IV - A New Hope,1977-01-01,Shelagh Fraser,
Star Wars: Episode IV - A New Hope,1977-01-01,Jack Purvis,
Star Wars: Episode IV - A New Hope,1977-01-01,Alex McCrindle,
Star Wars: Episode IV - A New Hope,1977-01-01,Eddie Byrne,
Star Wars: Episode IV - A New Hope,1977-01-01,Drewe Henley,
Star Wars: Episode IV - A New Hope,1977-01-01,Denis Lawson,
Star Wars: Episode IV - A New Hope,1977-01-01,Garrick Hagon,
Star Wars: Episode IV - A New Hope,1977-01-01,Jack Klaff,
Terminator 2: Judgment Day,1991-01-01,Arnold Schwarzenegger,
Terminator 2: Judgment Day,1991-01-01,Linda Hamilton,
Terminator 2: Judgment Day,1991-01-01,Edward Furlong,
Terminator 2: Judgment Day,1991-01-01,Robert Patrick,
Terminator 2: Judgment Day,1991-01-01,Earl Boen,
Terminator 2: Judgment Day,1991-01-01,Joe Morton,
Terminator 2: Judgment Day,1991-01-01,S. Epatha Merkerson,
Terminator 2: Judgment Day,1991-01-01,Castulo Guerra,
Terminator 2: Judgment Day,1991-01-01,Danny Cooksey,
Terminator 2: Judgment Day,1991-01-01,Jenette Goldstein,
Terminator 2: Judgment Day,1991-01-01,Xander Berkeley,
