movie_name,movie_date,movie_rating,movie_genre,movie_censor,budget,revenue
Star Wars: Episode VI - Return of the Jedi,1983-01-01,8.3,Action,PG,,
Eternal Sunshine of the Spotless Mind,2004-01-01,8.3,Drama,R,20000000.0,
2001: A Space Odyssey,1968-01-01,8.3,Adventure,G,10500000.0,
Reservoir Dogs,1992-01-01,8.3,Crime,R,1200000.0,
Come and See,1985-01-01,8.4,Drama,Not Rated,,
The Hunt,2012-01-01,8.3,Drama,R,,
The Hunt,2012-01-01,8.3,Drama,R,,
The Hunt,2012-01-01,8.3,Drama,R,,
Citizen Kane,1941-01-01,8.3,Drama,PG,839727.0,
M,1931-01-01,8.3,Crime,Passed,25000000.0,
Lawrence of Arabia,1962-01-01,8.3,Adventure,Approved,15000000.0,
North by Northwest,1959-01-01,8.3,Action,Approved,4300000.0,
Vertigo,1958-01-01,8.3,Mystery,PG,,
Ikiru,1952-01-01,8.3,Drama,Not Rated,,
Amélie,2001-01-01,8.3,Comedy,R,,
The Apartment,1960-01-01,8.3,Comedy,Approved,,
A Clockwork Orange,1971-01-01,8.3,Crime,X,2200000.0,
Double Indemnity,1944-01-01,8.3,Crime,Passed,,
Full Metal Jacket,1987-01-01,8.3,Drama,R,,
Top Gun: Maverick,2022-01-01,8.3,Action,PG-13,,
Scarface,1983-01-01,8.3,Crime,R,25000000.0,
Scarface,1983-01-01,8.3,Crime,R,25000000.0,
Hamilton,2020-01-01,8.4,Biography,PG-13,,
Incendies,2010-01-01,8.3,Drama,R,6800000.0,
To Kill a Mockingbird,1962-01-01,8.3,Crime,Approved,,
Heat,1995-01-01,8.3,Action,R,,
Heat,1995-01-01,8.3,Action,R,,
The Sting,1973-01-01,8.3,Comedy,PG,5500000.0,
Up,2009-01-01,8.3,Animation,PG,5000000.0,
Up,2009-01-01,8.3,Animation,PG,5000000.0,
A Separation,2011-01-01,8.3,Drama,PG-13,800000.0,
Metropolis,1927-01-01,8.3,Drama,Not Rated,,
Metropolis,1927-01-01,8.3,Drama,Not Rated,,
Taxi Driver,1976-01-01,8.2,Crime,R,1900000.0,
L.A. Confidential,1997-01-01,8.2,Crime,R,,
Die Hard,1988-01-01,8.2,Action,R,28000000.0,
Snatch,2000-01-01,8.2,Comedy,R,,
Indiana Jones and the Last Crusade,1989-01-01,8.2,Action,PG-13,48000000.0,
Bicycle Thieves,1948-01-01,8.3,Drama,Not Rated,133000.0,
Like Stars on Earth,2007-01-01,8.3,Drama,PG,,
1917,2019-01-01,8.2,Action,R,,
Downfall,2004-01-01,8.2,Biography,R,13500000.0,
Dangal,2016-01-01,8.3,Action,Not Rated,,
For a Few Dollars More,1965-01-01,8.2,Western,R,,
Batman Begins,2005-01-01,8.2,Action,PG-13,,
The Kid,1921-01-01,8.3,Comedy,Passed,,
The Kid,1921-01-01,8.3,Comedy,Passed,,
The Kid,1921-01-01,8.3,Comedy,Passed,,
Some Like It Hot,1959-01-01,8.2,Comedy,Passed,,
The Father,2020-01-01,8.2,Drama,PG-13,,
All About Eve,1950-01-01,8.2,Drama,Passed,1400000.0,
The Wolf of Wall Street,2013-01-01,8.2,Biography,R,100000000.0,
Green Book,2018-01-01,8.2,Biography,PG-13,,
Judgment at Nuremberg,1961-01-01,8.3,Drama,Approved,,
Casino,1995-01-01,8.2,Crime,R,50000000.0,
