movie_name,movie_date,award_year,award_category,award_winner
Midnight Cowboy,1969,1970,DIRECTING,True
Arthur Rubinstein - The Love of Life,1969,1970,DOCUMENTARY (Feature),True
Czechoslovakia 1968,1969,1970,DOCUMENTARY (Short Subject),True
Z,1969,1970,FILM EDITING,True
Z,1969,1970,FOREIGN LANGUAGE FILM,True
Butch Cassidy and the Sundance Kid,1969,1970,MUSIC (Original Score--for a motion picture [not a musical]),True
"Hello, Dolly!",1969,1970,MUSIC (Score of a Musical Picture--original or adaptation),True
Butch Cassidy and the Sundance Kid,1969,1970,MUSIC (Song--Original for the Picture),True
Midnight Cowboy,1969,1970,BEST PICTURE,True
It's Tough to Be a Bird,1969,1970,SHORT SUBJECT (Cartoon),True
The Magic Machines,1969,1970,SHORT SUBJECT (Live Action),True
"Hello, Dolly!",1969,1970,SOUND,True
Marooned,1969,1970,SPECIAL VISUAL EFFECTS,True
Midnight Cowboy,1969,1970,WRITING (Screenplay--based on material from another medium),True
Butch Cassidy and the Sundance Kid,1969,1970,WRITING (Story and Screenplay--based on material not previously published or produced),True
Patton,1970,1971,ACTOR,True
Ryan's Daughter,1970,1971,ACTOR IN A SUPPORTING ROLE,True
Women in Love,1970,1971,ACTRESS,True
Airport,1970,1971,ACTRESS IN A SUPPORTING ROLE,True
Patton,1970,1971,ART DIRECTION,True
Ryan's Daughter,1970,1971,CINEMATOGRAPHY,True
Cromwell,1970,1971,COSTUME DESIGN,True
Patton,1970,1971,DIRECTING,True
Woodstock,1970,1971,DOCUMENTARY (Feature),True
Interviews with My Lai Veterans,1970,1971,DOCUMENTARY (Short Subject),True
Patton,1970,1971,FILM EDITING,True
Investigation of a Citizen above Suspicion,1970,1971,FOREIGN LANGUAGE FILM,True
Love Story,1970,1971,MUSIC (Original Score),True
Let It Be,1970,1971,MUSIC (Original Song Score),True
Lovers and Other Strangers,1970,1971,MUSIC (Song--Original for the Picture),True
Patton,1970,1971,BEST PICTURE,True
Is It Always Right to Be Right?,1970,1971,SHORT SUBJECT (Cartoon),True
The Resurrection of Broncho Billy,1970,1971,SHORT SUBJECT (Live Action),True
Patton,1970,1971,SOUND,True
Tora! Tora! Tora!,1970,1971,SPECIAL VISUAL EFFECTS,True
M*A*S*H,1970,1971,WRITING (Screenplay--based on material from another medium),True
Patton,1970,1971,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),True
The French Connection,1971,1972,ACTOR,True
Klute,1971,1972,ACTRESS,True
Nicholas and Alexandra,1971,1972,ART DIRECTION,True
Fiddler on the Roof,1971,1972,CINEMATOGRAPHY,True
Nicholas and Alexandra,1971,1972,COSTUME DESIGN,True
The French Connection,1971,1972,DIRECTING,True
The Hellstrom Chronicle,1971,1972,DOCUMENTARY (Feature),True
Sentinels of Silence,1971,1972,DOCUMENTARY (Short Subject),True
The French Connection,1971,1972,FILM EDITING,True
The Garden of the Finzi Continis,1971,1972,FOREIGN LANGUAGE FILM,True
Summer of '42,1971,1972,MUSIC (Original Dramatic Score),True
Fiddler on the Roof,1971,1972,MUSIC (Scoring: Adaptation and Original Song Score),True
Shaft,1971,1972,MUSIC (Song--Original for the Picture),True
The French Connection,1971,1972,BEST PICTURE,True
The Crunch Bird,1971,1972,SHORT SUBJECT (Animated),True
Sentinels of Silence,1971,1972,SHORT SUBJECT (Live Action),True
Fiddler on the Roof,1971,1972,SOUND,True
Bedknobs and Broomsticks,1971,1972,SPECIAL VISUAL EFFECTS,True
The French Connection,1971,1972,WRITING (Screenplay--based on material from another medium),True
The Hospital,1971,1972,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),True
The Godfather,1972,1973,ACTOR,True
Cabaret,1972,1973,ACTOR IN A SUPPORTING ROLE,True
Cabaret,1972,1973,ACTRESS,True
Butterflies Are Free,1972,1973,ACTRESS IN A SUPPORTING ROLE,True
Cabaret,1972,1973,ART DIRECTION,True
Cabaret,1972,1973,CINEMATOGRAPHY,True
Travels with My Aunt,1972,1973,COSTUME DESIGN,True
Cabaret,1972,1973,DIRECTING,True
Marjoe,1972,1973,DOCUMENTARY (Feature),True
This Tiny World,1972,1973,DOCUMENTARY (Short Subject),True
Cabaret,1972,1973,FILM EDITING,True
The Discreet Charm of the Bourgeoisie,1972,1973,FOREIGN LANGUAGE FILM,True
Limelight,1972,1973,MUSIC (Original Dramatic Score),True
Cabaret,1972,1973,MUSIC (Scoring: Adaptation and Original Song Score),True
The Poseidon Adventure,1972,1973,MUSIC (Song--Original for the Picture),True
The Godfather,1972,1973,BEST PICTURE,True
A Christmas Carol,1972,1973,SHORT SUBJECT (Animated),True
Norman Rockwell's World...An American Dream,1972,1973,SHORT SUBJECT (Live Action),True
Cabaret,1972,1973,SOUND,True
The Godfather,1972,1973,WRITING (Screenplay--based on material from another medium),True
The Candidate,1972,1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),True
The Poseidon Adventure,1972,1973,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
Save the Tiger,1973,1974,ACTOR,True
The Paper Chase,1973,1974,ACTOR IN A SUPPORTING ROLE,True
A Touch of Class,1973,1974,ACTRESS,True
The Sting,1973,1974,ART DIRECTION,True
Cries and Whispers,1973,1974,CINEMATOGRAPHY,True
The Sting,1973,1974,COSTUME DESIGN,True
The Sting,1973,1974,DIRECTING,True
The Great American Cowboy,1973,1974,DOCUMENTARY (Feature),True
Princeton: A Search for Answers,1973,1974,DOCUMENTARY (Short Subject),True
The Sting,1973,1974,FILM EDITING,True
Day for Night,1973,1974,FOREIGN LANGUAGE FILM,True
The Way We Were,1973,1974,MUSIC (Original Dramatic Score),True
The Sting,1973,1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),True
The Way We Were,1973,1974,MUSIC (Song),True
The Sting,1973,1974,BEST PICTURE,True
Frank Film,1973,1974,SHORT SUBJECT (Animated),True
The Bolero,1973,1974,SHORT SUBJECT (Live Action),True
The Exorcist,1973,1974,SOUND,True
The Exorcist,1973,1974,WRITING (Screenplay--based on material from another medium),True
The Sting,1973,1974,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),True
Harry and Tonto,1974,1975,ACTOR,True
The Godfather Part II,1974,1975,ACTOR IN A SUPPORTING ROLE,True
Alice Doesn't Live Here Anymore,1974,1975,ACTRESS,True
Murder on the Orient Express,1974,1975,ACTRESS IN A SUPPORTING ROLE,True
The Godfather Part II,1974,1975,ART DIRECTION,True
The Towering Inferno,1974,1975,CINEMATOGRAPHY,True
The Great Gatsby,1974,1975,COSTUME DESIGN,True
The Godfather Part II,1974,1975,DIRECTING,True
Hearts and Minds,1974,1975,DOCUMENTARY (Feature),True
Don't,1974,1975,DOCUMENTARY (Short Subject),True
The Towering Inferno,1974,1975,FILM EDITING,True
Amarcord,1974,1975,FOREIGN LANGUAGE FILM,True
The Godfather Part II,1974,1975,MUSIC (Original Dramatic Score),True
The Great Gatsby,1974,1975,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),True
The Towering Inferno,1974,1975,MUSIC (Song),True
The Godfather Part II,1974,1975,BEST PICTURE,True
Closed Mondays,1974,1975,SHORT FILM (Animated),True
One-Eyed Men Are Kings,1974,1975,SHORT FILM (Live Action),True
Earthquake,1974,1975,SOUND,True
Chinatown,1974,1975,WRITING (Original Screenplay),True
The Godfather Part II,1974,1975,WRITING (Screenplay Adapted from Other Material),True
Earthquake,1974,1975,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
One Flew over the Cuckoo's Nest,1975,1976,ACTOR,True
The Sunshine Boys,1975,1976,ACTOR IN A SUPPORTING ROLE,True
One Flew over the Cuckoo's Nest,1975,1976,ACTRESS,True
Shampoo,1975,1976,ACTRESS IN A SUPPORTING ROLE,True
Barry Lyndon,1975,1976,ART DIRECTION,True
Barry Lyndon,1975,1976,CINEMATOGRAPHY,True
Barry Lyndon,1975,1976,COSTUME DESIGN,True
One Flew over the Cuckoo's Nest,1975,1976,DIRECTING,True
The Man Who Skied down Everest,1975,1976,DOCUMENTARY (Feature),True
The End of the Game,1975,1976,DOCUMENTARY (Short Subject),True
Jaws,1975,1976,FILM EDITING,True
Dersu Uzala,1975,1976,FOREIGN LANGUAGE FILM,True
Jaws,1975,1976,MUSIC (Original Score),True
Barry Lyndon,1975,1976,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),True
Nashville,1975,1976,MUSIC (Original Song),True
One Flew over the Cuckoo's Nest,1975,1976,BEST PICTURE,True
Great,1975,1976,SHORT FILM (Animated),True
Angel and Big Joe,1975,1976,SHORT FILM (Live Action),True
Jaws,1975,1976,SOUND,True
Dog Day Afternoon,1975,1976,WRITING (Original Screenplay),True
One Flew over the Cuckoo's Nest,1975,1976,WRITING (Screenplay Adapted from Other Material),True
The Hindenburg,1975,1976,SPECIAL ACHIEVEMENT AWARD (Sound Effects),True
The Hindenburg,1975,1976,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
Network,1976,1977,ACTOR IN A LEADING ROLE,True
All the President's Men,1976,1977,ACTOR IN A SUPPORTING ROLE,True
Network,1976,1977,ACTRESS IN A LEADING ROLE,True
Network,1976,1977,ACTRESS IN A SUPPORTING ROLE,True
All the President's Men,1976,1977,ART DIRECTION,True
Bound for Glory,1976,1977,CINEMATOGRAPHY,True
Fellini's Casanova,1976,1977,COSTUME DESIGN,True
Rocky,1976,1977,DIRECTING,True
"Harlan County, U.S.A.",1976,1977,DOCUMENTARY (Feature),True
Number Our Days,1976,1977,DOCUMENTARY (Short Subject),True
Rocky,1976,1977,FILM EDITING,True
Black and White in Color,1976,1977,FOREIGN LANGUAGE FILM,True
The Omen,1976,1977,MUSIC (Original Score),True
Bound for Glory,1976,1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),True
A Star Is Born,1976,1977,MUSIC (Original Song),True
Rocky,1976,1977,BEST PICTURE,True
Leisure,1976,1977,SHORT FILM (Animated),True
In the Region of Ice,1976,1977,SHORT FILM (Live Action),True
All the President's Men,1976,1977,SOUND,True
All the President's Men,1976,1977,WRITING (Screenplay--based on material from another medium),True
Network,1976,1977,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),True
King Kong,1976,1977,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
Logan's Run,1976,1977,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
The Goodbye Girl,1977,1978,ACTOR IN A LEADING ROLE,True
Julia,1977,1978,ACTOR IN A SUPPORTING ROLE,True
Annie Hall,1977,1978,ACTRESS IN A LEADING ROLE,True
Julia,1977,1978,ACTRESS IN A SUPPORTING ROLE,True
Star Wars,1977,1978,ART DIRECTION,True
Close Encounters of the Third Kind,1977,1978,CINEMATOGRAPHY,True
Star Wars,1977,1978,COSTUME DESIGN,True
Annie Hall,1977,1978,DIRECTING,True
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1978,DOCUMENTARY (Feature),True
Gravity Is My Enemy,1977,1978,DOCUMENTARY (Short Subject),True
Star Wars,1977,1978,FILM EDITING,True
Madame Rosa,1977,1978,FOREIGN LANGUAGE FILM,True
Star Wars,1977,1978,MUSIC (Original Score),True
A Little Night Music,1977,1978,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),True
You Light Up My Life,1977,1978,MUSIC (Original Song),True
Annie Hall,1977,1978,BEST PICTURE,True
The Sand Castle,1977,1978,SHORT FILM (Animated),True
I'll Find a Way,1977,1978,SHORT FILM (Live Action),True
Star Wars,1977,1978,SOUND,True
Star Wars,1977,1978,VISUAL EFFECTS,True
Julia,1977,1978,WRITING (Screenplay--based on material from another medium),True
Annie Hall,1977,1978,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),True
Close Encounters of the Third Kind,1977,1978,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
Coming Home,1978,1979,ACTOR IN A LEADING ROLE,True
The Deer Hunter,1978,1979,ACTOR IN A SUPPORTING ROLE,True
Coming Home,1978,1979,ACTRESS IN A LEADING ROLE,True
California Suite,1978,1979,ACTRESS IN A SUPPORTING ROLE,True
Heaven Can Wait,1978,1979,ART DIRECTION,True
Days of Heaven,1978,1979,CINEMATOGRAPHY,True
Death on the Nile,1978,1979,COSTUME DESIGN,True
The Deer Hunter,1978,1979,DIRECTING,True
Scared Straight!,1978,1979,DOCUMENTARY (Feature),True
The Flight of the Gossamer Condor,1978,1979,DOCUMENTARY (Short Subject),True
The Deer Hunter,1978,1979,FILM EDITING,True
Get Out Your Handkerchiefs,1978,1979,FOREIGN LANGUAGE FILM,True
The Buddy Holly Story,1978,1979,MUSIC (Adaptation Score),True
Midnight Express,1978,1979,MUSIC (Original Score),True
Thank God It's Friday,1978,1979,MUSIC (Original Song),True
The Deer Hunter,1978,1979,BEST PICTURE,True
Special Delivery,1978,1979,SHORT FILM (Animated),True
Teenage Father,1978,1979,SHORT FILM (Live Action),True
The Deer Hunter,1978,1979,SOUND,True
Midnight Express,1978,1979,WRITING (Screenplay Based on Material from Another Medium),True
Coming Home,1978,1979,WRITING (Screenplay Written Directly for the Screen),True
Superman,1978,1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
Kramer vs. Kramer,1979,1980,ACTOR IN A LEADING ROLE,True
Being There,1979,1980,ACTOR IN A SUPPORTING ROLE,True
Norma Rae,1979,1980,ACTRESS IN A LEADING ROLE,True
All That Jazz,1979,1980,ART DIRECTION,True
Apocalypse Now,1979,1980,CINEMATOGRAPHY,True
All That Jazz,1979,1980,COSTUME DESIGN,True
Kramer vs. Kramer,1979,1980,DIRECTING,True
Best Boy,1979,1980,DOCUMENTARY (Feature),True
Paul Robeson: Tribute to an Artist,1979,1980,DOCUMENTARY (Short Subject),True
All That Jazz,1979,1980,FILM EDITING,True
The Tin Drum,1979,1980,FOREIGN LANGUAGE FILM,True
A Little Romance,1979,1980,MUSIC (Original Score),True
All That Jazz,1979,1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),True
Norma Rae,1979,1980,MUSIC (Original Song),True
Kramer vs. Kramer,1979,1980,BEST PICTURE,True
Every Child,1979,1980,SHORT FILM (Animated),True
Board and Care,1979,1980,SHORT FILM (Live Action),True
Apocalypse Now,1979,1980,SOUND,True
Alien,1979,1980,VISUAL EFFECTS,True
Kramer vs. Kramer,1979,1980,WRITING (Screenplay Based on Material from Another Medium),True
Breaking Away,1979,1980,WRITING (Screenplay Written Directly for the Screen),True
The Black Stallion,1979,1980,SPECIAL ACHIEVEMENT AWARD (Sound Editing),True
Raging Bull,1980,1981,ACTOR IN A LEADING ROLE,True
Coal Miner's Daughter,1980,1981,ACTRESS IN A LEADING ROLE,True
Melvin and Howard,1980,1981,ACTRESS IN A SUPPORTING ROLE,True
Tess,1980,1981,ART DIRECTION,True
Tess,1980,1981,CINEMATOGRAPHY,True
Tess,1980,1981,COSTUME DESIGN,True
Ordinary People,1980,1981,DIRECTING,True
From Mao to Mozart: Isaac Stern in China,1980,1981,DOCUMENTARY (Feature),True
Karl Hess: Toward Liberty,1980,1981,DOCUMENTARY (Short Subject),True
Raging Bull,1980,1981,FILM EDITING,True
Moscow Does Not Believe in Tears,1980,1981,FOREIGN LANGUAGE FILM,True
Fame,1980,1981,MUSIC (Original Score),True
Fame,1980,1981,MUSIC (Original Song),True
Ordinary People,1980,1981,BEST PICTURE,True
The Fly,1980,1981,SHORT FILM (Animated),True
The Dollar Bottom,1980,1981,SHORT FILM (Dramatic Live Action),True
The Empire Strikes Back,1980,1981,SOUND,True
Ordinary People,1980,1981,WRITING (Screenplay Based on Material from Another Medium),True
Melvin and Howard,1980,1981,WRITING (Screenplay Written Directly for the Screen),True
The Empire Strikes Back,1980,1981,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
On Golden Pond,1981,1982,ACTOR IN A LEADING ROLE,True
Arthur,1981,1982,ACTOR IN A SUPPORTING ROLE,True
On Golden Pond,1981,1982,ACTRESS IN A LEADING ROLE,True
Reds,1981,1982,ACTRESS IN A SUPPORTING ROLE,True
Raiders of the Lost Ark,1981,1982,ART DIRECTION,True
Reds,1981,1982,CINEMATOGRAPHY,True
Chariots of Fire,1981,1982,COSTUME DESIGN,True
Reds,1981,1982,DIRECTING,True
Genocide,1981,1982,DOCUMENTARY (Feature),True
Close Harmony,1981,1982,DOCUMENTARY (Short Subject),True
Raiders of the Lost Ark,1981,1982,FILM EDITING,True
Mephisto,1981,1982,FOREIGN LANGUAGE FILM,True
An American Werewolf in London,1981,1982,MAKEUP,True
Chariots of Fire,1981,1982,MUSIC (Original Score),True
Arthur,1981,1982,MUSIC (Original Song),True
Chariots of Fire,1981,1982,BEST PICTURE,True
Crac,1981,1982,SHORT FILM (Animated),True
Violet,1981,1982,SHORT FILM (Live Action),True
Raiders of the Lost Ark,1981,1982,SOUND,True
Raiders of the Lost Ark,1981,1982,VISUAL EFFECTS,True
On Golden Pond,1981,1982,WRITING (Screenplay Based on Material from Another Medium),True
Chariots of Fire,1981,1982,WRITING (Screenplay Written Directly for the Screen),True
Raiders of the Lost Ark,1981,1982,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
Gandhi,1982,1983,ACTOR IN A LEADING ROLE,True
An Officer and a Gentleman,1982,1983,ACTOR IN A SUPPORTING ROLE,True
Sophie's Choice,1982,1983,ACTRESS IN A LEADING ROLE,True
Gandhi,1982,1983,ART DIRECTION,True
Gandhi,1982,1983,CINEMATOGRAPHY,True
Gandhi,1982,1983,COSTUME DESIGN,True
Gandhi,1982,1983,DIRECTING,True
Just Another Missing Kid,1982,1983,DOCUMENTARY (Feature),True
If You Love This Planet,1982,1983,DOCUMENTARY (Short Subject),True
Gandhi,1982,1983,FILM EDITING,True
Volver a Empezar ('To Begin Again'),1982,1983,FOREIGN LANGUAGE FILM,True
Quest for Fire,1982,1983,MAKEUP,True
E.T. The Extra-Terrestrial,1982,1983,MUSIC (Original Score),True
Victor/Victoria,1982,1983,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),True
An Officer and a Gentleman,1982,1983,MUSIC (Original Song),True
Gandhi,1982,1983,BEST PICTURE,True
Tango,1982,1983,SHORT FILM (Animated),True
A Shocking Accident,1982,1983,SHORT FILM (Live Action),True
E.T. The Extra-Terrestrial,1982,1983,SOUND,True
E.T. The Extra-Terrestrial,1982,1983,SOUND EFFECTS EDITING,True
E.T. The Extra-Terrestrial,1982,1983,VISUAL EFFECTS,True
Missing,1982,1983,WRITING (Screenplay Based on Material from Another Medium),True
Gandhi,1982,1983,WRITING (Screenplay Written Directly for the Screen),True
Tender Mercies,1983,1984,ACTOR IN A LEADING ROLE,True
Terms of Endearment,1983,1984,ACTRESS IN A LEADING ROLE,True
The Year of Living Dangerously,1983,1984,ACTRESS IN A SUPPORTING ROLE,True
Fanny & Alexander,1983,1984,ART DIRECTION,True
Fanny & Alexander,1983,1984,CINEMATOGRAPHY,True
Fanny & Alexander,1983,1984,COSTUME DESIGN,True
Terms of Endearment,1983,1984,DIRECTING,True
He Makes Me Feel Like Dancin',1983,1984,DOCUMENTARY (Feature),True
Flamenco at 5:15,1983,1984,DOCUMENTARY (Short Subject),True
The Right Stuff,1983,1984,FILM EDITING,True
Fanny & Alexander,1983,1984,FOREIGN LANGUAGE FILM,True
The Right Stuff,1983,1984,MUSIC (Original Score),True
Yentl,1983,1984,MUSIC (Original Song Score or Adaptation Score),True
Flashdance,1983,1984,MUSIC (Original Song),True
Terms of Endearment,1983,1984,BEST PICTURE,True
Sundae in New York,1983,1984,SHORT FILM (Animated),True
Boys and Girls,1983,1984,SHORT FILM (Live Action),True
The Right Stuff,1983,1984,SOUND,True
The Right Stuff,1983,1984,SOUND EFFECTS EDITING,True
Terms of Endearment,1983,1984,WRITING (Screenplay Based on Material from Another Medium),True
Tender Mercies,1983,1984,WRITING (Screenplay Written Directly for the Screen),True
Return of the Jedi,1983,1984,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
Amadeus,1984,1985,ACTOR IN A LEADING ROLE,True
The Killing Fields,1984,1985,ACTOR IN A SUPPORTING ROLE,True
Places in the Heart,1984,1985,ACTRESS IN A LEADING ROLE,True
A Passage to India,1984,1985,ACTRESS IN A SUPPORTING ROLE,True
Amadeus,1984,1985,ART DIRECTION,True
The Killing Fields,1984,1985,CINEMATOGRAPHY,True
Amadeus,1984,1985,COSTUME DESIGN,True
Amadeus,1984,1985,DIRECTING,True
The Times of Harvey Milk,1984,1985,DOCUMENTARY (Feature),True
The Stone Carvers,1984,1985,DOCUMENTARY (Short Subject),True
The Killing Fields,1984,1985,FILM EDITING,True
Dangerous Moves,1984,1985,FOREIGN LANGUAGE FILM,True
Amadeus,1984,1985,MAKEUP,True
A Passage to India,1984,1985,MUSIC (Original Score),True
Purple Rain,1984,1985,MUSIC (Original Song Score),True
The Woman in Red,1984,1985,MUSIC (Original Song),True
Amadeus,1984,1985,BEST PICTURE,True
Charade,1984,1985,SHORT FILM (Animated),True
Up,1984,1985,SHORT FILM (Live Action),True
Amadeus,1984,1985,SOUND,True
Indiana Jones and the Temple of Doom,1984,1985,VISUAL EFFECTS,True
Amadeus,1984,1985,WRITING (Screenplay Based on Material from Another Medium),True
Places in the Heart,1984,1985,WRITING (Screenplay Written Directly for the Screen),True
The River,1984,1985,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
Kiss of the Spider Woman,1985,1986,ACTOR IN A LEADING ROLE,True
Cocoon,1985,1986,ACTOR IN A SUPPORTING ROLE,True
The Trip to Bountiful,1985,1986,ACTRESS IN A LEADING ROLE,True
Prizzi's Honor,1985,1986,ACTRESS IN A SUPPORTING ROLE,True
Out of Africa,1985,1986,ART DIRECTION,True
Out of Africa,1985,1986,CINEMATOGRAPHY,True
Ran,1985,1986,COSTUME DESIGN,True
Out of Africa,1985,1986,DIRECTING,True
Broken Rainbow,1985,1986,DOCUMENTARY (Feature),True
Witness to War: Dr. Charlie Clements,1985,1986,DOCUMENTARY (Short Subject),True
Witness,1985,1986,FILM EDITING,True
The Official Story,1985,1986,FOREIGN LANGUAGE FILM,True
Mask,1985,1986,MAKEUP,True
Out of Africa,1985,1986,MUSIC (Original Score),True
White Nights,1985,1986,MUSIC (Original Song),True
Out of Africa,1985,1986,BEST PICTURE,True
Anna & Bella,1985,1986,SHORT FILM (Animated),True
Molly's Pilgrim,1985,1986,SHORT FILM (Live Action),True
Out of Africa,1985,1986,SOUND,True
Back to the Future,1985,1986,SOUND EFFECTS EDITING,True
Cocoon,1985,1986,VISUAL EFFECTS,True
Out of Africa,1985,1986,WRITING (Screenplay Based on Material from Another Medium),True
Witness,1985,1986,WRITING (Screenplay Written Directly for the Screen),True
The Color of Money,1986,1987,ACTOR IN A LEADING ROLE,True
Hannah and Her Sisters,1986,1987,ACTOR IN A SUPPORTING ROLE,True
Children of a Lesser God,1986,1987,ACTRESS IN A LEADING ROLE,True
Hannah and Her Sisters,1986,1987,ACTRESS IN A SUPPORTING ROLE,True
A Room with a View,1986,1987,ART DIRECTION,True
The Mission,1986,1987,CINEMATOGRAPHY,True
A Room with a View,1986,1987,COSTUME DESIGN,True
Platoon,1986,1987,DIRECTING,True
Artie Shaw: Time Is All You've Got,1986,1987,DOCUMENTARY (Feature),True
Down and Out in America,1986,1987,DOCUMENTARY (Feature),True
"Women--for America, for the World",1986,1987,DOCUMENTARY (Short Subject),True
Platoon,1986,1987,FILM EDITING,True
The Assault,1986,1987,FOREIGN LANGUAGE FILM,True
The Fly,1986,1987,MAKEUP,True
'Round Midnight,1986,1987,MUSIC (Original Score),True
Top Gun,1986,1987,MUSIC (Original Song),True
Platoon,1986,1987,BEST PICTURE,True
A Greek Tragedy,1986,1987,SHORT FILM (Animated),True
Precious Images,1986,1987,SHORT FILM (Live Action),True
Platoon,1986,1987,SOUND,True
Aliens,1986,1987,SOUND EFFECTS EDITING,True
Aliens,1986,1987,VISUAL EFFECTS,True
A Room with a View,1986,1987,WRITING (Screenplay Based on Material from Another Medium),True
Hannah and Her Sisters,1986,1987,WRITING (Screenplay Written Directly for the Screen),True
Wall Street,1987,1988,ACTOR IN A LEADING ROLE,True
The Untouchables,1987,1988,ACTOR IN A SUPPORTING ROLE,True
Moonstruck,1987,1988,ACTRESS IN A LEADING ROLE,True
Moonstruck,1987,1988,ACTRESS IN A SUPPORTING ROLE,True
The Last Emperor,1987,1988,ART DIRECTION,True
The Last Emperor,1987,1988,CINEMATOGRAPHY,True
The Last Emperor,1987,1988,COSTUME DESIGN,True
The Last Emperor,1987,1988,DIRECTING,True
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,1987,1988,DOCUMENTARY (Feature),True
Young at Heart,1987,1988,DOCUMENTARY (Short Subject),True
The Last Emperor,1987,1988,FILM EDITING,True
Babette's Feast,1987,1988,FOREIGN LANGUAGE FILM,True
Harry and the Hendersons,1987,1988,MAKEUP,True
The Last Emperor,1987,1988,MUSIC (Original Score),True
Dirty Dancing,1987,1988,MUSIC (Original Song),True
The Last Emperor,1987,1988,BEST PICTURE,True
The Man Who Planted Trees,1987,1988,SHORT FILM (Animated),True
Ray's Male Heterosexual Dance Hall,1987,1988,SHORT FILM (Live Action),True
The Last Emperor,1987,1988,SOUND,True
Innerspace,1987,1988,VISUAL EFFECTS,True
The Last Emperor,1987,1988,WRITING (Screenplay Based on Material from Another Medium),True
Moonstruck,1987,1988,WRITING (Screenplay Written Directly for the Screen),True
RoboCop,1987,1988,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
Rain Man,1988,1989,ACTOR IN A LEADING ROLE,True
A Fish Called Wanda,1988,1989,ACTOR IN A SUPPORTING ROLE,True
The Accused,1988,1989,ACTRESS IN A LEADING ROLE,True
The Accidental Tourist,1988,1989,ACTRESS IN A SUPPORTING ROLE,True
Dangerous Liaisons,1988,1989,ART DIRECTION,True
Mississippi Burning,1988,1989,CINEMATOGRAPHY,True
Dangerous Liaisons,1988,1989,COSTUME DESIGN,True
Rain Man,1988,1989,DIRECTING,True
Hotel Terminus: The Life and Times of Klaus Barbie,1988,1989,DOCUMENTARY (Feature),True
You Don't Have to Die,1988,1989,DOCUMENTARY (Short Subject),True
Who Framed Roger Rabbit,1988,1989,FILM EDITING,True
Pelle the Conqueror,1988,1989,FOREIGN LANGUAGE FILM,True
Beetlejuice,1988,1989,MAKEUP,True
The Milagro Beanfield War,1988,1989,MUSIC (Original Score),True
Working Girl,1988,1989,MUSIC (Original Song),True
Rain Man,1988,1989,BEST PICTURE,True
Tin Toy,1988,1989,SHORT FILM (Animated),True
The Appointments of Dennis Jennings,1988,1989,SHORT FILM (Live Action),True
Bird,1988,1989,SOUND,True
Who Framed Roger Rabbit,1988,1989,SOUND EFFECTS EDITING,True
Who Framed Roger Rabbit,1988,1989,VISUAL EFFECTS,True
Dangerous Liaisons,1988,1989,WRITING (Screenplay Based on Material from Another Medium),True
Rain Man,1988,1989,WRITING (Screenplay Written Directly for the Screen),True
My Left Foot,1989,1990,ACTOR IN A LEADING ROLE,True
Glory,1989,1990,ACTOR IN A SUPPORTING ROLE,True
Driving Miss Daisy,1989,1990,ACTRESS IN A LEADING ROLE,True
My Left Foot,1989,1990,ACTRESS IN A SUPPORTING ROLE,True
Batman,1989,1990,ART DIRECTION,True
Glory,1989,1990,CINEMATOGRAPHY,True
Henry V,1989,1990,COSTUME DESIGN,True
Born on the Fourth of July,1989,1990,DIRECTING,True
Common Threads: Stories from the Quilt,1989,1990,DOCUMENTARY (Feature),True
The Johnstown Flood,1989,1990,DOCUMENTARY (Short Subject),True
Born on the Fourth of July,1989,1990,FILM EDITING,True
Cinema Paradiso,1989,1990,FOREIGN LANGUAGE FILM,True
Driving Miss Daisy,1989,1990,MAKEUP,True
The Little Mermaid,1989,1990,MUSIC (Original Score),True
