movie_name,movie_date,award_year,award_category,award_person,person_dateofbirth
The Noose,1927-01-01,1928-01-01,ACTOR,Richard Barthelmess,
The Last Command,1927-01-01,1928-01-01,ACTOR,Emil Jannings,
A Ship Comes In,1927-01-01,1928-01-01,ACTRESS,Louise Dresser,
7th Heaven,1927-01-01,1928-01-01,ACTRESS,Janet Gaynor,
Sadie Thompson,1927-01-01,1928-01-01,ACTRESS,Gloria Swanson,
Sunrise,1927-01-01,1928-01-01,ART DIRECTION,Rochus Gliese,
The Dove;,1927-01-01,1928-01-01,ART DIRECTION,William Cameron Menzies,
7th Heaven,1927-01-01,1928-01-01,ART DIRECTION,Harry Oliver,
The Devil Dancer;,1927-01-01,1928-01-01,CINEMATOGRAPHY,George Barnes,
Sunrise,1927-01-01,1928-01-01,CINEMATOGRAPHY,Charles Rosher,
Two Arabian Knights,1927-01-01,1928-01-01,DIRECTING (Comedy Picture),Lewis Milestone,
Speedy,1927-01-01,1928-01-01,DIRECTING (Comedy Picture),Ted Wilde,
7th Heaven,1927-01-01,1928-01-01,DIRECTING (Dramatic Picture),Frank Borzage,
Sorrell and Son,1927-01-01,1928-01-01,DIRECTING (Dramatic Picture),Herbert Brenon,
The Crowd,1927-01-01,1928-01-01,DIRECTING (Dramatic Picture),King Vidor,
Wings,1927-01-01,1928-01-01,ENGINEERING EFFECTS,Roy Pomeroy,
The Racket,1927-01-01,1928-01-01,OUTSTANDING PICTURE,The Caddo Company,
7th Heaven,1927-01-01,1928-01-01,OUTSTANDING PICTURE,Fox,
Wings,1927-01-01,1928-01-01,OUTSTANDING PICTURE,Paramount Famous Lasky,
Sunrise,1927-01-01,1928-01-01,UNIQUE AND ARTISTIC PICTURE,Fox,
The Crowd,1927-01-01,1928-01-01,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,
Chang,1927-01-01,1928-01-01,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,
The Jazz Singer,1927-01-01,1928-01-01,WRITING (Adaptation),Alfred Cohn,
Glorious Betsy,1927-01-01,1928-01-01,WRITING (Adaptation),Anthony Coldeway,
7th Heaven,1927-01-01,1928-01-01,WRITING (Adaptation),Benjamin Glazer,
The Last Command,1927-01-01,1928-01-01,WRITING (Original Story),Lajos Biro,
Underworld,1927-01-01,1928-01-01,WRITING (Original Story),Ben Hecht,
The Private Life of Helen of Troy,1927-01-01,1928-01-01,WRITING (Title Writing),Gerald Duffy,
Thunderbolt,1928-01-01,1929-01-01,ACTOR,George Bancroft,
In Old Arizona,1928-01-01,1929-01-01,ACTOR,Warner Baxter,
Alibi,1928-01-01,1929-01-01,ACTOR,Chester Morris,
The Valiant,1928-01-01,1929-01-01,ACTOR,Paul Muni,
The Patriot,1928-01-01,1929-01-01,ACTOR,Lewis Stone,
Madame X,1928-01-01,1929-01-01,ACTRESS,Ruth Chatterton,
The Barker,1928-01-01,1929-01-01,ACTRESS,Betty Compson,
The Letter,1928-01-01,1929-01-01,ACTRESS,Jeanne Eagels,
The Divine Lady,1928-01-01,1929-01-01,ACTRESS,Corinne Griffith,
The Broadway Melody,1928-01-01,1929-01-01,ACTRESS,Bessie Love,
Coquette,1928-01-01,1929-01-01,ACTRESS,Mary Pickford,
The Patriot,1928-01-01,1929-01-01,ART DIRECTION,Hans Dreier,
The Bridge of San Luis Rey,1928-01-01,1929-01-01,ART DIRECTION,Cedric Gibbons,
Dynamite,1928-01-01,1929-01-01,ART DIRECTION,Mitchell Leisen,
Alibi;,1928-01-01,1929-01-01,ART DIRECTION,William Cameron Menzies,
Street Angel,1928-01-01,1929-01-01,ART DIRECTION,Harry Oliver,
Our Dancing Daughters,1928-01-01,1929-01-01,CINEMATOGRAPHY,George Barnes,
White Shadows in the South Seas,1928-01-01,1929-01-01,CINEMATOGRAPHY,Clyde De Vinna,
In Old Arizona,1928-01-01,1929-01-01,CINEMATOGRAPHY,Arthur Edeson,
Four Devils;,1928-01-01,1929-01-01,CINEMATOGRAPHY,Ernest Palmer,
The Divine Lady,1928-01-01,1929-01-01,CINEMATOGRAPHY,John Seitz,
Madame X,1928-01-01,1929-01-01,DIRECTING,Lionel Barrymore,
The Broadway Melody,1928-01-01,1929-01-01,DIRECTING,Harry Beaumont,
In Old Arizona,1928-01-01,1929-01-01,DIRECTING,Irving Cummings,
The Divine Lady,1928-01-01,1929-01-01,DIRECTING,Frank Lloyd,
Drag;,1928-01-01,1929-01-01,DIRECTING,Frank Lloyd,
The Patriot,1928-01-01,1929-01-01,DIRECTING,Ernst Lubitsch,
Alibi,1928-01-01,1929-01-01,OUTSTANDING PICTURE,Feature Productions,
In Old Arizona,1928-01-01,1929-01-01,OUTSTANDING PICTURE,Fox,
The Broadway Melody,1928-01-01,1929-01-01,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,
Hollywood Revue,1928-01-01,1929-01-01,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,
The Patriot,1928-01-01,1929-01-01,OUTSTANDING PICTURE,Paramount Famous Lasky,
In Old Arizona;,1928-01-01,1929-01-01,WRITING,Tom Barry,
The Cop;,1928-01-01,1929-01-01,WRITING,Elliott Clawson,
The Last of Mrs. Cheyney,1928-01-01,1929-01-01,WRITING,Hans Kraly,
The Patriot,1928-01-01,1929-01-01,WRITING,Hans Kraly,
Our Dancing Daughters,1928-01-01,1929-01-01,WRITING,Josephine Lovett,
A Woman of Affairs;,1928-01-01,1929-01-01,WRITING,Bess Meredyth,
Disraeli,1929-01-01,1930-01-01,ACTOR,George Arliss,
The Green Goddess,1929-01-01,1930-01-01,ACTOR,George Arliss,
The Big House,1929-01-01,1930-01-01,ACTOR,Wallace Beery,
The Big Pond,1929-01-01,1930-01-01,ACTOR,Maurice Chevalier,
Bulldog Drummond,1929-01-01,1930-01-01,ACTOR,Ronald Colman,
The Rogue Song,1929-01-01,1930-01-01,ACTOR,Lawrence Tibbett,
The Devil's Holiday,1929-01-01,1930-01-01,ACTRESS,Nancy Carroll,
Sarah and Son,1929-01-01,1930-01-01,ACTRESS,Ruth Chatterton,
Anna Christie,1929-01-01,1930-01-01,ACTRESS,Greta Garbo,
The Divorcee,1929-01-01,1930-01-01,ACTRESS,Norma Shearer,
Their Own Desire,1929-01-01,1930-01-01,ACTRESS,Norma Shearer,
The Trespasser,1929-01-01,1930-01-01,ACTRESS,Gloria Swanson,
Bulldog Drummond,1929-01-01,1930-01-01,ART DIRECTION,(William Cameron Menzies),
King of Jazz,1929-01-01,1930-01-01,ART DIRECTION,Herman Rosse,
The Love Parade,1929-01-01,1930-01-01,ART DIRECTION,(Hans Dreier),
Sally,1929-01-01,1930-01-01,ART DIRECTION,(Jack Okey),
The Vagabond King,1929-01-01,1930-01-01,ART DIRECTION,(Hans Dreier),
All Quiet on the Western Front,1929-01-01,1930-01-01,CINEMATOGRAPHY,(Arthur Edeson),
Anna Christie,1929-01-01,1930-01-01,CINEMATOGRAPHY,(William Daniels),
Hell's Angels,1929-01-01,1930-01-01,CINEMATOGRAPHY,(Gaetano Gaudio),
The Love Parade,1929-01-01,1930-01-01,CINEMATOGRAPHY,(Victor Milner),
With Byrd at the South Pole,1929-01-01,1930-01-01,CINEMATOGRAPHY,Joseph T. Rucker,
Anna Christie;,1929-01-01,1930-01-01,DIRECTING,Clarence Brown,
The Divorcee,1929-01-01,1930-01-01,DIRECTING,Robert Leonard,
The Love Parade,1929-01-01,1930-01-01,DIRECTING,Ernst Lubitsch,
All Quiet on the Western Front,1929-01-01,1930-01-01,DIRECTING,Lewis Milestone,
Hallelujah,1929-01-01,1930-01-01,DIRECTING,King Vidor,
All Quiet on the Western Front,1929-01-01,1930-01-01,OUTSTANDING PRODUCTION,Universal,
The Big House,1929-01-01,1930-01-01,OUTSTANDING PRODUCTION,Cosmopolitan,
Disraeli,1929-01-01,1930-01-01,OUTSTANDING PRODUCTION,Warner Bros.,
The Divorcee,1929-01-01,1930-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
The Love Parade,1929-01-01,1930-01-01,OUTSTANDING PRODUCTION,Paramount Famous Lasky,
The Big House,1929-01-01,1930-01-01,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,
The Case of Sergeant Grischa,1929-01-01,1930-01-01,SOUND RECORDING,(RKO Radio Studio Sound Department,
The Love Parade,1929-01-01,1930-01-01,SOUND RECORDING,(Paramount Famous Lasky Studio Sound Department,
Raffles,1929-01-01,1930-01-01,SOUND RECORDING,(United Artists Studio Sound Department,
Song of the Flame,1929-01-01,1930-01-01,SOUND RECORDING,(First National Studio Sound Department,
All Quiet on the Western Front,1929-01-01,1930-01-01,WRITING,(George Abbott),
The Big House,1929-01-01,1930-01-01,WRITING,Frances Marion,
Disraeli,1929-01-01,1930-01-01,WRITING,(Julian Josephson),
The Divorcee,1929-01-01,1930-01-01,WRITING,(John Meehan),
Street of Chance,1929-01-01,1930-01-01,WRITING,(Howard Estabrook),
A Free Soul,1930-01-01,1931-01-01,ACTOR,Lionel Barrymore,
Skippy,1930-01-01,1931-01-01,ACTOR,Jackie Cooper,
Cimarron,1930-01-01,1931-01-01,ACTOR,Richard Dix,
The Royal Family of Broadway,1930-01-01,1931-01-01,ACTOR,Fredric March,
The Front Page,1930-01-01,1931-01-01,ACTOR,Adolphe Menjou,
Morocco,1930-01-01,1931-01-01,ACTRESS,Marlene Dietrich,
Min and Bill,1930-01-01,1931-01-01,ACTRESS,Marie Dressler,
Cimarron,1930-01-01,1931-01-01,ACTRESS,Irene Dunne,
Holiday,1930-01-01,1931-01-01,ACTRESS,Ann Harding,
A Free Soul,1930-01-01,1931-01-01,ACTRESS,Norma Shearer,
Cimarron,1930-01-01,1931-01-01,ART DIRECTION,Max Rée,
Just Imagine,1930-01-01,1931-01-01,ART DIRECTION,Stephen Goosson,
Morocco,1930-01-01,1931-01-01,ART DIRECTION,Hans Dreier,
Svengali,1930-01-01,1931-01-01,ART DIRECTION,Anton Grot,
Whoopee!,1930-01-01,1931-01-01,ART DIRECTION,Richard Day,
Cimarron,1930-01-01,1931-01-01,CINEMATOGRAPHY,Edward Cronjager,
Morocco,1930-01-01,1931-01-01,CINEMATOGRAPHY,Lee Garmes,
The Right to Love,1930-01-01,1931-01-01,CINEMATOGRAPHY,Charles Lang,
Svengali,1930-01-01,1931-01-01,CINEMATOGRAPHY,"Barney ""Chick"" McGill",
Tabu,1930-01-01,1931-01-01,CINEMATOGRAPHY,Floyd Crosby,
Cimarron,1930-01-01,1931-01-01,DIRECTING,Wesley Ruggles,
A Free Soul,1930-01-01,1931-01-01,DIRECTING,Clarence Brown,
The Front Page,1930-01-01,1931-01-01,DIRECTING,Lewis Milestone,
Morocco,1930-01-01,1931-01-01,DIRECTING,Josef Von Sternberg,
Skippy,1930-01-01,1931-01-01,DIRECTING,Norman Taurog,
Cimarron,1930-01-01,1931-01-01,OUTSTANDING PRODUCTION,RKO Radio,
East Lynne,1930-01-01,1931-01-01,OUTSTANDING PRODUCTION,Fox,
The Front Page,1930-01-01,1931-01-01,OUTSTANDING PRODUCTION,The Caddo Company,
Skippy,1930-01-01,1931-01-01,OUTSTANDING PRODUCTION,Paramount Publix,
Trader Horn,1930-01-01,1931-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Cimarron,1930-01-01,1931-01-01,WRITING (Adaptation),Howard Estabrook,
The Criminal Code,1930-01-01,1931-01-01,WRITING (Adaptation),Seton I. Miller,
Holiday,1930-01-01,1931-01-01,WRITING (Adaptation),Horace Jackson,
Little Caesar,1930-01-01,1931-01-01,WRITING (Adaptation),Francis Faragoh,
Skippy,1930-01-01,1931-01-01,WRITING (Adaptation),Joseph L. Mankiewicz,
The Dawn Patrol,1930-01-01,1931-01-01,WRITING (Original Story),John Monk Saunders,
The Doorway to Hell,1930-01-01,1931-01-01,WRITING (Original Story),Rowland Brown,
Laughter,1930-01-01,1931-01-01,WRITING (Original Story),Harry d'Abbadie d'Arrast,
The Public Enemy,1930-01-01,1931-01-01,WRITING (Original Story),John Bright,
Smart Money,1930-01-01,1931-01-01,WRITING (Original Story),Lucien Hubbard,
The Champ,1931-01-01,1932-01-01,ACTOR,Wallace Beery,
The Guardsman,1931-01-01,1932-01-01,ACTOR,Alfred Lunt,
Dr. Jekyll and Mr. Hyde,1931-01-01,1932-01-01,ACTOR,Fredric March,
Emma,1931-01-01,1932-01-01,ACTRESS,Marie Dressler,
The Guardsman,1931-01-01,1932-01-01,ACTRESS,Lynn Fontanne,
The Sin of Madelon Claudet,1931-01-01,1932-01-01,ACTRESS,Helen Hayes,
À Nous la Liberté,1931-01-01,1932-01-01,ART DIRECTION,Lazare Meerson,
Arrowsmith,1931-01-01,1932-01-01,ART DIRECTION,Richard Day,
Transatlantic,1931-01-01,1932-01-01,ART DIRECTION,Gordon Wiles,
Arrowsmith,1931-01-01,1932-01-01,CINEMATOGRAPHY,Ray June,
Dr. Jekyll and Mr. Hyde,1931-01-01,1932-01-01,CINEMATOGRAPHY,Karl Struss,
Shanghai Express,1931-01-01,1932-01-01,CINEMATOGRAPHY,Lee Garmes,
Bad Girl,1931-01-01,1932-01-01,DIRECTING,Frank Borzage,
The Champ,1931-01-01,1932-01-01,DIRECTING,King Vidor,
Shanghai Express,1931-01-01,1932-01-01,DIRECTING,Josef Von Sternberg,
Arrowsmith,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,
Bad Girl,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,Fox,
The Champ,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Five Star Final,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,First National,
Grand Hotel,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
One Hour with You,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,Paramount Publix,
Shanghai Express,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,Paramount Publix,
The Smiling Lieutenant,1931-01-01,1932-01-01,OUTSTANDING PRODUCTION,Paramount Publix,
Flowers and Trees,1931-01-01,1932-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
It's Got Me Again,1931-01-01,1932-01-01,SHORT SUBJECT (Cartoon),Leon Schlesinger,
Mickey's Orphans,1931-01-01,1932-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
The Loud Mouth,1931-01-01,1932-01-01,SHORT SUBJECT (Comedy),Mack Sennett,
The Music Box,1931-01-01,1932-01-01,SHORT SUBJECT (Comedy),Hal Roach,
Scratch-As-Catch-Can,1931-01-01,1932-01-01,SHORT SUBJECT (Comedy),RKO Radio,
Stout Hearts and Willing Hands,1931-01-01,1932-01-01,SHORT SUBJECT (Comedy),RKO Radio,
Screen Souvenirs,1931-01-01,1932-01-01,SHORT SUBJECT (Novelty),Paramount Publix,
Swing High,1931-01-01,1932-01-01,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,
Wrestling Swordfish,1931-01-01,1932-01-01,SHORT SUBJECT (Novelty),Mack Sennett,
Arrowsmith,1931-01-01,1932-01-01,WRITING (Adaptation),Sidney Howard,
Bad Girl,1931-01-01,1932-01-01,WRITING (Adaptation),Edwin Burke,
Dr. Jekyll and Mr. Hyde,1931-01-01,1932-01-01,WRITING (Adaptation),Percy Heath,
The Champ,1931-01-01,1932-01-01,WRITING (Original Story),Frances Marion,
Lady and Gent,1931-01-01,1932-01-01,WRITING (Original Story),Grover Jones,
The Star Witness,1931-01-01,1932-01-01,WRITING (Original Story),Lucien Hubbard,
What Price Hollywood?,1931-01-01,1932-01-01,WRITING (Original Story),Adela Rogers St. Johns,
Berkeley Square,1932-01-01,1933-01-01,ACTOR,Leslie Howard,
The Private Life of Henry VIII,1932-01-01,1933-01-01,ACTOR,Charles Laughton,
I Am a Fugitive from a Chain Gang,1932-01-01,1933-01-01,ACTOR,Paul Muni,
Morning Glory,1932-01-01,1933-01-01,ACTRESS,Katharine Hepburn,
Lady for a Day,1932-01-01,1933-01-01,ACTRESS,May Robson,
Cavalcade,1932-01-01,1933-01-01,ACTRESS,Diana Wynyard,
Cavalcade,1932-01-01,1933-01-01,ART DIRECTION,William S. Darling,
A Farewell to Arms,1932-01-01,1933-01-01,ART DIRECTION,Hans Dreier,
When Ladies Meet,1932-01-01,1933-01-01,ART DIRECTION,Cedric Gibbons,
A Farewell to Arms,1932-01-01,1933-01-01,CINEMATOGRAPHY,Charles Bryant Lang,
Reunion in Vienna,1932-01-01,1933-01-01,CINEMATOGRAPHY,George J. Folsey,
The Sign of the Cross,1932-01-01,1933-01-01,CINEMATOGRAPHY,Karl Struss,
Cavalcade,1932-01-01,1933-01-01,DIRECTING,Frank Lloyd,
Lady for a Day,1932-01-01,1933-01-01,DIRECTING,Frank Capra,
Little Women,1932-01-01,1933-01-01,DIRECTING,George Cukor,
Cavalcade,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Fox,
A Farewell to Arms,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Paramount,
42nd Street,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Warner Bros.,
I Am a Fugitive from a Chain Gang,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Warner Bros.,
Lady for a Day,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Columbia,
Little Women,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,RKO Radio,
The Private Life of Henry VIII,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,London Films,
She Done Him Wrong,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Paramount,
Smilin' Through,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
State Fair,1932-01-01,1933-01-01,OUTSTANDING PRODUCTION,Fox,
Building a Building,1932-01-01,1933-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
The Merry Old Soul,1932-01-01,1933-01-01,SHORT SUBJECT (Cartoon),Walter Lantz,
The Three Little Pigs,1932-01-01,1933-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
Mister Mugg,1932-01-01,1933-01-01,SHORT SUBJECT (Comedy),Warren Doane,
A Preferred List,1932-01-01,1933-01-01,SHORT SUBJECT (Comedy),Louis Brock,
So This Is Harris,1932-01-01,1933-01-01,SHORT SUBJECT (Comedy),Louis Brock,
Krakatoa,1932-01-01,1933-01-01,SHORT SUBJECT (Novelty),Joe Rock,
Menu,1932-01-01,1933-01-01,SHORT SUBJECT (Novelty),Pete Smith,
The Sea,1932-01-01,1933-01-01,SHORT SUBJECT (Novelty),Educational,
A Farewell to Arms,1932-01-01,1933-01-01,SOUND RECORDING,Paramount Studio Sound Department,
42nd Street,1932-01-01,1933-01-01,SOUND RECORDING,Warner Bros. Studio Sound Department,
Gold Diggers of 1933,1932-01-01,1933-01-01,SOUND RECORDING,Warner Bros. Studio Sound Department,
I Am a Fugitive from a Chain Gang,1932-01-01,1933-01-01,SOUND RECORDING,Warner Bros. Studio Sound Department,
Lady for a Day,1932-01-01,1933-01-01,WRITING (Adaptation),Robert Riskin,
Little Women,1932-01-01,1933-01-01,WRITING (Adaptation),Victor Heerman,
State Fair,1932-01-01,1933-01-01,WRITING (Adaptation),Paul Green,
One Way Passage,1932-01-01,1933-01-01,WRITING (Original Story),Robert Lord,
The Prizefighter and the Lady,1932-01-01,1933-01-01,WRITING (Original Story),Frances Marion,
Rasputin and the Empress,1932-01-01,1933-01-01,WRITING (Original Story),Charles MacArthur,
It Happened One Night,1934-01-01,1935-01-01,ACTOR,Clark Gable,
The Affairs of Cellini,1934-01-01,1935-01-01,ACTOR,Frank Morgan,
The Thin Man,1934-01-01,1935-01-01,ACTOR,William Powell,
It Happened One Night,1934-01-01,1935-01-01,ACTRESS,Claudette Colbert,
Of Human Bondage,1934-01-01,1935-01-01,ACTRESS,Bette Davis,
One Night of Love,1934-01-01,1935-01-01,ACTRESS,Grace Moore,
The Barretts of Wimpole Street,1934-01-01,1935-01-01,ACTRESS,Norma Shearer,
The Affairs of Cellini,1934-01-01,1935-01-01,ART DIRECTION,Richard Day,
The Gay Divorcee,1934-01-01,1935-01-01,ART DIRECTION,Van Nest Polglase,
The Merry Widow,1934-01-01,1935-01-01,ART DIRECTION,Cedric Gibbons,
Cleopatra,1934-01-01,1935-01-01,ASSISTANT DIRECTOR,Cullen Tate,
Imitation of Life,1934-01-01,1935-01-01,ASSISTANT DIRECTOR,Scott Beal,
Viva Villa!,1934-01-01,1935-01-01,ASSISTANT DIRECTOR,John Waters,
The Affairs of Cellini,1934-01-01,1935-01-01,CINEMATOGRAPHY,Charles Rosher,
Cleopatra,1934-01-01,1935-01-01,CINEMATOGRAPHY,Victor Milner,
Operator 13,1934-01-01,1935-01-01,CINEMATOGRAPHY,George Folsey,
It Happened One Night,1934-01-01,1935-01-01,DIRECTING,Frank Capra,
One Night of Love,1934-01-01,1935-01-01,DIRECTING,Victor Schertzinger,
The Thin Man,1934-01-01,1935-01-01,DIRECTING,W. S. Van Dyke,
Cleopatra,1934-01-01,1935-01-01,FILM EDITING,Anne Bauchens,
Eskimo,1934-01-01,1935-01-01,FILM EDITING,Conrad Nervig,
One Night of Love,1934-01-01,1935-01-01,FILM EDITING,Gene Milford,
The Gay Divorcee,1934-01-01,1935-01-01,MUSIC (Scoring),RKO Radio Studio Music Department,
The Lost Patrol,1934-01-01,1935-01-01,MUSIC (Scoring),RKO Radio Studio Music Department,
One Night of Love,1934-01-01,1935-01-01,MUSIC (Scoring),Columbia Studio Music Department,
Flying Down to Rio,1934-01-01,1935-01-01,MUSIC (Song),Music by Vincent Youmans,
The Gay Divorcee,1934-01-01,1935-01-01,MUSIC (Song),Music by Con Conrad,
She Loves Me Not,1934-01-01,1935-01-01,MUSIC (Song),Music by Ralph Rainger,
The Barretts of Wimpole Street,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Cleopatra,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Paramount,
Flirtation Walk,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,First National,
The Gay Divorcee,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,RKO Radio,
Here Comes the Navy,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Warner Bros.,
The House of Rothschild,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,20th Century,
Imitation of Life,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Universal,
It Happened One Night,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Columbia,
One Night of Love,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Columbia,
The Thin Man,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
Viva Villa!,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,
The White Parade,1934-01-01,1935-01-01,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),
Holiday Land,1934-01-01,1935-01-01,SHORT SUBJECT (Cartoon),Charles Mintz,
Jolly Little Elves,1934-01-01,1935-01-01,SHORT SUBJECT (Cartoon),Walter Lantz,
The Tortoise and the Hare,1934-01-01,1935-01-01,SHORT SUBJECT (Cartoon),Walt Disney,
La Cucaracha,1934-01-01,1935-01-01,SHORT SUBJECT (Comedy),Kenneth Macgowan,
Men in Black,1934-01-01,1935-01-01,SHORT SUBJECT (Comedy),Jules White,
"What, No Men!",1934-01-01,1935-01-01,SHORT SUBJECT (Comedy),Warner Bros.,
Bosom Friends,1934-01-01,1935-01-01,SHORT SUBJECT (Novelty),Skibo Productions,
City of Wax,1934-01-01,1935-01-01,SHORT SUBJECT (Novelty),Stacy Woodard and Horace Woodard,
Strikes and Spares,1934-01-01,1935-01-01,SHORT SUBJECT (Novelty),Pete Smith,
The Affairs of Cellini,1934-01-01,1935-01-01,SOUND RECORDING,United Artists Studio Sound Department,
Cleopatra,1934-01-01,1935-01-01,SOUND RECORDING,Paramount Studio Sound Department,
Flirtation Walk,1934-01-01,1935-01-01,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,
The Gay Divorcee,1934-01-01,1935-01-01,SOUND RECORDING,RKO Radio Studio Sound Department,
Imitation of Life,1934-01-01,1935-01-01,SOUND RECORDING,Universal Studio Sound Department,
One Night of Love,1934-01-01,1935-01-01,SOUND RECORDING,Columbia Studio Sound Department,
Viva Villa!,1934-01-01,1935-01-01,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,
The White Parade,1934-01-01,1935-01-01,SOUND RECORDING,Fox Studio Sound Department,
It Happened One Night,1934-01-01,1935-01-01,WRITING (Adaptation),Robert Riskin,
The Thin Man,1934-01-01,1935-01-01,WRITING (Adaptation),Frances Goodrich,
Viva Villa!,1934-01-01,1935-01-01,WRITING (Adaptation),Ben Hecht,
Hide-Out,1934-01-01,1935-01-01,WRITING (Original Story),Mauri Grashin,
Manhattan Melodrama,1934-01-01,1935-01-01,WRITING (Original Story),Arthur Caesar,
The Richest Girl in the World,1934-01-01,1935-01-01,WRITING (Original Story),Norman Krasna,
Mutiny on the Bounty,1935-01-01,1936-01-01,ACTOR,Clark Gable,
The Informer,1935-01-01,1936-01-01,ACTOR,Victor McLaglen,
Black Fury,1935-01-01,1936-01-01,ACTOR,Paul Muni,
Escape Me Never,1935-01-01,1936-01-01,ACTRESS,Elisabeth Bergner,
Private Worlds,1935-01-01,1936-01-01,ACTRESS,Claudette Colbert,
Dangerous,1935-01-01,1936-01-01,ACTRESS,Bette Davis,
Alice Adams,1935-01-01,1936-01-01,ACTRESS,Katharine Hepburn,
Becky Sharp,1935-01-01,1936-01-01,ACTRESS,Miriam Hopkins,
The Dark Angel,1935-01-01,1936-01-01,ACTRESS,Merle Oberon,
The Dark Angel,1935-01-01,1936-01-01,ART DIRECTION,Richard Day,
The Lives of a Bengal Lancer,1935-01-01,1936-01-01,ART DIRECTION,Hans Dreier,
Top Hat,1935-01-01,1936-01-01,ART DIRECTION,Van Nest Polglase,
David Copperfield,1935-01-01,1936-01-01,ASSISTANT DIRECTOR,Joseph Newman,
Les Miserables,1935-01-01,1936-01-01,ASSISTANT DIRECTOR,Eric Stacey,
The Lives of a Bengal Lancer,1935-01-01,1936-01-01,ASSISTANT DIRECTOR,Clem Beauchamp,
A Midsummer Night's Dream,1935-01-01,1936-01-01,ASSISTANT DIRECTOR,Sherry Shourds,
Barbary Coast,1935-01-01,1936-01-01,CINEMATOGRAPHY,Ray June,
The Crusades,1935-01-01,1936-01-01,CINEMATOGRAPHY,Victor Milner,
Les Miserables,1935-01-01,1936-01-01,CINEMATOGRAPHY,Gregg Toland,
A Midsummer Night's Dream,1935-01-01,1936-01-01,CINEMATOGRAPHY,Hal Mohr,
Gold Diggers of 1935,1935-01-01,1936-01-01,DANCE DIRECTION,Busby Berkeley,
Go into Your Dance;,1935-01-01,1936-01-01,DANCE DIRECTION,Bobby Connolly,
Broadway Melody of 1936;,1935-01-01,1936-01-01,DANCE DIRECTION,Dave Gould,
King of Burlesque,1935-01-01,1936-01-01,DANCE DIRECTION,Sammy Lee,
Top Hat,1935-01-01,1936-01-01,DANCE DIRECTION,Hermes Pan,
Big Broadcast of 1936;,1935-01-01,1936-01-01,DANCE DIRECTION,LeRoy Prinz,
She,1935-01-01,1936-01-01,DANCE DIRECTION,Benjamin Zemach,
Captain Blood,1935-01-01,1936-01-01,DIRECTING,Michael Curtiz,
The Informer,1935-01-01,1936-01-01,DIRECTING,John Ford,
The Lives of a Bengal Lancer,1935-01-01,1936-01-01,DIRECTING,Henry Hathaway,
Mutiny on the Bounty,1935-01-01,1936-01-01,DIRECTING,Frank Lloyd,
David Copperfield,1935-01-01,1936-01-01,FILM EDITING,Robert J. Kern,
