award_year,person_name,award_category,award_winner
1949,John Huston,Best Director,True
1961,Billy Wilder,Best Director,True
1979,Michael Cimino,Best Director,True
2009,Danny Boyle,Best Director,True
1953,Gary Cooper,Best Actor,True
1994,Tom Hanks,Best Actor,True
1943,Van Heflin,Best Supporting Actor,True
1969,Jack Albertson,Best Supporting Actor,True
1977,Jason Robards,Best Supporting Actor,True
1999,James Coburn,Best Supporting Actor,True
1941,Ginger Rogers,Best Actress,True
1958,Joanne Woodward,Best Actress,True
1967,Elizabeth Taylor,Best Actress,True
1970,Maggie Smith,Best Actress,True
1977,Faye Dunaway,Best Actress,True
1999,Gwyneth Paltrow,Best Actress,True
2005,Hilary Swank,Best Actress,True
1942,Mary Astor,Best Supporting Actress,True
1946,Anne Revere,Best Supporting Actress,True
1976,Lee Grant,Best Supporting Actress,True
2000,Angelina Jolie,Best Supporting Actress,True
2001,Marcia Gay Harden,Best Supporting Actress,True
2006,Rachel Weisz,Best Supporting Actress,True
2010,Mo'Nique,Best Supporting Actress,True
1928,Emil Jannings,ACTOR,True
1928,Janet Gaynor,ACTRESS,True
1928,William Cameron Menzies,ART DIRECTION,True
1928,Charles Rosher,CINEMATOGRAPHY,True
1928,Karl Struss,CINEMATOGRAPHY,True
1928,Lewis Milestone,DIRECTING (Comedy Picture),True
1928,Frank Borzage,DIRECTING (Dramatic Picture),True
1928,Roy Pomeroy,ENGINEERING EFFECTS,True
1928,Paramount Famous Lasky,OUTSTANDING PICTURE,True
1928,Fox,UNIQUE AND ARTISTIC PICTURE,True
1928,Benjamin Glazer,WRITING (Adaptation),True
1928,Ben Hecht,WRITING (Original Story),True
1928,Joseph Farnham,WRITING (Title Writing),True
1928,Warner Bros.,SPECIAL AWARD,True
1928,Charles Chaplin,SPECIAL AWARD,True
1929,Warner Baxter,ACTOR,True
1929,Mary Pickford,ACTRESS,True
1929,Cedric Gibbons,ART DIRECTION,True
1929,Clyde De Vinna,CINEMATOGRAPHY,True
1929,Frank Lloyd,DIRECTING,True
1929,Metro-Goldwyn-Mayer,OUTSTANDING PICTURE,True
1930,George Arliss,ACTOR,True
1930,Norma Shearer,ACTRESS,True
1930,Herman Rosse,ART DIRECTION,True
1930,Joseph T. Rucker,CINEMATOGRAPHY,True
1930,Willard Van Der Veer,CINEMATOGRAPHY,True
1930,Lewis Milestone,DIRECTING,True
1930,Universal,OUTSTANDING PRODUCTION,True
1930,Metro-Goldwyn-Mayer Studio Sound Department,SOUND RECORDING,True
1930,Douglas Shearer,SOUND RECORDING,True
1930,Sound Director,SOUND RECORDING,True
1930,Frances Marion,WRITING,True
1931,Lionel Barrymore,ACTOR,True
1931,Marie Dressler,ACTRESS,True
1931,Max Rée,ART DIRECTION,True
1931,Floyd Crosby,CINEMATOGRAPHY,True
1931,Norman Taurog,DIRECTING,True
1931,RKO Radio,OUTSTANDING PRODUCTION,True
1931,Paramount Publix Studio Sound Department,SOUND RECORDING,True
1931,Howard Estabrook,WRITING (Adaptation),True
1931,John Monk Saunders,WRITING (Original Story),True
1932,Wallace Beery,ACTOR,True
1932,Fredric March,ACTOR,True
1932,Helen Hayes,ACTRESS,True
1932,Gordon Wiles,ART DIRECTION,True
1932,Lee Garmes,CINEMATOGRAPHY,True
1932,Frank Borzage,DIRECTING,True
1932,Walt Disney,SHORT SUBJECT (Cartoon),True
1932,Producer,SHORT SUBJECT (Cartoon),True
1932,Hal Roach,SHORT SUBJECT (Comedy),True
1932,Mack Sennett,SHORT SUBJECT (Novelty),True
1932,Producer,SHORT SUBJECT (Novelty),True
1932,Paramount Publix Studio Sound Department,SOUND RECORDING,True
1932,Edwin Burke,WRITING (Adaptation),True
1932,Frances Marion,WRITING (Original Story),True
1932,"Walt Disney for the creation of ""Mickey Mouse.""",SPECIAL AWARD,True
1933,Charles Laughton,ACTOR,True
1933,Katharine Hepburn,ACTRESS,True
1933,William S. Darling,ART DIRECTION,True
1933,William Tummel (Fox),ASSISTANT DIRECTOR,True
1933,Charles Dorian (Metro-Goldwyn-Mayer),ASSISTANT DIRECTOR,True
1933,Charles Barton (Paramount),ASSISTANT DIRECTOR,True
1933,Dewey Starkey (RKO Radio),ASSISTANT DIRECTOR,True
1933,Fred Fox (United Artists),ASSISTANT DIRECTOR,True
1933,Scott Beal (Universal),ASSISTANT DIRECTOR,True
1933,Gordon Hollingshead (Warner Bros.),ASSISTANT DIRECTOR,True
1933,Charles Bryant Lang,CINEMATOGRAPHY,True
1933,Jr.,CINEMATOGRAPHY,True
1933,Frank Lloyd,DIRECTING,True
1933,Fox,OUTSTANDING PRODUCTION,True
1933,Joe Rock,SHORT SUBJECT (Novelty),True
1933,Producer,SHORT SUBJECT (Novelty),True
1933,Paramount Studio Sound Department,SOUND RECORDING,True
1933,Franklin B. Hansen,SOUND RECORDING,True
1933,Sound Director,SOUND RECORDING,True
1933,Victor Heerman,WRITING (Adaptation),True
1933,Sarah Y. Mason,WRITING (Adaptation),True
1933,Robert Lord,WRITING (Original Story),True
1935,Clark Gable,ACTOR,True
1935,Claudette Colbert,ACTRESS,True
1935,Cedric Gibbons,ART DIRECTION,True
1935,Fredric Hope,ART DIRECTION,True
1935,John Waters,ASSISTANT DIRECTOR,True
1935,Victor Milner,CINEMATOGRAPHY,True
1935,Frank Capra,DIRECTING,True
1935,Conrad Nervig,FILM EDITING,True
1935,Columbia Studio Music Department,MUSIC (Scoring),True
1935,Louis Silvers,MUSIC (Scoring),True
1935,head of department  (Thematic Music by Victor Schertzinger and Gus Kahn),MUSIC (Scoring),True
1935,Music by Con Conrad,MUSIC (Song),True
1935,Lyrics by Herb Magidson,MUSIC (Song),True
1935,Columbia,OUTSTANDING PRODUCTION,True
1935,Walt Disney,SHORT SUBJECT (Cartoon),True
1935,Kenneth Macgowan,SHORT SUBJECT (Comedy),True
1935,Producer,SHORT SUBJECT (Comedy),True
1935,Stacy Woodard and Horace Woodard,SHORT SUBJECT (Novelty),True
1935,Producers,SHORT SUBJECT (Novelty),True
1935,Columbia Studio Sound Department,SOUND RECORDING,True
1935,John Livadary,SOUND RECORDING,True
1935,Robert Riskin,WRITING (Adaptation),True
1935,Arthur Caesar,WRITING (Original Story),True
1935,Shirley Temple,SPECIAL AWARD,True
1936,Victor McLaglen,ACTOR,True
1936,Bette Davis,ACTRESS,True
1936,Richard Day,ART DIRECTION,True
1936,Clem Beauchamp,ASSISTANT DIRECTOR,True
1936,Paul Wing,ASSISTANT DIRECTOR,True
1936,Hal Mohr,CINEMATOGRAPHY,True
1936,Dave Gould,DANCE DIRECTION,True
1936,John Ford,DIRECTING,True
1936,Ralph Dawson,FILM EDITING,True
1936,RKO Radio Studio Music Department,MUSIC (Scoring),True
1936,Max Steiner,MUSIC (Scoring),True
1936,head of department  (Score by Max Steiner),MUSIC (Scoring),True
1936,Music by Harry Warren,MUSIC (Song),True
1936,Lyrics by Al Dubin,MUSIC (Song),True
1936,Walt Disney,SHORT SUBJECT (Cartoon),True
1936,Producer,SHORT SUBJECT (Cartoon),True
1936,Jack Chertok,SHORT SUBJECT (Comedy),True
1936,Producer,SHORT SUBJECT (Comedy),True
1936,Gaumont British and Skibo Productions,SHORT SUBJECT (Novelty),True
1936,Metro-Goldwyn-Mayer Studio Sound Department,SOUND RECORDING,True
1936,Douglas Shearer,SOUND RECORDING,True
1936,Ben Hecht,WRITING (Original Story),True
1936,Charles MacArthur,WRITING (Original Story),True
1936,Dudley Nichols,WRITING (Screenplay),True
1936,David Wark Griffith,SPECIAL AWARD,True
1937,Paul Muni,ACTOR,True
1937,Walter Brennan,ACTOR IN A SUPPORTING ROLE,True
1937,Luise Rainer,ACTRESS,True
1937,Gale Sondergaard,ACTRESS IN A SUPPORTING ROLE,True
1937,Richard Day,ART DIRECTION,True
1937,Jack Sullivan,ASSISTANT DIRECTOR,True
1937,Gaetano Gaudio,CINEMATOGRAPHY,True
1937,Seymour Felix,DANCE DIRECTION,True
1937,Frank Capra,DIRECTING,True
1937,Ralph Dawson,FILM EDITING,True
1937,Warner Bros. Studio Music Department,MUSIC (Scoring),True
1937,Leo Forbstein,MUSIC (Scoring),True
1937,head of department  (Score by Erich Wolfgang Korngold),MUSIC (Scoring),True
1937,Music by Jerome Kern,MUSIC (Song),True
1937,Lyrics by Dorothy Fields,MUSIC (Song),True
1937,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,True
1937,Walt Disney,SHORT SUBJECT (Cartoon),True
1937,Producer,SHORT SUBJECT (Cartoon),True
1937,Warner Bros.,SHORT SUBJECT (Color),True
1937,Hal Roach,SHORT SUBJECT (One-reel),True
1937,Producer,SHORT SUBJECT (One-reel),True
1937,Metro-Goldwyn-Mayer,SHORT SUBJECT (Two-reel),True
1937,Metro-Goldwyn-Mayer Studio Sound Department,SOUND RECORDING,True
1937,Douglas Shearer,SOUND RECORDING,True
1937,Pierre Collings,WRITING (Original Story),True
1937,Sheridan Gibney,WRITING (Original Story),True
1937,Pierre Collings,WRITING (Screenplay),True
1937,Sheridan Gibney,WRITING (Screenplay),True
1937,The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.,SPECIAL AWARD,True
1937,W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production,SPECIAL AWARD,True
1938,Spencer Tracy,ACTOR,True
1938,Joseph Schildkraut,ACTOR IN A SUPPORTING ROLE,True
1938,Luise Rainer,ACTRESS,True
1938,Alice Brady,ACTRESS IN A SUPPORTING ROLE,True
1938,Stephen Goosson,ART DIRECTION,True
1938,Robert Webb,ASSISTANT DIRECTOR,True
1938,Karl Freund,CINEMATOGRAPHY,True
1938,Hermes Pan,DANCE DIRECTION,True
1938,Leo McCarey,DIRECTING,True
1938,Gene Havlick,FILM EDITING,True
1938,Gene Milford,FILM EDITING,True
1938,Universal Studio Music Department,MUSIC (Scoring),True
1938,Charles Previn,MUSIC (Scoring),True
1938,Music and Lyrics by Harry Owens,MUSIC (Song),True
1938,Warner Bros.,OUTSTANDING PRODUCTION,True
1938,Walt Disney,SHORT SUBJECT (Cartoon),True
1938,Pete Smith,SHORT SUBJECT (Color),True
1938,Producer,SHORT SUBJECT (Color),True
1938,Skibo Productions,SHORT SUBJECT (One-reel),True
1938,Metro-Goldwyn-Mayer,SHORT SUBJECT (Two-reel),True
1938,United Artists Studio Sound Department,SOUND RECORDING,True
1938,Thomas T. Moulton,SOUND RECORDING,True
1938,William A. Wellman,WRITING (Original Story),True
1938,Robert Carson,WRITING (Original Story),True
1938,Norman Reilly Raine,WRITING (Screenplay),True
1938,Heinz Herald,WRITING (Screenplay),True
1938,Geza Herczeg,WRITING (Screenplay),True
1938,Mack Sennett,SPECIAL AWARD,True
1938,Edgar Bergen for his outstanding comedy creation,SPECIAL AWARD,True
1938,The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts.,SPECIAL AWARD,True
1938,W. Howard Greene for the color photography of A Star Is Born.  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.),SPECIAL AWARD,True
1938,Darryl F. Zanuck,IRVING G. THALBERG MEMORIAL AWARD,True
1939,Spencer Tracy,ACTOR,True
1939,Walter Brennan,ACTOR IN A SUPPORTING ROLE,True
1939,Bette Davis,ACTRESS,True
1939,Fay Bainter,ACTRESS IN A SUPPORTING ROLE,True
1939,Carl J. Weyl,ART DIRECTION,True
1939,Joseph Ruttenberg,CINEMATOGRAPHY,True
1939,Frank Capra,DIRECTING,True
1939,Ralph Dawson,FILM EDITING,True
1939,Erich Wolfgang Korngold,MUSIC (Original Score),True
1939,Alfred Newman,MUSIC (Scoring),True
1939,Music by Ralph Rainger,MUSIC (Song),True
1939,Lyrics by Leo Robin,MUSIC (Song),True
1939,Columbia,OUTSTANDING PRODUCTION,True
1939,Warner Bros.,SHORT SUBJECT (Two-reel),True
1939,United Artists Studio Sound Department,SOUND RECORDING,True
1939,Thomas T. Moulton,SOUND RECORDING,True
1939,Dore Schary,WRITING (Original Story),True
1939,Eleanore Griffin,WRITING (Original Story),True
1939,Screenplay and Dialogue by George Bernard Shaw,WRITING (Screenplay),True
1939,Adaptation by W. P. Lipscomb,WRITING (Screenplay),True
1939,Cecil Lewis,WRITING (Screenplay),True
1939,Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth,SPECIAL AWARD,True
1939,Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.,SPECIAL AWARD,True
1939,Walt Disney for Snow White and the Seven Dwarfs,SPECIAL AWARD,True
1939,Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production,SPECIAL AWARD,True
1939,For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production,SPECIAL AWARD,True
1939,J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.,SPECIAL AWARD,True
1939,Hal B. Wallis,IRVING G. THALBERG MEMORIAL AWARD,True
1940,Robert Donat,ACTOR,True
1940,Thomas Mitchell,ACTOR IN A SUPPORTING ROLE,True
1940,Vivien Leigh,ACTRESS,True
1940,Hattie McDaniel,ACTRESS IN A SUPPORTING ROLE,True
1940,Lyle Wheeler,ART DIRECTION,True
1940,Ernest Haller,CINEMATOGRAPHY (Color),True
1940,Victor Fleming,DIRECTING,True
1940,Hal C. Kern,FILM EDITING,True
1940,James E. Newcom,FILM EDITING,True
1940,Herbert Stothart,MUSIC (Original Score),True
1940,Richard Hageman,MUSIC (Scoring),True
1940,Frank Harling,MUSIC (Scoring),True
1940,John Leipold,MUSIC (Scoring),True
1940,Leo Shuken,MUSIC (Scoring),True
1940,Music by Harold Arlen,MUSIC (Song),True
1940,Lyrics by E. Y. Harburg,MUSIC (Song),True
1940,Selznick International Pictures,OUTSTANDING PRODUCTION,True
1940,Paramount,SHORT SUBJECT (One-reel),True
1940,Warner Bros.,SHORT SUBJECT (Two-reel),True
1940,Universal Studio Sound Department,SOUND RECORDING,True
1940,Bernard B. Brown,SOUND RECORDING,True
1940,Fred Sersen,SPECIAL EFFECTS,True
1940,E. H. Hansen,SPECIAL EFFECTS,True
1940,Lewis R. Foster,WRITING (Original Story),True
1940,Sidney Howard,WRITING (Screenplay),True
1940,Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks,SPECIAL AWARD,True
1940,The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt,SPECIAL AWARD,True
1940,Judy Garland for her outstanding performance as a screen juvenile during the past year.,SPECIAL AWARD,True
1940,William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind.,SPECIAL AWARD,True
1940,the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.,SPECIAL AWARD,True
1940,David O. Selznick,IRVING G. THALBERG MEMORIAL AWARD,True
1941,James Stewart,ACTOR,True
1941,Walter Brennan,ACTOR IN A SUPPORTING ROLE,True
1941,Ginger Rogers,ACTRESS,True
1941,Jane Darwell,ACTRESS IN A SUPPORTING ROLE,True
1941,Cedric Gibbons,ART DIRECTION (Black-and-White),True
1941,Paul Groesse,ART DIRECTION (Black-and-White),True
1941,Vincent Korda,ART DIRECTION (Color),True
1941,George Barnes,CINEMATOGRAPHY (Black-and-White),True
1941,Georges Périnal,CINEMATOGRAPHY (Color),True
1941,John Ford,DIRECTING,True
1941,Anne Bauchens,FILM EDITING,True
1941,Leigh Harline,MUSIC (Original Score),True
1941,Paul J. Smith,MUSIC (Original Score),True
1941,Ned Washington,MUSIC (Original Score),True
1941,Alfred Newman,MUSIC (Scoring),True
1941,Music by Leigh Harline,MUSIC (Song),True
1941,Lyrics by Ned Washington,MUSIC (Song),True
1941,Selznick International Pictures,OUTSTANDING PRODUCTION,True
1941,Metro-Goldwyn-Mayer,SHORT SUBJECT (Cartoon),True
1941,Pete Smith,SHORT SUBJECT (One-reel),True
1941,Producer,SHORT SUBJECT (One-reel),True
1941,Metro-Goldwyn-Mayer Studio Sound Department,SOUND RECORDING,True
1941,Douglas Shearer,SOUND RECORDING,True
1941,Photographic Effects by Lawrence Butler,SPECIAL EFFECTS,True
1941,Sound Effects by Jack Whitney,SPECIAL EFFECTS,True
1941,Preston Sturges,WRITING (Original Screenplay),True
1941,Benjamin Glazer,WRITING (Original Story),True
1941,John S. Toldy,WRITING (Original Story),True
1941,Donald Ogden Stewart,WRITING (Screenplay),True
1941,Bob Hope,SPECIAL AWARD,True
1941,Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years,SPECIAL AWARD,True
1942,Gary Cooper,ACTOR,True
1942,Donald Crisp,ACTOR IN A SUPPORTING ROLE,True
1942,Joan Fontaine,ACTRESS,True
1942,Mary Astor,ACTRESS IN A SUPPORTING ROLE,True
1942,Art Direction:  Richard Day,ART DIRECTION (Black-and-White),True
1942,Nathan Juran,ART DIRECTION (Black-and-White),True
1942,Interior Decoration:  Thomas Little,ART DIRECTION (Black-and-White),True
1942,Art Direction:  Cedric Gibbons,ART DIRECTION (Color),True
1942,Urie McCleary,ART DIRECTION (Color),True
1942,Interior Decoration:  Edwin B. Willis,ART DIRECTION (Color),True
1942,Arthur Miller,CINEMATOGRAPHY (Black-and-White),True
1942,Ernest Palmer,CINEMATOGRAPHY (Color),True
1942,Ray Rennahan,CINEMATOGRAPHY (Color),True
1942,John Ford,DIRECTING,True
1942,National Film Board of Canada,DOCUMENTARY (Short Subject),True
1942,William Holmes,FILM EDITING,True
1942,Bernard Herrmann,MUSIC (Music Score of a Dramatic Picture),True
1942,Frank Churchill,MUSIC (Scoring of a Musical Picture),True
1942,Oliver Wallace,MUSIC (Scoring of a Musical Picture),True
1942,Music by Jerome Kern,MUSIC (Song),True
1942,Lyrics by Oscar Hammerstein II,MUSIC (Song),True
1942,20th Century-Fox,OUTSTANDING MOTION PICTURE,True
1942,Walt Disney,SHORT SUBJECT (Cartoon),True
1942,Metro-Goldwyn-Mayer,SHORT SUBJECT (One-reel),True
1942,General Service Sound Department,SOUND RECORDING,True
1942,Jack Whitney,SOUND RECORDING,True
1942,Herman J. Mankiewicz,WRITING (Original Screenplay),True
1942,Orson Welles,WRITING (Original Screenplay),True
1942,Harry Segall,WRITING (Original Story),True
1942,Sidney Buchman,WRITING (Screenplay),True
1942,Seton I. Miller,WRITING (Screenplay),True
1942,Rey Scott for his extraordinary achievement in producing Kukan,SPECIAL AWARD,True
1942,The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film,SPECIAL AWARD,True
1942,Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production,SPECIAL AWARD,True
1942,Walt Disney,SPECIAL AWARD,True
1942,Walt Disney,IRVING G. THALBERG MEMORIAL AWARD,True
1943,James Cagney,ACTOR,True
1943,Van Heflin,ACTOR IN A SUPPORTING ROLE,True
1943,Greer Garson,ACTRESS,True
1943,Teresa Wright,ACTRESS IN A SUPPORTING ROLE,True
1943,Art Direction:  Richard Day,ART DIRECTION (Black-and-White),True
1943,Joseph Wright,ART DIRECTION (Black-and-White),True
1943,Interior Decoration:  Thomas Little,ART DIRECTION (Black-and-White),True
1943,Art Direction:  Richard Day,ART DIRECTION (Color),True
1943,Joseph Wright,ART DIRECTION (Color),True
1943,Interior Decoration:  Thomas Little,ART DIRECTION (Color),True
1943,Joseph Ruttenberg,CINEMATOGRAPHY (Black-and-White),True
1943,Leon Shamroy,CINEMATOGRAPHY (Color),True
1943,William Wyler,DIRECTING,True
1943,United States Navy,DOCUMENTARY,True
1943,Australian News & Information Bureau,DOCUMENTARY,True
1943,Artkino,DOCUMENTARY,True
1943,United States Army Special Services,DOCUMENTARY,True
1943,Daniel Mandell,FILM EDITING,True
1943,Max Steiner,MUSIC (Music Score of a Dramatic or Comedy Picture),True
1943,Ray Heindorf,MUSIC (Scoring of a Musical Picture),True
1943,Heinz Roemheld,MUSIC (Scoring of a Musical Picture),True
1943,Music and Lyrics by Irving Berlin,MUSIC (Song),True
1943,Metro-Goldwyn-Mayer,OUTSTANDING MOTION PICTURE,True
1943,Walt Disney,SHORT SUBJECT (Cartoon),True
1943,Producer,SHORT SUBJECT (Cartoon),True
1943,Paramount,SHORT SUBJECT (One-reel),True
1943,Warner Bros.,SHORT SUBJECT (Two-reel),True
1943,Warner Bros. Studio Sound Department,SOUND RECORDING,True
1943,Nathan Levinson,SOUND RECORDING,True
1943,Photographic Effects by Gordon Jennings,SPECIAL EFFECTS,True
1943,Farciot Edouart,SPECIAL EFFECTS,True
1943,William L. Pereira,SPECIAL EFFECTS,True
1943,Sound Effects by Louis Mesenkop,SPECIAL EFFECTS,True
1943,Emeric Pressburger,WRITING (Original Motion Picture Story),True
1943,Ring Lardner,WRITING (Original Screenplay),True
1943,Jr.,WRITING (Original Screenplay),True
1943,Michael Kanin,WRITING (Original Screenplay),True
1943,Arthur Wimperis,WRITING (Screenplay),True
1943,George Froeschel,WRITING (Screenplay),True
1943,James Hilton,WRITING (Screenplay),True
1943,Claudine West,WRITING (Screenplay),True
1943,Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.,SPECIAL AWARD,True
1943,Noel Coward for his outstanding production achievement in In Which We Serve.,SPECIAL AWARD,True
1943,"Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the ""Andy Hardy"" series of films.",SPECIAL AWARD,True
1943,Sidney Franklin,IRVING G. THALBERG MEMORIAL AWARD,True
1944,Paul Lukas,ACTOR,True
1944,Charles Coburn,ACTOR IN A SUPPORTING ROLE,True
1944,Jennifer Jones,ACTRESS,True
1944,Katina Paxinou,ACTRESS IN A SUPPORTING ROLE,True
1944,Art Direction:  James Basevi,ART DIRECTION (Black-and-White),True
1944,William Darling,ART DIRECTION (Black-and-White),True
1944,Interior Decoration:  Thomas Little,ART DIRECTION (Black-and-White),True
1944,Art Direction:  John B. Goodman,ART DIRECTION (Color),True
1944,Alexander Golitzen,ART DIRECTION (Color),True
1944,Interior Decoration:  Russell A. Gausman,ART DIRECTION (Color),True
1944,Ira S. Webb,ART DIRECTION (Color),True
1944,Arthur Miller,CINEMATOGRAPHY (Black-and-White),True
1944,Hal Mohr,CINEMATOGRAPHY (Color),True
1944,W. Howard Greene,CINEMATOGRAPHY (Color),True
1944,Michael Curtiz,DIRECTING,True
1944,British Ministry of Information,DOCUMENTARY (Feature),True
1944,United States Navy,DOCUMENTARY (Short Subject),True
1944,George Amy,FILM EDITING,True
1944,Alfred Newman,MUSIC (Music Score of a Dramatic or Comedy Picture),True
1944,Ray Heindorf,MUSIC (Scoring of a Musical Picture),True
1944,Music by Harry Warren,MUSIC (Song),True
1944,Lyrics by Mack Gordon,MUSIC (Song),True
1944,Warner Bros.,OUTSTANDING MOTION PICTURE,True
1944,Frederick Quimby,SHORT SUBJECT (Cartoon),True
1944,Grantland Rice,SHORT SUBJECT (One-reel),True
1944,Producer,SHORT SUBJECT (One-reel),True
1944,Jerry Bresler and Sam Coslow,SHORT SUBJECT (Two-reel),True
1944,Producers,SHORT SUBJECT (Two-reel),True
1944,RKO Radio Studio Sound Department,SOUND RECORDING,True
1944,Stephen Dunn,SOUND RECORDING,True
1944,Photographic Effects by Fred Sersen,SPECIAL EFFECTS,True
1944,Sound Effects by Roger Heman,SPECIAL EFFECTS,True
1944,William Saroyan,WRITING (Original Motion Picture Story),True
1944,Norman Krasna,WRITING (Original Screenplay),True
1944,Julius J. Epstein,WRITING (Screenplay),True
1944,Philip G. Epstein,WRITING (Screenplay),True
1944,Howard Koch,WRITING (Screenplay),True
1944,George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons.,SPECIAL AWARD,True
1944,Hal B. Wallis,IRVING G. THALBERG MEMORIAL AWARD,True
1945,Bing Crosby,ACTOR,True
1945,Barry Fitzgerald,ACTOR IN A SUPPORTING ROLE,True
1945,Ingrid Bergman,ACTRESS,True
1945,Ethel Barrymore,ACTRESS IN A SUPPORTING ROLE,True
1945,Art Direction:  Cedric Gibbons,ART DIRECTION (Black-and-White),True
1945,William Ferrari,ART DIRECTION (Black-and-White),True
1945,Interior Decoration:  Edwin B. Willis,ART DIRECTION (Black-and-White),True
1945,Paul Huldschinsky,ART DIRECTION (Black-and-White),True
1945,Art Direction:  Wiard Ihnen,ART DIRECTION (Color),True
1945,Interior Decoration:  Thomas Little,ART DIRECTION (Color),True
1945,Joseph LaShelle,CINEMATOGRAPHY (Black-and-White),True
1945,Leon Shamroy,CINEMATOGRAPHY (Color),True
1945,Leo McCarey,DIRECTING,True
1945,United States Navy,DOCUMENTARY (Feature),True
1945,United States Marine Corps,DOCUMENTARY (Short Subject),True
1945,Barbara McLean,FILM EDITING,True
1945,Morris Stoloff,MUSIC (Scoring of a Musical Picture),True
1945,Carmen Dragon,MUSIC (Scoring of a Musical Picture),True
1945,Music by James Van Heusen,MUSIC (Song),True
1945,Lyrics by Johnny Burke,MUSIC (Song),True
1945,Frederick C. Quimby,SHORT SUBJECT (Cartoon),True
1945,Jerry Fairbanks,SHORT SUBJECT (One-reel),True
1945,Gordon Hollingshead,SHORT SUBJECT (Two-reel),True
1945,20th Century-Fox Studio Sound Department,SOUND RECORDING,True
1945,E. H. Hansen,SOUND RECORDING,True
1945,Photographic Effects by A. Arnold Gillespie,SPECIAL EFFECTS,True
1945,Donald Jahraus,SPECIAL EFFECTS,True
1945,Warren Newcombe,SPECIAL EFFECTS,True
1945,Sound Effects by Douglas Shearer,SPECIAL EFFECTS,True
1945,Leo McCarey,WRITING (Original Motion Picture Story),True
1945,Lamar Trotti,WRITING (Original Screenplay),True
1945,Frank Butler,WRITING (Screenplay),True
1945,Frank Cavett,WRITING (Screenplay),True
1945,Margaret O'Brien,SPECIAL AWARD,True
1945,Bob Hope for his many services to the Academy.,SPECIAL AWARD,True
1945,Darryl F. Zanuck,IRVING G. THALBERG MEMORIAL AWARD,True
1946,Ray Milland,ACTOR,True
1946,James Dunn,ACTOR IN A SUPPORTING ROLE,True
1946,Joan Crawford,ACTRESS,True
1946,Anne Revere,ACTRESS IN A SUPPORTING ROLE,True
1946,Art Direction:  Wiard Ihnen,ART DIRECTION (Black-and-White),True
1946,Interior Decoration:  A. Roland Fields,ART DIRECTION (Black-and-White),True
1946,Art Direction:  Hans Dreier,ART DIRECTION (Color),True
1946,Ernst Fegte,ART DIRECTION (Color),True
1946,Interior Decoration:  Sam Comer,ART DIRECTION (Color),True
1946,Harry Stradling,CINEMATOGRAPHY (Black-and-White),True
1946,Leon Shamroy,CINEMATOGRAPHY (Color),True
1946,Billy Wilder,DIRECTING,True
1946,The Governments of Great Britain and the United States of America,DOCUMENTARY (Feature),True
1946,Gordon Hollingshead,DOCUMENTARY (Short Subject),True
1946,Producer,DOCUMENTARY (Short Subject),True
1946,Robert J. Kern,FILM EDITING,True
1946,Georgie Stoll,MUSIC (Scoring of a Musical Picture),True
1946,Music by Richard Rodgers,MUSIC (Song),True
1946,Lyrics by Oscar Hammerstein II,MUSIC (Song),True
1946,Paramount,BEST MOTION PICTURE,True
1946,Frederick Quimby,SHORT SUBJECT (Cartoon),True
1946,Herbert Moulton,SHORT SUBJECT (One-reel),True
1946,Jerry Bresler,SHORT SUBJECT (One-reel),True
1946,Executive Producer,SHORT SUBJECT (One-reel),True
1946,Gordon Hollingshead,SHORT SUBJECT (Two-reel),True
1946,RKO Radio Studio Sound Department,SOUND RECORDING,True
1946,Stephen Dunn,SOUND RECORDING,True
1946,Sound Director,SOUND RECORDING,True
1946,Photographic Effects by John Fulton,SPECIAL EFFECTS,True
1946,Sound Effects by Arthur W. Johns,SPECIAL EFFECTS,True
