movie_name,budget,revenue
Human Traffic,,
There's Something About Mary,,
The Frighteners,30000000,
Tommy Boy,,
Tremors,,
Pretty Woman,,
The Adventures of Baron Munchausen,,
Coming to America,,
Spaceballs,,
Little Shop of Horrors,,
Better Off Dead...,,
The Jerk,,
Sleeper,,
Dance of the Vampires,,
The Seven Year Itch,,
Gentlemen Prefer Blondes,,
Arif V 216,,
The Christmas Chronicles,,
Qu'est-ce qu'on a fait au bon Dieu?,,
Hundraåringen som klev ut genom fönstret och försvann,,
"I Love You, Man",,
Bhoot Police,,
Miss Pettigrew Lives for a Day,,
Frequently Asked Questions About Time Travel,,
Hors de prix,,
Wedding Crashers,25100000,
Harold & Kumar Go to White Castle,,
Elf,,
Old School,,
Meet the Parents,,
American Pie,,
Austin Powers: International Man of Mystery,,
Happy Gilmore,,
Mighty Aphrodite,,
Mallrats,,
Jumanji,,
Les visiteurs,,
Wayne's World,25100000,
What About Bob?,25100000,
Uncle Buck,15000000,
Bull Durham,,
Pee-wee's Big Adventure,25100000,
Sixteen Candles,,
Funny Face,,
Aladdin,,
Fack ju Göhte,,
Everybody Wants Some!!,,
Ted,2000000000,
Paul,,
Step Brothers,23000000,
Knocked Up,175000000,
The Holiday,,
Grandma's Boy,,
Napoleon Dynamite,,
The Wedding Singer,25100000,
Liar Liar,,
Matilda,,
Kingpin,,
Clueless,,
Ace Ventura: Pet Detective,,
Hocus Pocus,,
Dave,,
The Addams Family,,
UHF,,
Bill & Ted's Excellent Adventure,,
Overboard,,
Flight of the Navigator,,
Real Genius,,
Arthur,,
Time Bandits,,
Nine to Five,,
Up in Smoke,,
Bananas,,
Yesterday,,
Always Be My Maybe,,
Long Shot,,
Warm Bodies,,
The F Word,25100000,
Bridesmaids,,
Yes Man,,
Walk Hard: The Dewey Cox Story,25100000,
Role Models,,
Tenacious D in The Pick of Destiny,,
A Series of Unfortunate Events,,
Bruce Almighty,,
Jay and Silent Bob Strike Back,22000000,
Serendipity,,
Detroit Rock City,,
Addams Family Values,,
White Men Can't Jump,,
Hook,,
The War of the Roses,,
Creepshow,25100000,
Stripes,,
Good Boys,,
In a World...,25100000,
The Inbetweeners Movie,,
American Reunion,,
L'arnacoeur,,
Fresh,,
Metal Lords,,
Trick 'r Treat,,
Hot Rod,,
Penelope,,
The Hitchhiker's Guide to the Galaxy,,
Charlie and the Chocolate Factory,,
Dodgeball: A True Underdog Story,,
Waiting...,25100000,
Everyone Says I Love You,,
Four Rooms,,
Robin Hood: Men in Tights,,
Police Academy,,
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,,
Around the World in 80 Days,140000000,
Mamma Mia! Here We Go Again,,
Project X,,
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,,
This Is the End,32000000,
The Wedding Ringer,25100000,
Run Fatboy Run,,
Talladega Nights: The Ballad of Ricky Bobby,,
Nanny McPhee,,
Hitch,,
I Heart Huckabees,,
EuroTrip,,
Astérix & Obélix: Mission Cléopâtre,,
The Replacements,,
"Me, Myself & Irene",,
Drop Dead Gorgeous,,
Grumpier Old Men,,
Death Becomes Her,,
Roxanne,,
*batteries not included,,
Short Circuit,15000000,
Back to School,,
Weird Science,25100000,
Revenge of the Nerds,,
Bad Trip,,
Eurovision Song Contest: The Story of Fire Saga,,
A Rainy Day in New York,25100000,
Set It Up,175000000,
Better Watch Out,25100000,
Bad Grandpa,,
Diary of a Wimpy Kid: Rodrick Rules,,
Friends with Benefits,25100000,
Think Like a Man,,
Sex Drive,15000000,
Blended,,
Zack and Miri Make a Porno,,
Mamma Mia!,,
Music and Lyrics,,
Harold & Kumar Escape from Guantanamo Bay,,
Slither,23000000,
Last Holiday,,
Idiocracy,,
Hollywood Ending,25100000,
Wet Hot American Summer,,
Road Trip,,
Zoolander,,
BASEketball,,
Bowfinger,25100000,
Can't Hardly Wait,25100000,
Mouse Hunt,,
Bean,140000000,
Sister Act,,
Father of the Bride,23000000,
Arachnophobia,,
The Great Outdoors,,
The Witches of Eastwick,25100000,
The Secret of My Success,,
Bad Taste,,
Brewster's Millions,,
When We First Met,,
The Inbetweeners 2,25100000,
Pitch Perfect 2,,
Top Five,,
The Duff,,
The Dictator,,
Just Go with It,25100000,
Fright Night,,
The Hangover Part II,,
Hot Tub Time Machine,,
Leap Year,,
The Ugly Truth,,
She's Out of My League,,
Be Kind Rewind,25100000,
Night at the Museum,,
Severance,,
Mr. Bean's Holiday,,
Accepted,,
National Lampoon's Van Wilder,,
American Pie 2,,
How to Lose a Guy in 10 Days,25100000,
Legally Blonde,,
What Women Want,,
A Midsummer Night's Dream,,
Dirty Work,25100000,
In & Out,,
Mars Attacks!,,
The First Wives Club,25100000,
Little Giants,,
So I Married an Axe Murderer,,
Gremlins 2: The New Batch,,
Cry-Baby,,
"Honey, I Shrunk the Kids",,
The Money Pit,,
Spies Like Us,,
The Man with Two Brains,,
Kate & Leopold,,
El bar,,
The Babysitter,,
The Night Before,,
Ted 2,,
The Internship,,
Two Night Stand,25100000,
Diary of a Wimpy Kid: Dog Days,,
Neighbors,,
To Rome with Love,,
John Dies at the End,,
The Change-Up,175000000,
Cedar Rapids,,
Do Revenge,,
Going the Distance,,
Død snø,,
Anchorman 2: The Legend Continues,,
Get Him to the Greek,,
The Rebound,4500000,
Freaky,,
Love Hard,,
The Invention of Lying,,
Goosebumps,,
She's the Man,,
Blades of Glory,,
Charlotte's Web,25100000,
Wimbledon,,
American Wedding,,
Ella Enchanted,85000000,
Freaky Friday,,
Anything Else,18000000,
Down with Love,25100000,
Meet the Fockers,,
The Princess Diaries,,
Romy and Michele's High School Reunion,,
The Truth About Cats & Dogs,,
Billy Madison,,
The Little Rascals,,
Don't Tell Mom the Babysitter's Dead,,
Bill & Ted's Bogus Journey,,
Cat's Eye,,
Splash,,
Bachelor Party,,
Bad Moms,,
Why Him?,,
Night at the Museum: Secret of the Tomb,,
Chalet Girl,,
No Strings Attached,,
A Very Harold & Kumar 3D Christmas,,
The Men Who Stare at Goats,,
Dark Shadows,25100000,
The Big Year,,
The Rocker,,
Beerfest,,
It's a Boy Girl Thing,,
Mr. Magorium's Wonder Emporium,,
Just Friends,,
13 Going on 30,,
Anger Management,,
Ali G Indahouse,,
How High,25100000,
Sweet Home Alabama,,
Scary Movie,,
How the Grinch Stole Christmas,,
Idle Hands,,
A Night at the Roxbury,,
Black Sheep,,
Major Payne,,
I.Q.,,
Angels in the Outfield,,
Wayne's World 2,25100000,
Killer Klowns from Outer Space,,
National Lampoon's European Vacation,,
The Adventures of Buckaroo Banzai Across the 8th Dimension,,
Porky's,,
Private Benjamin,,
Holidate,,
Between Two Ferns: The Movie,,
That Awkward Moment,,
The Campaign,,
Daddy's Home,,
Vacation,65000000,
Nanny McPhee and the Big Bang,,
Hocus Pocus 2,,
Fired Up!,175000000,
What Happens in Vegas,25100000,
Marry Me,,
27 Dresses,,
The Game Plan,,
The Wedding Date,25100000,
Two Weeks Notice,25100000,
Evolution,51000000,
Bedazzled,,
The Kid,,
Bring It On,,
Next Friday,,
Orgazmo,,
The Waterboy,25100000,
Multiplicity,,
Casper,,
HouseSitter,,
House,67000000,
Critters,3000000,
Teen Wolf,25100000,
Airplane II: The Sequel,3500000,
Jexi,,
Daddy's Home 2,,
My Big Fat Greek Wedding 2,,
Mike and Dave Need Wedding Dates,,
Walk of Shame,,
The Other Woman,,
Sisters,,
Overboard,,
Mr. Popper's Penguins,,
The Christmas Chronicles: Part Two,,
Night at the Museum: Battle of the Smithsonian,,
Parental Guidance,,
Bedtime Stories,,
Baby Mama,,
What's Your Number?,,
Chasing Liberty,,
Along Came Polly,,
Someone Like You...,,
Stuart Little,120000000,
Father of the Bride Part II,23000000,
Rookie of the Year,,
Memoirs of an Invisible Man,,
Harry and the Hendersons,,
The Kissing Booth,,
Isn't It Romantic,,
Playing It Cool,,
Dirty Grandpa,,
Absolutely Anything,,
Grown Ups,175000000,
Bill & Ted Face the Music,,
Brüno,,
The Incredible Burt Wonderstone,58000000,
I Now Pronounce You Chuck & Larry,25100000,
Hall Pass,,
School for Scoundrels,,
Dinner for Schmucks,,
Must Love Dogs,,
Guess Who,25100000,
A Cinderella Story,,
Cheaper by the Dozen,,
Duplex,175000000,
She's All That,10000000,
Astérix & Obélix contre César,,
Vegas Vacation,,
Joe Versus the Volcano,,
Look Who's Talking,25100000,
Mannequin,,
The Perfect Date,,
Pitch Perfect 3,,
The To Do List,,
Office Christmas Party,,
21 & Over,,
The Babysitter: Killer Queen,,
Confessions of a Shopaholic,,
Monte Carlo,,
My Best Friend's Girl,,
Made of Honor,,
Semi-Pro,,
Ghosts of Girlfriends Past,,
Black Sheep,,
Nacho Libre,35000000,
The Heartbreak Kid,,
The Princess Diaries 2: Royal Engagement,,
Stuck on You,,
The Prince & Me,,
Mr. Deeds,,
The Ringer,48000000,
The New Guy,25100000,
Dracula: Dead and Loving It,,
Encino Man,,
Barbarella,,
The Kissing Booth 2,,
The Wrong Missy,,
Bhool Bhulaiyaa 2,,
Neighbors 2: Sorority Rising,,
I Give It a Year,,
Rubber,,
Playing for Keeps,,
You Again,,
Arthur,,
The Watch,25100000,
Valentine's Day,,
John Tucker Must Die,,
The Santa Clause 2,,
Life or Something Like It,,
Not Another Teen Movie,,
America's Sweethearts,,
Bubble Boy,,
Deuce Bigalow: Male Gigolo,,
Good Burger,,
The Nutty Professor,,
Jingle All the Way,25100000,
Police Academy 2: Their First Assignment,,
I Feel Pretty,,
Night School,,
Dolittle,,
A Bad Moms Christmas,,
Life of the Party,,
Fist Fight,,
Dumb and Dumber To,,
Wanderlust,25100000,
New Year's Eve,25100000,
The Sitter,25000000,
Bad Teacher,23000000,
Fred Claus,58000000,
"You, Me and Dupree",,
Good Luck Chuck,,
Failure to Launch,,
Hatchet,,
Kicking & Screaming,,
Win a Date with Tad Hamilton!,,
Daddy Day Care,,
Bringing Down the House,25100000,
40 Days and 40 Nights,,
Runaway Bride,25100000,
Major League II,,
Sister Act 2: Back in the Habit,,
Dennis the Menace,,
The Texas Chainsaw Massacre 2,,
Senior Year,13300000,
Your Highness,,
That's My Boy,,
When in Rome,,
Couples Retreat,175000000,
Little Fockers,100000000,
The House Bunny,,
Because I Said So,,
Piranha 3D,,
Cheaper by the Dozen 2,,
RV,1200000,
The Benchwarmers,,
Employee of the Month,,
Monster-in-Law,,
The Lizzie McGuire Movie,,
Scary Movie 3,,
The Hot Chick,,
Big Fat Liar,,
Bride of Chucky,25000000,
Forces of Nature,,
Nine Months,,
The Dead Don't Die,,
The Boss,,
Jennifer's Body,,
Bride Wars,,
Teeth,,
"Yours, Mine & Ours",,
Evan Almighty,,
Just My Luck,,
Christmas with the Kranks,,
The Perfect Man,,
Just Married,,
Doctor Dolittle,,
Ri¢hie Ri¢h,,
Coneheads,,
Problem Child,,
My Stepmother Is an Alien,11000000,
What Men Want,,
Coming 2 America,,
Tusk,,
Grown Ups 2,175000000,
Bachelorette,,
The Back-up Plan,175000000,
"I Love You, Beth Cooper",,
Old Dogs,,
Aquamarine,,
The Stepford Wives,25100000,
View from the Top,,
Scary Movie 2,,
Loser,25000000,
The Wedding Planner,25100000,
Little Nicky,85000000,
Flubber,,
Police Academy 3: Back in Training,,
Popeye,,
Rough Night,,
Zookeeper,,
Beast,,
License to Wed,25100000,
My Super Ex-Girlfriend,,
Astérix aux jeux olympiques,,
Mr. Woodcock,,
The Medallion,,
Spy Kids 2: Island of Lost Dreams,,
Snow Dogs,25100000,
Sex Tape,,
Meet Dave,,
The Three Stooges,,
The Dukes of Hazzard,,
Scary Movie 4,,
The Sweetest Thing,25100000,
Cats & Dogs,,
An American Werewolf in Paris,,
A Haunted House,,
Me Time,,
Tooth Fairy,,
Deck the Halls,,
Cursed,,
The Phantom,,
Nothing But Trouble,,
Superman III,,
Casino Royale,50000000,
Charlie's Angels,,
Meet the Blacks,,
Tammy,,
Gulliver's Travels,,
Year One,,
Herbie Fully Loaded,23000000,
Seed of Chucky,,
Boat Trip,,
Black Knight,,
The Flintstones,,
Beethoven's 2nd,,
Recep Ivedik,,
All About Steve,,
Bewitched,25100000,
Envy,,
The Animal,,
102 Dalmatians,,
Double Team,,
Teenage Mutant Ninja Turtles III,,
"Honey, I Blew Up the Kid",175000000,
The Santa Clause 3: The Escape Clause,,
Are We There Yet?,25100000,
"Legally Blonde 2: Red, White & Blonde",58000000,
My Boss's Daughter,,
Dr. Dolittle 2,,
Junior,,
Leprechaun,,
Howard the Duck,,
Snatched,,
Superhero Movie,,
Deuce Bigalow: European Gigolo,25100000,
Confessions of a Teenage Drama Queen,,
Freddy Got Fingered,58000000,
Look Who's Talking Too,25100000,
Thunder Force,,
Grease 2,6000000,
He's All That,10000000,
Nutty Professor II: The Klumps,,
Look Who's Talking Now,25100000,
Movie 43,,
Cinderella,,
Spy Kids 3: Game Over,,
Bio-Dome,,
Stop! Or My Mom Will Shoot,,
Coolie No. 1,,
Norbit,,
Super Mario Bros.,,
The Cat in the Hat,,
Street Fighter,,
Piranha 3DD,,
The Love Guru,,
The Adventures of Pluto Nash,,
The Adventures of Sharkboy and Lavagirl 3-D,,
Spice World,25100000,
Scary Movie 5,,
Vampires Suck,,
Dumb and Dumberer: When Harry Met Lloyd,,
Jack and Jill,,
The Master of Disguise,,
Celal ile Ceren,,
Troll 2,,
Meet the Spartans,,
Date Movie,,
Laxmii,,
Epic Movie,,
Son of the Mask,,
Enes Batur Hayal mi Gerçek mi?,,
Disaster Movie,,
The Hottie & the Nottie,,
From Justin to Kelly,,
Superbabies: Baby Geniuses 2,175000000,
Cumali Ceber: Allah Seni Alsin,,
The Long Riders,10000000,
Any Which Way You Can,25100000,
Fame,,
9 to 5,,
The Fog,,
Cruising,,
Heaven's Gate,,
The Final Countdown,25100000,
Xanadu,,
Urban Cowboy,25100000,
Altered States,58000000,
Little Darlings,,
Raise the Titanic,,
Brubaker,,
My Bodyguard,,
Prom Night,,
Smokey and the Bandit II,,
Cattle Annie and Little Britches,,
Seems Like Old Times,,
The Hollywood Knights,25100000,
Motel Hell,,
The Jazz Singer,,
Coal Miner's Daughter,,
The Watcher in the Woods,25100000,
Breaker Morant,,
The Stunt Man,,
Where the Buffalo Roam,,
The Awakening,25100000,
Cheech and Chong's Next Movie,,
The Island,127000000,
The Boogey Man,,
The Nude Bomb,,
Lion of the Desert,,
Stardust Memories,,
Melvin and Howard,,
Can't Stop the Music,,
Bronco Billy,,
City of Women,,
The Private Eyes,,
When Time Ran Out...,,
Oh Heavenly Dog,,
The Octagon,,
Hangar 18,,
Herbie Goes Bananas,,
The Competition,,
It's My Turn,,
Honeysuckle Rose,,
Resurrection,75000000,
Fatso,,
Moscow Does Not Believe in Tears,,
The Fiendish Plot of Dr. Fu Manchu,,
Serial,,
Hero at Large,23000000,
Wholly Moses!,,
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",,
In God We Trust (or Gimme That Prime Time Religion),,
Roadie,,
Just Tell Me What You Want,,
The Last Flight of Noah's Ark,,
Little Miss Marker,,
Willie & Phil,25100000,
Babylon,,
Windwalker,25100000,
Phobia,22000000,
Windows,25100000,
Loving Couples,175000000,
The King and the Mockingbird,,
"Oh, God! Book II",,
"Those Lips, Those Eyes",,
La Cage aux Folles II,,
The Gong Show Movie,,
Gilda Live,,
Why Would I Lie?,25100000,
First Family,,
Mantis Fist Fighter,,
The Evil Dead,,
Endless Love,,
The Four Seasons,,
Scanners,,
Halloween II,25100000,
Taps,,
Reds,58000000,
Absence of Malice,,
Tarzan the Ape Man,,
My Dinner with Andre,,
Caveman,,
Dead & Buried,,
The Howling,25100000,
Dragonslayer,,
Cutter's Way,25100000,
Quest for Fire,12170000,
The Final Conflict,,
Mommie Dearest,,
Private Lessons,,
The Postman Always Rings Twice,,
Ragtime,,
Deadly Blessing,,
Eyewitness,25100000,
Southern Comfort,,
S.O.B.,,
The Beyond,,
Ghost Story,,
My Bloody Valentine,,
The Funhouse,,
One from the Heart,,
The French Lieutenant's Woman,,
The Great Muppet Caper,,
True Confessions,,
Looker,12000000,
Nighthawks,25100000,
Nice Dreams,,
Sharky's Machine,,
Neighbors,,
Puberty Blues,,
Eye of the Needle,,
Wolfen,25100000,
Student Bodies,,
Prince of the City,8600000,
The Hand,10000000000,
Continental Divide,,
Diva,,
Venom,,
Fort Apache the Bronx,,
Eyes of a Stranger,,
Zorro: The Gay Blade,,
Under the Rainbow,25100000,
Carbon Copy,,
The Incredible Shrinking Woman,,
The Night the Lights Went Out in Georgia,25100000,
Quartet,,
Graduation Day,,
Modern Problems,,
Pennies from Heaven,,
American Pop,,
The Legend of the Lone Ranger,,
Sphinx,,
Night School,,
An Eye for an Eye,,
Zoot Suit,,
Rich and Famous,,
Buddy Buddy,,
Bustin' Loose,,
Modern Romance,,
Heartbeeps,,
Back Roads,,
Take This Job and Shove It,,
Raggedy Man,,
Whose Life Is It Anyway?,25100000,
Inchon,,
All Night Long,,
The Pursuit of D.B. Cooper,,
Rollover,,
Only When I Laugh,25100000,
Honky Tonk Freeway,25100000,
Paternity,,
King of the Mountain,,
Scream,,
The Devil and Max Devlin,,
The Amateur,,
Longshot,,
Comin' at Ya!,,
Le Pont du Nord,,
Silence of the North,,
E.T. the Extra-Terrestrial,,
Poltergeist,,
Paradise,,
The Last American Virgin,,
Tron,250000000,
The Beastmaster,,
The Man from Snowy River,,
Cat People,,
Fanny and Alexander,,
Friday the 13th Part III,,
The Dark Crystal,,
Pieces,,
Zapped!,,
Six Pack,,
Diner,5000000,
The Best Little Whorehouse in Texas,25100000,
The Year of Living Dangerously,,
Night Shift,,
Summer Lovers,,
Victor Victoria,,
The Entity,,
Airplane II: the Sequel,3500000,
The Toy,,
The House on Sorority Row,25100000,
Evil Under the Sun,,
The Sword and the Sorcerer,25100000,
Death Wish II,,
Silent Rage,,
Megaforce,,
Personal Best,,
Dead Men Don't Wear Plaid,,
Amityville II: The Possession,,
Missing,,
Frances,,
The Seduction,,
Cannery Row,25100000,
Deathtrap,10000000,
Tex,,
Time Walker,,
"I, the Jury",,
Tempest,,
Young Doctors in Love,,
My Favorite Year,,
Still of the Night,,
Parasite,,
Making Love,,
Honkytonk Man,,
The Beast Within,25100000,
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",,
The Final Option,,
Trail of the Pink Panther,,
The Sender,,
The Border,,
Kiss Me Goodbye,,
A Midsummer Night's Sex Comedy,,
Vice Squad,,
Best Friends,,
Shoot the Moon,,
Lookin' to Get Out,,
Barbarosa,,
Visiting Hours,,
A Little Sex,,
Class Reunion,,
Hanky Panky,,
Author! Author!,,
Split Image,,
The Challenge,,
The Soldier,,
Wrong Is Right,25100000,
Six Weeks,25100000,
The State of Things,,
Jekyll and Hyde... Together Again,23000000,
Forced Vengeance,,
The Missionary,,
The Escape Artist,,
Night Crossing,,
Endangered Species,58000000,
Things Are Tough All Over,,
Homework,,
Jinxed!,,
The Return of Martin Guerre,,
They Call Me Bruce,,
Some Kind of Hero,,
Hammett,,
Five Days One Summer,,
Penitentiary II,,
If You Could See What I Hear,25100000,
Partners,,
Richard Pryor: Live on the Sunset Strip,,
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,,
Monsignor,,
"Yes, Giorgio",,
I Ought to Be in Pictures,,
La traviata,,
Fighting Back,,
Kamikaze 89,,
The Wizard of Oz,2777000,
Heidi's Song,,
Love Child,,
Boardinghouse,,
Experience Preferred... But Not Essential,58000000,
The Personals,,
Lonely Hearts,,
Staying Alive,,
Jaws 3-D,,
Christine,,
Sleepaway Camp,,
Spring Break,,
Private School,,
Valley Girl,,
Videodrome,,
Twilight Zone: The Movie,,
Cujo,,
Blue Thunder,,
Breathless,,
Local Hero,23000000,
Bad Boys,,
Silkwood,25100000,
All the Right Moves,,
The Keep,6000000,
My Tutor,,
Yentl,12000000,
Fire and Ice,1200000,
Eddie and the Cruisers,,
Yellowbeard,25100000,
Nostalghia,,
Hot Dog... The Movie,,
Smokey and the Bandit Part 3,,
Deathstalker,,
Porky's II: The Next Day,,
Something Wicked This Way Comes,,
Tender Mercies,,
Star 80,,
Gorky Park,,
Lone Wolf McQuade,,
Easy Money,,
Merry Christmas Mr. Lawrence,,
Losin' It,,
Screwballs,25100000,
Brainstorm,,
Angel,,
10 to Midnight,,
Uncommon Valor,,
Doctor Detroit,,
Mortuary,,
Stroker Ace,,
Sahara,,
Two of a Kind,25100000,
Chained Heat,,
Spacehunter: Adventures in the Forbidden Zone,,
High Road to China,,
Never Cry Wolf,25100000,
The Pirates of Penzance,,
Rock & Rule,,
Hercules,,
Educating Rita,,
A Night in Heaven,,
Under Fire,,
Amityville 3-D,,
Testament,,
The Osterman Weekend,,
Revenge of the Ninja,,
Independence Day,,
Escape from the Bronx,,
To Be or Not to Be,,
Eureka,,
The Wicked Lady,25100000,
Still Smokin,,
"Yor, the Hunter from the Future",,
Of Unknown Origin,,
Curse of the Pink Panther,,
D.C. Cab,,
Beyond the Limit,,
The Survivors,,
The Lonely Lady,,
The Star Chamber,,
The Dresser,,
The Lords of Discipline,,
Cross Creek,,
The Man Who Loved Women,,
Nightmares,,
Deal of the Century,,
Eddie Macon's Run,,
Max Dugan Returns,,
The Sting II,5500000,
Baby It's You,,
Heat and Dust,,
Going Berserk,,
Daniel,,
Heart Like a Wheel,25100000,
Love Letters,,
Get Crazy,,
Nate and Hayes,,
Strange Invaders,,
The Black Stallion Returns,,
Metalstorm: the Destruction of Jared-Syn,,
Getting It on,,
Lianna,,
Better Late Than Never,,
Lovesick,,
Running Brave,185000000,
Exposed,,
Trenchcoat,,
Stryker,,
The Man Who Wasn't There,,
Table for Five,,
Romantic Comedy,,
Young Warriors,,
"Man, Woman and Child",,
Hanna K.,,
Slayground,,
White Star,25100000,
Richard Pryor... Here and Now,25100000,
Deadly Force,,
My Brother's Wedding,,
Blue Skies Again,,
Last Plane Out,,
Cross Country,,
A Polish Vampire in Burbank,,
Forever Young,,
The Golden Seal,,
The Business of Show Business,25100000,
A Nightmare on Elm Street,,
Streets of Fire,,
1984,,
Children of the Corn,,
Splash,,
Nausicaä of the Valley of the Wind,25100000,
Friday the 13th: the Final Chapter,,
Hardbodies,,
Against All Odds,,
Supergirl,175000000,
C.H.U.D.,1250000,
The Woman in Red,,
Runaway,,
2010: the Year We Make Contact,,
The Cotton Club,58000000,
Starman,,
Night of the Comet,,
Blame It on Rio,,
Dreamscape,,
Crimes of Passion,,
The Philadelphia Experiment,,
Places in the Heart,,
Bolero,,
Cannonball Run II,,
The Ice Pirates,,
A Passage to India,,
Purple Rain,,
The Hotel New Hampshire,,
The Hit,,
Sheena,,
Missing in Action,,
"Greystoke: The Legend of Tarzan, Lord of the Apes",,
The Muppets Take Manhattan,,
The Wild Life,,
Falling in Love,,
Gwendoline,25100000,
Breakin',,
Birdy,,
The Company of Wolves,,
Ghoulies,,
Electric Dreams,,
Cloak & Dagger,,
Racing with the Moon,,
"Silent Night, Deadly Night",750000,
The Pope of Greenwich Village,25100000,
All of Me,,
"Grandview, U.S.A.",,
Where the Boys Are,25100000,
Reckless,,
Tightrope,1500000,
Rhinestone,,
The Flamingo Kid,,
Up the Creek,175000000,
Swing Shift,25100000,
Beat Street,,
Joy of Sex,,
Breakin' 2: Electric Boogaloo,,
The Razor's Edge,,
Tank,,
Moscow on the Hudson,,
Ninja III: The Domination,,
The Warrior and the Sorceress,,
The Evil That Men Do,,
Firstborn,,
Cut and Run,,
Teachers,23000000,
Repentance,,
The River,3000000,
Razorback,,
A Soldier's Story,,
Comfort and Joy,,
Meatballs Part II,,
Lassiter,,
Irreconcilable Differences,,
City Heat,,
Under the Volcano,,
Iceman,,
Flashpoint,,
The Little Drummer Girl,,
Lust in the Dust,,
Hot Moves,,
Oxford Blues,,
Thief of Hearts,,
The Brother from Another Planet,,
No Small Affair,,
Best Defense,,
Micki + Maude,,
Protocol,,
Exterminator 2,,
American Dreamer,,
The Lonely Guy,,
Choose Me,,
Making the Grade,,
Full Moon in Paris,,
Unfaithfully Yours,,
Impulse,,
Mrs. Soffel,,
Garbo Talks,,
Country,25000000,
Cheech & Chong's the Corsican Brothers,,
Purple Hearts,,
Give My Regards to Broad Street,,
Songwriter,25100000,
Finders Keepers,,
The Bostonians,,
Body Rock,,
The River Rat,,
Just the Way You Are,25100000,
Until September,,
Crackers,,
Kaos,,
Misunderstood,,
Mike's Murder,,
The Buddy System,,
A Private Function,,
Scandalous,,
"Oh, God! You Devil",,
The Bay Boy,,
Heavenly Bodies,,
Heartbreakers,35000000,
Champions,,
A Sunday in the Country,,
Mass Appeal,,
Windy City,25100000,
Lovelines,,
The Bear,,
Weekend Pass,25100000,
Over the Brooklyn Bridge,,
Fast Talking,,
Lily in Love,,
Winter Flight,25100000,
Almost You,,
The Adventures of Pinocchio,,
Blame It on the Night,,
Petit Con,,
Legend,150000000,
Red Sonja,58000000,
Fright Night,,
Explorers,,
Flesh+Blood,,
Perfect,182600000,
A Nightmare on Elm Street 2: Freddy's Revenge,,
Summer Rental,,
Day of the Dead,3500000,
Just One of the Guys,,
The Last Dragon,,
The Legend of Billie Jean,,
Desperately Seeking Susan,,
Girls Just Want to Have Fun,25100000,
Vision Quest,,
Jagged Edge,,
Tuff Turf,,
Volunteers,,
Once Bitten,150000,
Private Resort,,
Police Story,,
Into the Night,,
The Sure Thing,,
White Nights,25100000,
Mischief,,
Silver Bullet,,
Kiss of the Spider Woman,,
My Beautiful Laundrette,,
Young Sherlock Holmes,,
Smooth Talk,,
Porky's Revenge,,
Year of the Dragon,,
Prizzi's Honor,,
Tampopo,,
Creature,,
Secret Admirer,,
"No Retreat, No Surrender",,
D.A.R.Y.L.,,
Mishima: A Life in Four Chapters,,
A Chorus Line,,
Murphy's Romance,,
Heaven Help Us,,
American Flyers,,
The Journey of Natty Gann,,
Trouble in Mind,,
Fandango,,
Gotcha!,,
Death Wish 3,,
King Solomon's Mines,,
American Warrior,,
The Emerald Forest,,
The Holcroft Covenant,,
The Falcon and the Snowman,,
Transylvania 6-5000,,
Desert Hearts,,
The Heavenly Kid,,
The Man with One Red Shoe,,
My Life as a Dog,,
My Science Project,,
Seven Minutes in Heaven,,
Fraternity Vacation,,
The New Kids,25100000,
Tomboy,,
Invasion U.S.A.,,
Revolution,150000000,
Lost in America,,
Subway,25100000,
Moving Violations,,
Nomads,,
Fool for Love,,
Baby: Secret of the Lost Legend,,
Code of Silence,,
Crimewave,,
Gymkata,,
Sweet Dreams,,
The Slugger's Wife,25100000,
Avenging Angel,,
Santa Claus: The Movie,,
That Was Then... This Is Now,25100000,
Agnes of God,,
Rustlers' Rhapsody,,
The Adventures of Mark Twain,,
Stick,,
The Bride,,
Morons from Outer Space,,
Godzilla 1985,,
Plenty,,
King David,,
The Trip to Bountiful,,
Missing in Action 2: The Beginning,,
The Protector,,
The Mean Season,,
Turk 182,,
The Official Story,,
Krush Groove,,
He-Man and She-Ra: The Secret of the Sword,,
Warning Sign,,
Creator,,
Taipei Story,,
Otac na sluzbenom putu,,
The Aviator,110000000,
Starchaser: The Legend of Orin,,
Maxie,,
DEFCON-4,,
The Care Bears Movie,,
Sylvester,,
Radioactive Dreams,,
Twice in a Lifetime,,
Dance with a Stranger,,
Water,910000,
One Magic Christmas,,
Echo Park,,
O.C. and Stiggs,,
The Good Father,,
Fever Pitch,,
The Doctor and the Devils,,
Head Office,,
Eleni,,
Dreamchild,,
Defense of the Realm,,
Bad Medicine,,
Wetherby,25100000,
Compromising Positions,,
Rainbow Brite and the Star Stealer,25100000,
Alamo Bay,,
Three Men and a Cradle,,
In the Shadow of Kilimanjaro,,
Rappin',,
Bal na vodi,,
Certain Fury,,
Bliss,,
Code Name: Emerald,,
Colonel Redl,58000000,
Thunder Run,,
Marie,,
