person_name,birth_date,death_date,start_activity,end_activity
Natalie Portman,1981-06-09T00:00:00Z,,1994-01-01T00:00:00Z,
Jennifer Lawrence,1990-08-15T00:00:00Z,,2007-01-01T00:00:00Z,
Cate Blanchett,1969-05-14T00:00:00Z,,1992-01-01T00:00:00Z,
Gale Sondergaard,1899-02-15T00:00:00Z,1985-08-14T00:00:00Z,1936-01-01T00:00:00Z,
Alice Brady,1892-11-02T00:00:00Z,1939-10-28T00:00:00Z,1914-01-01T00:00:00Z,
Fay Bainter,1893-12-07T00:00:00Z,1968-04-16T00:00:00Z,1899-01-01T00:00:00Z,
Hattie McDaniel,1893-06-10T00:00:00Z,1952-10-26T00:00:00Z,1932-01-01T00:00:00Z,
Jane Darwell,1879-10-15T00:00:00Z,1967-08-13T00:00:00Z,1913-01-01T00:00:00Z,
Mary Astor,1906-05-03T00:00:00Z,1987-09-25T00:00:00Z,1921-01-01T00:00:00Z,
Teresa Wright,1918-10-27T00:00:00Z,2005-03-06T00:00:00Z,1941-01-01T00:00:00Z,
Katina Paxinou,1900-12-17T00:00:00Z,1973-02-22T00:00:00Z,1928-01-01T00:00:00Z,1970-01-01T00:00:00Z
Ethel Barrymore,1879-08-15T00:00:00Z,1959-06-18T00:00:00Z,1896-01-01T00:00:00Z,
Anne Revere,1903-06-25T00:00:00Z,1990-12-18T00:00:00Z,1934-01-01T00:00:00Z,
Anne Baxter,1923-05-07T00:00:00Z,1985-12-12T00:00:00Z,1940-01-01T00:00:00Z,
Celeste Holm,1917-04-29T00:00:00Z,2012-07-15T00:00:00Z,1937-01-01T00:00:00Z,2012-01-01T00:00:00Z
Claire Trevor,1910-03-08T00:00:00Z,2000-04-08T00:00:00Z,1933-01-01T00:00:00Z,1987-01-01T00:00:00Z
Mercedes McCambridge,1916-03-16T00:00:00Z,2004-03-02T00:00:00Z,1949-01-01T00:00:00Z,
Josephine Hull,1877-01-03T00:00:00Z,1957-03-12T00:00:00Z,1905-01-01T00:00:00Z,
Kim Hunter,1922-11-12T00:00:00Z,2002-09-11T00:00:00Z,1943-01-01T00:00:00Z,2000-01-01T00:00:00Z
Gloria Grahame,1923-11-28T00:00:00Z,1981-10-05T00:00:00Z,1944-01-01T00:00:00Z,
Donna Reed,1921-01-27T00:00:00Z,1986-01-14T00:00:00Z,1941-01-01T00:00:00Z,1985-01-01T00:00:00Z
Eva Marie Saint,1924-07-04T00:00:00Z,,1947-01-01T00:00:00Z,
Jo Van Fleet,1915-12-29T00:00:00Z,1996-06-10T00:00:00Z,1949-01-01T00:00:00Z,
Dorothy Malone,1924-01-30T00:00:00Z,2018-01-19T00:00:00Z,1942-01-01T00:00:00Z,1992-01-01T00:00:00Z
Miyoshi Umeki,1929-05-08T00:00:00Z,2007-08-28T00:00:00Z,1950-01-01T00:00:00Z,
Wendy Hiller,1912-08-15T00:00:00Z,2003-05-14T00:00:00Z,1936-01-01T00:00:00Z,
Shelley Winters,1920-08-18T00:00:00Z,2006-01-14T00:00:00Z,1943-01-01T00:00:00Z,
Shirley Jones,1934-03-31T00:00:00Z,,1950-01-01T00:00:00Z,
Rita Moreno,1931-12-11T00:00:00Z,,1942-01-01T00:00:00Z,
Patty Duke,1946-12-14T00:00:00Z,2016-03-29T00:00:00Z,1950-01-01T00:00:00Z,2015-01-01T00:00:00Z
Margaret Rutherford,1892-05-11T00:00:00Z,1972-05-22T00:00:00Z,1925-01-01T00:00:00Z,
Lila Kedrova,1909-10-09T00:00:00Z,2000-02-16T00:00:00Z,1938-01-01T00:00:00Z,
Sandy Dennis,1937-04-27T00:00:00Z,1992-03-02T00:00:00Z,1952-01-01T00:00:00Z,
Estelle Parsons,1927-11-20T00:00:00Z,,1963-01-01T00:00:00Z,
Ruth Gordon,1896-10-30T00:00:00Z,1985-08-28T00:00:00Z,1915-01-01T00:00:00Z,1985-01-01T00:00:00Z
Goldie Hawn,1945-11-21T00:00:00Z,,1967-01-01T00:00:00Z,
Cloris Leachman,1926-04-30T00:00:00Z,2021-01-27T00:00:00Z,1942-01-01T00:00:00Z,2021-01-01T00:00:00Z
Eileen Heckart,1919-03-29T00:00:00Z,2001-12-31T00:00:00Z,1943-01-01T00:00:00Z,
Tatum O'Neal,1963-11-05T00:00:00Z,,1973-01-01T00:00:00Z,
Lee Grant,http://www.wikidata.org/.well-known/genid/80bbc0a7d13e6a28369ff88a173e5b47,,1951-01-01T00:00:00Z,
Beatrice Straight,1914-08-02T00:00:00Z,2001-04-07T00:00:00Z,1951-01-01T00:00:00Z,
Vanessa Redgrave,1937-01-30T00:00:00Z,,1958-01-01T00:00:00Z,
Mary Steenburgen,1953-02-08T00:00:00Z,,1978-01-01T00:00:00Z,
Maureen Stapleton,1925-06-21T00:00:00Z,2006-03-13T00:00:00Z,1952-01-01T00:00:00Z,
Linda Hunt,1945-04-02T00:00:00Z,,1976-01-01T00:00:00Z,
Peggy Ashcroft,1907-12-22T00:00:00Z,1991-06-14T00:00:00Z,1933-01-01T00:00:00Z,1989-01-01T00:00:00Z
Anjelica Huston,1951-07-08T00:00:00Z,,1967-01-01T00:00:00Z,
Dianne Wiest,1948-03-28T00:00:00Z,,1970-01-01T00:00:00Z,
Olympia Dukakis,1931-06-20T00:00:00Z,2021-05-01T00:00:00Z,1961-01-01T00:00:00Z,2021-01-01T00:00:00Z
Geena Davis,1956-01-21T00:00:00Z,,1982-01-01T00:00:00Z,
Brenda Fricker,1945-02-17T00:00:00Z,,1964-01-01T00:00:00Z,
Whoopi Goldberg,1955-11-13T00:00:00Z,,1981-01-01T00:00:00Z,
Mercedes Ruehl,1948-02-28T00:00:00Z,,1976-01-01T00:00:00Z,
Marisa Tomei,1964-12-04T00:00:00Z,,1983-01-01T00:00:00Z,
Anna Paquin,1982-07-24T00:00:00Z,,1993-01-01T00:00:00Z,
Mira Sorvino,1967-09-28T00:00:00Z,,1985-01-01T00:00:00Z,
Juliette Binoche,1964-03-09T00:00:00Z,,1983-01-01T00:00:00Z,
Kim Basinger,1953-12-08T00:00:00Z,,1976-01-01T00:00:00Z,
Judi Dench,1934-12-09T00:00:00Z,,1957-01-01T00:00:00Z,
Angelina Jolie,1975-06-04T00:00:00Z,,1982-01-01T00:00:00Z,
Marcia Gay Harden,1959-08-14T00:00:00Z,,1979-01-01T00:00:00Z,
Jennifer Connelly,1970-12-12T00:00:00Z,,1982-01-01T00:00:00Z,
Catherine Zeta-Jones,1969-09-25T00:00:00Z,,1990-01-01T00:00:00Z,
Ren̩e Zellweger,,,,
Rachel Weisz,1970-03-07T00:00:00Z,,1992-01-01T00:00:00Z,
Jennifer Hudson,1981-09-12T00:00:00Z,,2006-01-01T00:00:00Z,
Tilda Swinton,1960-11-04T00:00:00Z,,1984-01-01T00:00:00Z,
Penelope Cruz,,,,
Mo'Nique,1967-12-11T00:00:00Z,,1999-01-01T00:00:00Z,
Melissa Leo,1960-09-14T00:00:00Z,,1984-01-01T00:00:00Z,
Octavia Spencer,1970-05-25T00:00:00Z,,1996-01-01T00:00:00Z,
Anne Hathaway,1982-11-12T00:00:00Z,,1999-01-01T00:00:00Z,
Lupita Nyong'o,1983-03-01T00:00:00Z,,2005-01-01T00:00:00Z,
